system,cam-QTP-01(w=400)/def2-QZVP/Q-Chem
S22x5/01-A,-466.9792690018
S22x5/01-B,-453.8497640069
S22x5/01-0.9,-920.8533621317
S22x5/01-1.0,-920.8550404076
S22x5/01-1.2,-920.8497044787
S22x5/01-1.5,-920.8401479183
S22x5/01-2.0,-920.8326455948
S22x5/02-A,-466.9781215616
S22x5/02-B,-453.8508964348
S22x5/02-0.9,-920.8278454184
S22x5/02-1.0,-920.8381930027
S22x5/02-1.2,-920.8364267174
S22x5/02-1.5,-920.8318438087
S22x5/02-2.0,-920.8300045131
S22x5/03-A,-56.5269023313
S22x5/03-B,-56.5269023313
S22x5/03-0.9,-113.0584380741
S22x5/03-1.0,-113.0593354417
S22x5/03-1.2,-113.0577542953
S22x5/03-1.5,-113.0555757851
S22x5/03-2.0,-113.054374383
S22x5/04-A,-76.4043858359
S22x5/04-B,-76.4044547392
S22x5/04-0.9,-152.8181678686
S22x5/04-1.0,-152.8186310223
S22x5/04-1.2,-152.8163417796
S22x5/04-1.5,-152.8129380696
S22x5/04-2.0,-152.8104863111
S22x5/05-A,-40.4776325791
S22x5/05-B,-40.4776325791
S22x5/05-0.9,-80.9554131972
S22x5/05-1.0,-80.9557219247
S22x5/05-1.2,-80.9553856162
S22x5/05-1.5,-80.9552684681
S22x5/05-2.0,-80.9552643537
S22x5/06-A,-78.5099218335
S22x5/06-B,-78.5099218335
S22x5/06-0.9,-157.0200728008
S22x5/06-1.0,-157.0214988633
S22x5/06-1.2,-157.0205842041
S22x5/06-1.5,-157.0199344969
S22x5/06-2.0,-157.0198489225
S22x5/07-A,-78.5098888609
S22x5/07-B,-77.2511455165
S22x5/07-0.9,-155.7627106924
S22x5/07-1.0,-155.7632067231
S22x5/07-1.2,-155.7625707999
S22x5/07-1.5,-155.7616865889
S22x5/07-2.0,-155.7612321034
S22x5/08-A,-189.6764702853
S22x5/08-B,-189.6764702853
S22x5/08-0.9,-379.385682612
S22x5/08-1.0,-379.3875924612
S22x5/08-1.2,-379.3808001866
S22x5/08-1.5,-379.368866135
S22x5/08-2.0,-379.3590018835
S22x5/09-A,-169.8024271646
S22x5/09-B,-169.8024271646
S22x5/09-0.9,-339.6307642889
S22x5/09-1.0,-339.6326976675
S22x5/09-1.2,-339.6276266856
S22x5/09-1.5,-339.6183544695
S22x5/09-2.0,-339.6106537417
S22x5/10-A,-232.0197916512
S22x5/10-B,-76.4042327133
S22x5/10-0.9,-308.4285529072
S22x5/10-1.0,-308.4290519534
S22x5/10-1.2,-308.4277961846
S22x5/10-1.5,-308.4259705018
S22x5/10-2.0,-308.4247687771
S22x5/11-A,-232.0198623738
S22x5/11-B,-56.5267394138
S22x5/11-0.9,-288.5486284904
S22x5/11-1.0,-288.5493933021
S22x5/11-1.2,-288.5487164129
S22x5/11-1.5,-288.5475816909
S22x5/11-2.0,-288.5469312639
S22x5/12-A,-232.019910491
S22x5/12-B,-40.4777042243
S22x5/12-0.9,-272.4976675436
S22x5/12-1.0,-272.4986780671
S22x5/12-1.2,-272.4985446182
S22x5/12-1.5,-272.4979130967
S22x5/12-2.0,-272.4976655387
S22x5/13-A,-232.0198670542
S22x5/13-B,-232.0198421307
S22x5/13-0.9,-464.0398566466
S22x5/13-1.0,-464.0414696215
S22x5/13-1.2,-464.041545814
S22x5/13-1.5,-464.0405452657
S22x5/13-2.0,-464.0399501213
S22x5/14-A,-232.0198925067
S22x5/14-B,-232.0198925066
S22x5/14-0.9,-464.0314199633
