system,wB97M(w=25)/def2-QZVP/Q-Chem
S22x5/01-A,-467.8040796
S22x5/01-B,-454.59092876
S22x5/01-0.9,-922.40677739
S22x5/01-1.0,-922.41118667
S22x5/01-1.2,-922.41002607
S22x5/01-1.5,-922.40406485
S22x5/01-2.0,-922.39839265
S22x5/02-A,-467.80424359
S22x5/02-B,-454.59221407
S22x5/02-0.9,-922.37001412
S22x5/02-1.0,-922.39028094
S22x5/02-1.2,-922.39952308
S22x5/02-1.5,-922.39915777
S22x5/02-2.0,-922.39739565
S22x5/03-A,-56.61319682
S22x5/03-B,-56.61319682
S22x5/03-0.9,-113.22687526
S22x5/03-1.0,-113.22914391
S22x5/03-1.2,-113.22928294
S22x5/03-1.5,-113.22802696
S22x5/03-2.0,-113.22693499
S22x5/04-A,-76.49700319
S22x5/04-B,-76.49703164
S22x5/04-0.9,-152.99792295
S22x5/04-1.0,-152.9998661
S22x5/04-1.2,-152.99958202
S22x5/04-1.5,-152.99756425
S22x5/04-2.0,-152.99558296
S22x5/05-A,-40.55485564
S22x5/05-B,-40.55485564
S22x5/05-0.9,-81.1076797
S22x5/05-1.0,-81.10926512
S22x5/05-1.2,-81.10985083
S22x5/05-1.5,-81.10974362
S22x5/05-2.0,-81.10971303
S22x5/06-A,-78.67256823
S22x5/06-B,-78.67256823
S22x5/06-0.9,-157.33984587
S22x5/06-1.0,-157.34385173
S22x5/06-1.2,-157.34545941
S22x5/06-1.5,-157.34528256
S22x5/06-2.0,-157.34514218
S22x5/07-A,-78.67256466
S22x5/07-B,-77.42101602
S22x5/07-0.9,-156.09339148
S22x5/07-1.0,-156.09460054
S22x5/07-1.2,-156.09480057
S22x5/07-1.5,-156.09425161
S22x5/07-2.0,-156.09377815
S22x5/08-A,-189.94380498
S22x5/08-B,-189.94380499
S22x5/08-0.9,-379.90442442
S22x5/08-1.0,-379.90954437
S22x5/08-1.2,-379.90777818
S22x5/08-1.5,-379.90032771
S22x5/08-2.0,-379.89309484
S22x5/09-A,-170.06243648
S22x5/09-B,-170.06243648
S22x5/09-0.9,-340.1383724
S22x5/09-1.0,-340.14291839
S22x5/09-1.2,-340.14196773
S22x5/09-1.5,-340.13619099
S22x5/09-2.0,-340.13027439
S22x5/10-A,-232.50005829
S22x5/10-B,-76.49697512
S22x5/10-0.9,-308.99665562
S22x5/10-1.0,-308.99869262
S22x5/10-1.2,-308.99948755
S22x5/10-1.5,-308.99875024
S22x5/10-2.0,-308.99770671
S22x5/11-A,-232.50005312
S22x5/11-B,-56.61319195
S22x5/11-0.9,-289.11095563
S22x5/11-1.0,-289.11314822
S22x5/11-1.2,-289.11431912
S22x5/11-1.5,-289.11411759
S22x5/11-2.0,-289.11355545
S22x5/12-A,-232.50005565
S22x5/12-B,-40.55485585
S22x5/12-0.9,-273.05096175
S22x5/12-1.0,-273.05334638
S22x5/12-1.2,-273.0549179
S22x5/12-1.5,-273.05515086
S22x5/12-2.0,-273.05497934
S22x5/13-A,-232.50005399
S22x5/13-B,-232.50006334
S22x5/13-0.9,-464.99451298
S22x5/13-1.0,-464.99796463
S22x5/13-1.2,-465.00036215
S22x5/13-1.5,-465.000734
S22x5/13-2.0,-465.00036514
S22x5/14-A,-232.50003653
S22x5/14-B,-232.50003653
S22x5/14-0.9,-464.98218945
S22x5/14-1.0,-464.99329839
S22x5/14-1.2,-464.99913563
S22x5/14-1.5,-465.00005345
S22x5/14-2.0,-465.00003571
S22x5/15-A,-232.50006815
S22x5/15-B,-364.20633186
S22x5/15-0.9,-596.70184808
S22x5/15-1.0,-596.70622756
S22x5/15-1.2,-596.70904847
S22x5/15-1.5,-596.70891592
S22x5/15-2.0,-596.70758216
S22x5/16-A,-232.50003836
S22x5/16-B,-364.20630536
S22x5/16-0.9,-596.68380654
S22x5/16-1.0,-596.69731089
S22x5/16-1.2,-596.7048031
S22x5/16-1.5,-596.70616692
S22x5/16-2.0,-596.70612202
S22x5/17-A,-264.59481646
S22x5/17-B,-264.59482596
S22x5/17-0.9,-529.17227374
S22x5/17-1.0,-529.18419515
S22x5/17-1.2,-529.18986464
S22x5/17-1.5,-529.1901859
S22x5/17-2.0,-529.18974282
S22x5/18-A,-323.85311302
S22x5/18-B,-303.96917379
S22x5/18-0.9,-627.83564935
S22x5/18-1.0,-627.8400587
S22x5/18-1.2,-627.83893543
S22x5/18-1.5,-627.83287022
S22x5/18-2.0,-627.82689744
