system,LC-wPBE08(w=15)/def2-QZVP/Q-Chem
S22x5/01-A,-466.9992901709
S22x5/01-B,-453.836782406
S22x5/01-0.9,-920.8571534692
S22x5/01-1.0,-920.8592842205
S22x5/01-1.2,-920.8549276192
S22x5/01-1.5,-920.8465742117
S22x5/01-2.0,-920.8397247195
S22x5/02-A,-466.9988504954
S22x5/02-B,-453.8374052224
S22x5/02-0.9,-920.8259997514
S22x5/02-1.0,-920.8386173791
S22x5/02-1.2,-920.8416156076
S22x5/02-1.5,-920.8390141993
S22x5/02-2.0,-920.8371989694
S22x5/03-A,-56.5158921727
S22x5/03-B,-56.5158921727
S22x5/03-0.9,-113.0354776116
S22x5/03-1.0,-113.0365235937
S22x5/03-1.2,-113.0355073156
S22x5/03-1.5,-113.0336023495
S22x5/03-2.0,-113.0323785037
S22x5/04-A,-76.3867695453
S22x5/04-B,-76.386735086
S22x5/04-0.9,-152.7810314093
S22x5/04-1.0,-152.7819475505
S22x5/04-1.2,-152.780352743
S22x5/04-1.5,-152.7774282064
S22x5/04-2.0,-152.7750877554
S22x5/05-A,-40.4674512868
S22x5/05-B,-40.4674512868
S22x5/05-0.9,-80.9341051973
S22x5/05-1.0,-80.9350409245
S22x5/05-1.2,-80.9350977315
S22x5/05-1.5,-80.9349295972
S22x5/05-2.0,-80.9349022605
S22x5/06-A,-78.507247011
S22x5/06-B,-78.507247011
S22x5/06-0.9,-157.0127712151
S22x5/06-1.0,-157.0150806006
S22x5/06-1.2,-157.0151782172
S22x5/06-1.5,-157.0146373491
S22x5/06-2.0,-157.0144992761
S22x5/07-A,-78.507203809
S22x5/07-B,-77.2576668945
S22x5/07-0.9,-155.7662079112
S22x5/07-1.0,-155.7667834916
S22x5/07-1.2,-155.7663423978
S22x5/07-1.5,-155.7655428252
S22x5/07-2.0,-155.7650550646
S22x5/08-A,-189.6575729575
S22x5/08-B,-189.6575729575
S22x5/08-0.9,-379.3415730023
S22x5/08-1.0,-379.3446216566
S22x5/08-1.2,-379.3396787801
S22x5/08-1.5,-379.3295852855
S22x5/08-2.0,-379.3209176129
S22x5/09-A,-169.7899107997
S22x5/09-B,-169.7899107997
S22x5/09-0.9,-339.6012257581
S22x5/09-1.0,-339.6038094531
S22x5/09-1.2,-339.6000303136
S22x5/09-1.5,-339.5922568639
S22x5/09-2.0,-339.5853547947
S22x5/10-A,-232.0360780384
S22x5/10-B,-76.3867209665
S22x5/10-0.9,-308.4256993385
S22x5/10-1.0,-308.4266892017
S22x5/10-1.2,-308.4261342714
S22x5/10-1.5,-308.4246793098
S22x5/10-2.0,-308.4234810343
S22x5/11-A,-232.0361024897
S22x5/11-B,-56.5158293113
S22x5/11-0.9,-288.5524673838
S22x5/11-1.0,-288.5537653094
S22x5/11-1.2,-288.5536580733
S22x5/11-1.5,-288.5529013285
S22x5/11-2.0,-288.5522518163
S22x5/12-A,-232.0360515287
S22x5/12-B,-40.467332343
S22x5/12-0.9,-272.5019886807
S22x5/12-1.0,-272.5035173618
S22x5/12-1.2,-272.5040745934
S22x5/12-1.5,-272.503755438
S22x5/12-2.0,-272.5034465597
S22x5/13-A,-232.0360796405
S22x5/13-B,-232.0360821508
S22x5/13-0.9,-464.0704559418
S22x5/13-1.0,-464.0723661943
S22x5/13-1.2,-464.0734052308
S22x5/13-1.5,-464.0729247455
S22x5/13-2.0,-464.072403859
S22x5/14-A,-232.0360464924
S22x5/14-B,-232.0360464925
S22x5/14-0.9,-464.0612055001
S22x5/14-1.0,-464.0694092186
S22x5/14-1.2,-464.0718927327
S22x5/14-1.5,-464.0718981642
S22x5/14-2.0,-464.0717847703
S22x5/15-A,-232.0360075211
S22x5/15-B,-363.5155248953
S22x5/15-0.9,-595.5526114472
S22x5/15-1.0,-595.5551334117
S22x5/15-1.2,-595.5560584806
S22x5/15-1.5,-595.5546837385
S22x5/15-2.0,-595.552890491
S22x5/16-A,-232.0359794738
S22x5/16-B,-363.5155226161
S22x5/16-0.9,-595.5396254619
S22x5/16-1.0,-595.5479982514
S22x5/16-1.2,-595.5516396765
S22x5/16-1.5,-595.5516155316
S22x5/16-2.0,-595.5514445337
S22x5/17-A,-264.1103586763
S22x5/17-B,-264.1104249164
S22x5/17-0.9,-528.2119497137
S22x5/17-1.0,-528.2197069759
S22x5/17-1.2,-528.2221706495
S22x5/17-1.5,-528.2214595247
S22x5/17-2.0,-528.2209562595
S22x5/18-A,-323.283929787
S22x5/18-B,-303.4116131425
S22x5/18-0.9,-626.7181036661
S22x5/18-1.0,-626.7203018969
S22x5/18-1.2,-626.7160331007
S22x5/18-1.5,-626.7075938298
S22x5/18-2.0,-626.7003944573
S22x5/19-A,-307.2288390443
S22x5/19-B,-307.2285858211
S22x5/19-0.9,-614.4625673452
S22x5/19-1.0,-614.4639190059
S22x5/19-1.2,-614.4638111656
S22x5/19-1.5,-614.4615408748
S22x5/19-2.0,-614.4593649069
S22x5/20-A,-414.5582665633
S22x5/20-B,-414.5582665633
S22x5/20-0.9,-829.1113475081
S22x5/20-1.0,-829.1214626982
S22x5/20-1.2,-829.1219510793
S22x5/20-1.5,-829.1190945606
S22x5/20-2.0,-829.1173494402
S22x5/21-A,-414.5577757835
S22x5/21-B,-414.5577757835
S22x5/21-0.9,-829.1425872672
S22x5/21-1.0,-829.1453646619
S22x5/21-1.2,-829.1402201328
S22x5/21-1.5,-829.1305044036
S22x5/21-2.0,-829.1219557215
S22x5/22-A,-232.0360906952
S22x5/22-B,-93.3532932819
S22x5/22-0.9,-325.3927494268
S22x5/22-1.0,-325.3939845084
S22x5/22-1.2,-325.393726504
S22x5/22-1.5,-325.3920782116
S22x5/22-2.0,-325.3904870234
S66x8/01-A,-76.386702009
S66x8/01-B,-76.386753188
S66x8/01-090,-152.7815062791
S66x8/01-095,-152.7818924637
S66x8/01-100,-152.7818341388
S66x8/01-105,-152.7815085542
S66x8/01-110,-152.7810337847
S66x8/01-125,-152.7793813603
S66x8/01-150,-152.7771337637
S66x8/01-200,-152.7750027021
S66x8/02-A,-76.3867047658
S66x8/02-B,-115.6405379187
S66x8/02-090,-192.0353789144
S66x8/02-095,-192.0359178649
S66x8/02-100,-192.0359472928
S66x8/02-105,-192.0356674287
S66x8/02-110,-192.0352056517
S66x8/02-125,-192.0334829005
S66x8/02-150,-192.0310671482
S66x8/02-200,-192.0287854777
S66x8/03-A,-76.3866995434
S66x8/03-B,-95.7744769494
S66x8/03-090,-172.1726603879
S66x8/03-095,-172.1730876076
S66x8/03-100,-172.1729567328
S66x8/03-105,-172.1724858443
S66x8/03-110,-172.1718216694
S66x8/03-125,-172.1694747722
S66x8/03-150,-172.1662290164
S66x8/03-200,-172.1631303295
S66x8/04-A,-76.3867027907
S66x8/04-B,-248.3387461745
S66x8/04-090,-324.7367488908
S66x8/04-095,-324.737382105
S66x8/04-100,-324.7374235016
S66x8/04-105,-324.7371030032
S66x8/04-110,-324.7365608802
S66x8/04-125,-324.7344550002
S66x8/04-150,-324.7313136258
S66x8/04-200,-324.7277075685
S66x8/05-A,-115.6405504125
S66x8/05-B,-115.6405767427
S66x8/05-090,-231.2889568035
S66x8/05-095,-231.2896055194
S66x8/05-100,-231.289710509
S66x8/05-105,-231.289483294
S66x8/05-110,-231.2890585223
S66x8/05-125,-231.287389709
S66x8/05-150,-231.2849765797
S66x8/05-200,-231.2826248909
S66x8/06-A,-115.6404537527
S66x8/06-B,-95.7745503086
S66x8/06-090,-211.4260227802
S66x8/06-095,-211.4267951657
S66x8/06-100,-211.4268801632
S66x8/06-105,-211.4265349286
S66x8/06-110,-211.4259421078
S66x8/06-125,-211.4236600137
S66x8/06-150,-211.420319407
S66x8/06-200,-211.4170180149
S66x8/07-A,-115.6405540416
S66x8/07-B,-248.3383271945
S66x8/07-090,-363.9897934982
S66x8/07-095,-363.9905907278
S66x8/07-100,-363.9907481827
S66x8/07-105,-363.9905019284
S66x8/07-110,-363.9899973789
S66x8/07-125,-363.9879033358
S66x8/07-150,-363.9842880361
S66x8/07-200,-363.9804693977
S66x8/08-A,-115.6405255331
S66x8/08-B,-76.3867557627
S66x8/08-090,-192.0349689376
S66x8/08-095,-192.0354557965
S66x8/08-100,-192.035469386
S66x8/08-105,-192.0351960659
S66x8/08-110,-192.0347564843
S66x8/08-125,-192.0331530987
S66x8/08-150,-192.0309097467
S66x8/08-200,-192.0287451773
S66x8/09-A,-95.7745029393
S66x8/09-B,-115.6405338934
S66x8/09-090,-211.4183404124
S66x8/09-095,-211.4188611409
S66x8/09-100,-211.4190061348
S66x8/09-105,-211.4189309138
S66x8/09-110,-211.4187330311
S66x8/09-125,-211.417882887
S66x8/09-150,-211.4167175696
S66x8/09-200,-211.4156991911
S66x8/10-A,-95.7745985365
S66x8/10-B,-95.7745255421
S66x8/10-090,-191.5532361474
S66x8/10-095,-191.5540114278
S66x8/10-100,-191.5542705155
S66x8/10-105,-191.5542170592
S66x8/10-110,-191.5539742425
S66x8/10-125,-191.5528601457
S66x8/10-150,-191.5509303465
S66x8/10-200,-191.5496227416
S66x8/11-A,-95.7745435495
S66x8/11-B,-248.3384759377
S66x8/11-090,-344.1173737658
S66x8/11-095,-344.1183523911
S66x8/11-100,-344.1187807225
S66x8/11-105,-344.1188501081
S66x8/11-110,-344.1186888286
S66x8/11-125,-344.1169897214
S66x8/11-150,-344.114852641
S66x8/11-200,-344.1136165828
S66x8/12-A,-95.774507055
S66x8/12-B,-76.3868492201
S66x8/12-090,-172.1723723663
S66x8/12-095,-172.1729984831
S66x8/12-100,-172.172985071
S66x8/12-105,-172.1725780805
S66x8/12-110,-172.171950571
S66x8/12-125,-172.1696509607
S66x8/12-150,-172.1663617348
S66x8/12-200,-172.1631876612
S66x8/13-A,-248.3384602175
S66x8/13-B,-115.6405616577
S66x8/13-090,-363.9854668083
S66x8/13-095,-363.9863456097
S66x8/13-100,-363.9866779609
S66x8/13-105,-363.9866587866
S66x8/13-110,-363.9864219627
S66x8/13-125,-363.9851665737
S66x8/13-150,-363.9830861143
S66x8/13-200,-363.980856645
S66x8/14-A,-248.3383374663
S66x8/14-B,-95.7745574496
S66x8/14-090,-344.1217274815
S66x8/14-095,-344.1226770541
S66x8/14-100,-344.1229900923
S66x8/14-105,-344.122890953
S66x8/14-110,-344.1225263172
S66x8/14-125,-344.1207533698
S66x8/14-150,-344.1179921057
S66x8/14-200,-344.1150363013
S66x8/15-A,-248.3387594882
S66x8/15-B,-248.3387492108
S66x8/15-090,-496.6865271227
S66x8/15-095,-496.6875898146
S66x8/15-100,-496.6880083732
S66x8/15-105,-496.6879875425
S66x8/15-110,-496.687679511
S66x8/15-125,-496.6860719416
S66x8/15-150,-496.6834108344
S66x8/15-200,-496.6799659195
S66x8/16-A,-248.3388588861
S66x8/16-B,-76.3867517457
S66x8/16-090,-324.7323170327
S66x8/16-095,-324.7329317947
S66x8/16-100,-324.7330826705
S66x8/16-105,-324.7329398424
S66x8/16-110,-324.7326299843
S66x8/16-125,-324.7313430723
S66x8/16-150,-324.7293850083
S66x8/16-200,-324.727353877
S66x8/17-A,-414.5579359839
S66x8/17-B,-414.5579774077
S66x8/17-090,-829.1388786788
S66x8/17-095,-829.140655118
S66x8/17-100,-829.1410295586
S66x8/17-105,-829.1405081193
S66x8/17-110,-829.1394393506
S66x8/17-125,-829.1349353994
S66x8/17-150,-829.1280376088
S66x8/17-200,-829.1208222681
S66x8/18-A,-76.3867071262
S66x8/18-B,-248.0748541523
S66x8/18-090,-324.4724575009
S66x8/18-095,-324.4729474144
S66x8/18-100,-324.4728720413
S66x8/18-105,-324.4724449726
S66x8/18-110,-324.4718127012
S66x8/18-125,-324.4695546356
S66x8/18-150,-324.4664510566
S66x8/18-200,-324.4635151759
S66x8/19-A,-115.6404572801
S66x8/19-B,-248.0748486979
S66x8/19-090,-363.7257549126
S66x8/19-095,-363.7264909719
S66x8/19-100,-363.7265891177
S66x8/19-105,-363.7262804762
S66x8/19-110,-363.7257796841
S66x8/19-125,-363.7235079702
S66x8/19-150,-363.7203530756
S66x8/19-200,-363.7171925666
S66x8/20-A,-228.9427141692
S66x8/20-B,-228.9427258966
S66x8/20-090,-457.9136261264
S66x8/20-095,-457.9155195218
S66x8/20-100,-457.9158056357
S66x8/20-105,-457.9150373648
S66x8/20-110,-457.9136466878
S66x8/20-125,-457.907936175
S66x8/20-150,-457.89958734
S66x8/20-200,-457.8910126596
S66x8/21-A,-209.0721475401
S66x8/21-B,-209.0721513711
S66x8/21-090,-418.1667785112
S66x8/21-095,-418.1683468526
S66x8/21-100,-418.1686283076
S66x8/21-105,-418.1681113768
S66x8/21-110,-418.1670942035
S66x8/21-125,-418.1628674347
S66x8/21-150,-418.156374365
S66x8/21-200,-418.1489468961
S66x8/22-A,-228.9426307367
S66x8/22-B,-414.5576637225
S66x8/22-090,-643.5278328219
S66x8/22-095,-643.5296685441
S66x8/22-100,-643.5300026468
S66x8/22-105,-643.5293619825
S66x8/22-110,-643.5281380674
S66x8/22-125,-643.5230470897
S66x8/22-150,-643.515095744
S66x8/22-200,-643.506616598
S66x8/23-A,-209.0720022333
S66x8/23-B,-414.5576917343
S66x8/23-090,-623.6561424253
S66x8/23-095,-623.6579041602
S66x8/23-100,-623.6583074796
S66x8/23-105,-623.65781598
S66x8/23-110,-623.6567686135
S66x8/23-125,-623.6522435625
S66x8/23-150,-623.6449285108
S66x8/23-200,-623.6367313876
S66x8/24-A,-232.0360536969
S66x8/24-B,-232.0360938553
S66x8/24-090,-464.0615698226
S66x8/24-095,-464.066169316
S66x8/24-100,-464.0694565138
S66x8/24-105,-464.0709480695
S66x8/24-110,-464.0712583606
S66x8/24-125,-464.0721455044
S66x8/24-150,-464.0719477689
S66x8/24-200,-464.0718583504
S66x8/25-A,-248.0748954427
S66x8/25-B,-248.0749117437
S66x8/25-090,-496.141262079
S66x8/25-095,-496.1455673584
S66x8/25-100,-496.1483640298
S66x8/25-105,-496.150043043
S66x8/25-110,-496.1506203049
S66x8/25-125,-496.1509456053
S66x8/25-150,-496.1503555443
S66x8/25-200,-496.1499623374
S66x8/26-A,-414.5582676124
S66x8/26-B,-414.5582676124
S66x8/26-090,-829.1139926142
S66x8/26-095,-829.1187759859
S66x8/26-100,-829.1214649291
S66x8/26-105,-829.1225848387
S66x8/26-110,-829.1227438612
S66x8/26-125,-829.1219489974
S66x8/26-150,-829.1196782095
S66x8/26-200,-829.117678457
S66x8/27-A,-232.0360801137
S66x8/27-B,-248.0749076519
S66x8/27-090,-480.1013367269
S66x8/27-095,-480.1058237888
S66x8/27-100,-480.1089934399
S66x8/27-105,-480.1107006704
S66x8/27-110,-480.1110687238
S66x8/27-125,-480.1116312781
S66x8/27-150,-480.1111522699
S66x8/27-200,-480.1108933932
S66x8/28-A,-232.0360688842
S66x8/28-B,-414.5586122147
S66x8/28-090,-646.5868401803
S66x8/28-095,-646.5910432871
S66x8/28-100,-646.5938889744
S66x8/28-105,-646.5956608071
S66x8/28-110,-646.596285927
S66x8/28-125,-646.5960849908
S66x8/28-150,-646.5952715548
S66x8/28-200,-646.5946211221
S66x8/29-A,-248.0748935726
S66x8/29-B,-414.558560955
S66x8/29-090,-662.6258855919
S66x8/29-095,-662.6315431514
S66x8/29-100,-662.6345255689
S66x8/29-105,-662.6363137091
S66x8/29-110,-662.6369221483
S66x8/29-125,-662.6364024487
S66x8/29-150,-662.6350637431
S66x8/29-200,-662.6340198124
S66x8/30-A,-232.0360760895
S66x8/30-B,-78.5071019235
S66x8/30-090,-310.5381561633
S66x8/30-095,-310.5402684425
S66x8/30-100,-310.5417793127
S66x8/30-105,-310.5424517945
S66x8/30-110,-310.5425729119
S66x8/30-125,-310.5430220906
S66x8/30-150,-310.542890543
S66x8/30-200,-310.5429344715
S66x8/31-A,-414.558627485
S66x8/31-B,-78.5072087903
S66x8/31-090,-493.0634035867
S66x8/31-095,-493.0654627779
S66x8/31-100,-493.0666502342
S66x8/31-105,-493.0671895977
S66x8/31-110,-493.067348976
S66x8/31-125,-493.0672379594
S66x8/31-150,-493.0665703923
S66x8/31-200,-493.0659734944
S66x8/32-A,-414.5585519156
S66x8/32-B,-77.2575710448
S66x8/32-090,-491.8147005539
S66x8/32-095,-491.8167932406
S66x8/32-100,-491.817897644
S66x8/32-105,-491.8183251262
S66x8/32-110,-491.8184202451
S66x8/32-125,-491.8180534104
S66x8/32-150,-491.817085761
S66x8/32-200,-491.816290744
S66x8/33-A,-248.0748906983
S66x8/33-B,-78.5070474897
S66x8/33-090,-326.5781883034
S66x8/33-095,-326.5801211969
S66x8/33-100,-326.5813018695
S66x8/33-105,-326.5819213487
S66x8/33-110,-326.5821483109
S66x8/33-125,-326.5823827791
S66x8/33-150,-326.5821215724
S66x8/33-200,-326.5819812461
S66x8/34-A,-197.55800773
S66x8/34-B,-197.5577762311
S66x8/34-090,-395.1119430598
S66x8/34-095,-395.1145322554
S66x8/34-100,-395.1159761882
S66x8/34-105,-395.1167334343
S66x8/34-110,-395.1171211674
S66x8/34-125,-395.1172494315
S66x8/34-150,-395.116764166
S66x8/34-200,-395.1163263864
S66x8/35-A,-197.5579198855
S66x8/35-B,-197.5605617186
S66x8/35-090,-395.1155073338
S66x8/35-095,-395.1174506505
S66x8/35-100,-395.1185213501
S66x8/35-105,-395.119044859
S66x8/35-110,-395.1192689661
S66x8/35-125,-395.1192353447
S66x8/35-150,-395.1188461972
S66x8/35-200,-395.1185497862
S66x8/36-A,-197.5606164906
S66x8/36-B,-197.5607378526
S66x8/36-090,-395.1194947666
S66x8/36-095,-395.1205456637
S66x8/36-100,-395.1211161334
S66x8/36-105,-395.1213997256
S66x8/36-110,-395.1215374396
S66x8/36-125,-395.1214960413
S66x8/36-150,-395.1212180976
S66x8/36-200,-395.120988627
S66x8/37-A,-196.3555591687
S66x8/37-B,-197.5604076266
S66x8/37-090,-393.9127720502
S66x8/37-095,-393.9148087581
S66x8/37-100,-393.9159254185
