system,LC-wPBEh(w=25)/def2-QZVP/Q-Chem
S22x5/01-A,-467.0019643127
S22x5/01-B,-453.8394382007
S22x5/01-0.9,-920.862921205
S22x5/01-1.0,-920.8647847485
S22x5/01-1.2,-920.8601601479
S22x5/01-1.5,-920.8517202151
S22x5/01-2.0,-920.8449469358
S22x5/02-A,-467.0015054109
S22x5/02-B,-453.840402832
S22x5/02-0.9,-920.8333467155
S22x5/02-1.0,-920.8451505839
S22x5/02-1.2,-920.8472891867
S22x5/02-1.5,-920.8446149032
S22x5/02-2.0,-920.8428602267
S22x5/03-A,-56.5192157896
S22x5/03-B,-56.5192157896
S22x5/03-0.9,-113.0419326573
S22x5/03-1.0,-113.0430042786
S22x5/03-1.2,-113.0419991794
S22x5/03-1.5,-113.0401646816
S22x5/03-2.0,-113.039005935
S22x5/04-A,-76.3863487459
S22x5/04-B,-76.386366887
S22x5/04-0.9,-152.7801717206
S22x5/04-1.0,-152.7810123527
S22x5/04-1.2,-152.7793864234
S22x5/04-1.5,-152.7765278645
S22x5/04-2.0,-152.7742815053
S22x5/05-A,-40.4759668074
S22x5/05-B,-40.4759668074
S22x5/05-0.9,-80.9511345702
S22x5/05-1.0,-80.9520022423
S22x5/05-1.2,-80.9520692437
S22x5/05-1.5,-80.9519494251
S22x5/05-2.0,-80.9519329963
S22x5/06-A,-78.515823371
S22x5/06-B,-78.515823371
S22x5/06-0.9,-157.0301095162
S22x5/06-1.0,-157.0322393151
S22x5/06-1.2,-157.0322470395
S22x5/06-1.5,-157.0317685077
S22x5/06-2.0,-157.031651972
S22x5/07-A,-78.5157860919
S22x5/07-B,-77.2604708577
S22x5/07-0.9,-155.7776029156
S22x5/07-1.0,-155.7781641391
S22x5/07-1.2,-155.7777126859
S22x5/07-1.5,-155.776924991
S22x5/07-2.0,-155.776449768
S22x5/08-A,-189.6511828685
S22x5/08-B,-189.6511828685
S22x5/08-0.9,-379.3302067452
S22x5/08-1.0,-379.3326849408
S22x5/08-1.2,-379.3271628423
S22x5/08-1.5,-379.3168076375
S22x5/08-2.0,-379.3081072929
S22x5/09-A,-169.7876743601
S22x5/09-B,-169.7876743601
S22x5/09-0.9,-339.5977155213
S22x5/09-1.0,-339.5999487237
S22x5/09-1.2,-339.5957988055
S22x5/09-1.5,-339.587823752
S22x5/09-2.0,-339.5809043128
S22x5/10-A,-232.0545132648
S22x5/10-B,-76.3862854582
S22x5/10-0.9,-308.4438760907
S22x5/10-1.0,-308.4447544789
S22x5/10-1.2,-308.4441224198
S22x5/10-1.5,-308.4426787443
S22x5/10-2.0,-308.4415221882
S22x5/11-A,-232.0545578806
S22x5/11-B,-56.5191616821
S22x5/11-0.9,-288.5744199048
S22x5/11-1.0,-288.5755997429
S22x5/11-1.2,-288.5754356704
S22x5/11-1.5,-288.5746680212
S22x5/11-2.0,-288.5740482647
S22x5/12-A,-232.0545495416
S22x5/12-B,-40.4759304302
S22x5/12-0.9,-272.5292580617
S22x5/12-1.0,-272.5306597947
S22x5/12-1.2,-272.5311113726
S22x5/12-1.5,-272.5308071144
S22x5/12-2.0,-272.5305383636
S22x5/13-A,-232.054553138
S22x5/13-B,-232.0545468178
S22x5/13-0.9,-464.1076931359
S22x5/13-1.0,-464.109509869
S22x5/13-1.2,-464.1103636366
S22x5/13-1.5,-464.1098456643
S22x5/13-2.0,-464.1093478973
S22x5/14-A,-232.0545295461
S22x5/14-B,-232.0545295462
S22x5/14-0.9,-464.0985153207
S22x5/14-1.0,-464.1063812426
S22x5/14-1.2,-464.108733115
S22x5/14-1.5,-464.108819051
S22x5/14-2.0,-464.1088003055
S22x5/15-A,-232.0544159963
S22x5/15-B,-363.5363131999
S22x5/15-0.9,-595.5922816178
S22x5/15-1.0,-595.594672059
S22x5/15-1.2,-595.5953558869
S22x5/15-1.5,-595.5938689838
S22x5/15-2.0,-595.5921071098
S22x5/16-A,-232.0544528698
S22x5/16-B,-363.536348672
S22x5/16-0.9,-595.5793401028
S22x5/16-1.0,-595.5874742487
S22x5/16-1.2,-595.5907171311
S22x5/16-1.5,-595.590703462
S22x5/16-2.0,-595.5906629979
S22x5/17-A,-264.1154999964
S22x5/17-B,-264.1155369379
S22x5/17-0.9,-528.2225500299
S22x5/17-1.0,-528.2301108434
S22x5/17-1.2,-528.2323081619
S22x5/17-1.5,-528.231632334
S22x5/17-2.0,-528.2311932754
S22x5/18-A,-323.2895757572
S22x5/18-B,-303.4235168976
S22x5/18-0.9,-626.7358699035
S22x5/18-1.0,-626.7378705116
S22x5/18-1.2,-626.7334035756
S22x5/18-1.5,-626.7249301859
S22x5/18-2.0,-626.7178456027
S22x5/19-A,-307.2427649858
S22x5/19-B,-307.2424933121
S22x5/19-0.9,-614.4908299068
S22x5/19-1.0,-614.4920553199
S22x5/19-1.2,-614.4916842786
S22x5/19-1.5,-614.4893139009
S22x5/19-2.0,-614.4871458487
S22x5/20-A,-414.555188623
S22x5/20-B,-414.555188623
S22x5/20-0.9,-829.1065620687
S22x5/20-1.0,-829.1159124144
S22x5/20-1.2,-829.1158517823
S22x5/20-1.5,-829.1129360543
S22x5/20-2.0,-829.1112251078
S22x5/21-A,-414.5545028534
S22x5/21-B,-414.5545028533
S22x5/21-0.9,-829.1373019929
S22x5/21-1.0,-829.1396532727
S22x5/21-1.2,-829.1341321078
S22x5/21-1.5,-829.1241993459
S22x5/21-2.0,-829.1155954116
S22x5/22-A,-232.0545111071
S22x5/22-B,-93.350215534
S22x5/22-0.9,-325.4087925109
S22x5/22-1.0,-325.4098765406
S22x5/22-1.2,-325.4093579832
S22x5/22-1.5,-325.4075646215
S22x5/22-2.0,-325.40591926
S66x8/01-A,-76.3863578751
S66x8/01-B,-76.3863559367
S66x8/01-090,-152.7805710914
S66x8/01-095,-152.7809220646
S66x8/01-100,-152.7808398718
S66x8/01-105,-152.7804997656
S66x8/01-110,-152.7800180352
S66x8/01-125,-152.7783749457
S66x8/01-150,-152.7761826592
S66x8/01-200,-152.774124666
S66x8/02-A,-76.3863628747
S66x8/02-B,-115.6455753322
S66x8/02-090,-192.0399354118
S66x8/02-095,-192.040423342
S66x8/02-100,-192.0404159069
S66x8/02-105,-192.0401106059
S66x8/02-110,-192.0396338693
S66x8/02-125,-192.0379100534
S66x8/02-150,-192.0355488373
S66x8/02-200,-192.0333482979
S66x8/03-A,-76.3863664804
S66x8/03-B,-95.7837664637
S66x8/03-090,-172.1811270034
S66x8/03-095,-172.1815305199
S66x8/03-100,-172.1813845315
S66x8/03-105,-172.1809056798
S66x8/03-110,-172.180240507
S66x8/03-125,-172.1779223472
S66x8/03-150,-172.1747701753
S66x8/03-200,-172.1718135722
S66x8/04-A,-76.3863668154
S66x8/04-B,-248.3493086442
S66x8/04-090,-324.7470604425
S66x8/04-095,-324.7476158336
S66x8/04-100,-324.747592395
S66x8/04-105,-324.7472178625
S66x8/04-110,-324.7466335473
S66x8/04-125,-324.744459242
S66x8/04-150,-324.7412966887
S66x8/04-200,-324.7377486972
S66x8/05-A,-115.6456046823
S66x8/05-B,-115.6456046411
S66x8/05-090,-231.2990064576
S66x8/05-095,-231.2996078919
S66x8/05-100,-231.2996801376
S66x8/05-105,-231.2994312286
S66x8/05-110,-231.2989943763
S66x8/05-125,-231.2973278976
S66x8/05-150,-231.2949705882
S66x8/05-200,-231.2927123834
S66x8/06-A,-115.6454231043
S66x8/06-B,-95.7838169694
S66x8/06-090,-211.4400237438
S66x8/06-095,-211.4407530104
S66x8/06-100,-211.4408077029
S66x8/06-105,-211.4404448017
S66x8/06-110,-211.4398472257
S66x8/06-125,-211.437585574
S66x8/06-150,-211.4343330725
S66x8/06-200,-211.4311898317
S66x8/07-A,-115.6455200566
S66x8/07-B,-248.3489992078
S66x8/07-090,-364.0055886587
S66x8/07-095,-364.0063102161
S66x8/07-100,-364.0064058661
S66x8/07-105,-364.0061099281
S66x8/07-110,-364.005569253
S66x8/07-125,-364.0034218833
S66x8/07-150,-363.9998127817
S66x8/07-200,-363.9961182876
S66x8/08-A,-115.645610925
S66x8/08-B,-76.3863594017
S66x8/08-090,-192.0395760496
S66x8/08-095,-192.0400317556
S66x8/08-100,-192.0400250993
S66x8/08-105,-192.0397403075
S66x8/08-110,-192.0392964152
S66x8/08-125,-192.0377072938
S66x8/08-150,-192.0355233731
S66x8/08-200,-192.0334429304
S66x8/09-A,-95.7838060123
S66x8/09-B,-115.6456222609
S66x8/09-090,-211.4325622772
S66x8/09-095,-211.4330606529
S66x8/09-100,-211.4331940064
S66x8/09-105,-211.4331130363
S66x8/09-110,-211.4329137549
S66x8/09-125,-211.4320914973
S66x8/09-150,-211.4309880186
S66x8/09-200,-211.43003843
S66x8/10-A,-95.783819494
S66x8/10-B,-95.7837884816
S66x8/10-090,-191.5716226696
S66x8/10-095,-191.5723672014
S66x8/10-100,-191.5726042966
S66x8/10-105,-191.5725394191
S66x8/10-110,-191.5722915472
S66x8/10-125,-191.5711894588
S66x8/10-150,-191.5693452963
S66x8/10-200,-191.5681253695
S66x8/11-A,-95.783687319
S66x8/11-B,-248.3491409285
S66x8/11-090,-344.1374717819
S66x8/11-095,-344.1383826923
S66x8/11-100,-344.1387490606
S66x8/11-105,-344.1387700502
S66x8/11-110,-344.1385748064
S66x8/11-125,-344.1368185887
S66x8/11-150,-344.1347217192
S66x8/11-200,-344.1335437511
S66x8/12-A,-95.7837742796
S66x8/12-B,-76.3860378391
S66x8/12-090,-172.1809190954
S66x8/12-095,-172.1815045904
S66x8/12-100,-172.1814638672
S66x8/12-105,-172.1810396397
S66x8/12-110,-172.1804025335
S66x8/12-125,-172.1781062843
S66x8/12-150,-172.1748915216
S66x8/12-200,-172.1718497682
S66x8/13-A,-248.3491098385
S66x8/13-B,-115.6456132663
S66x8/13-090,-364.0013991384
S66x8/13-095,-364.0022186974
S66x8/13-100,-364.0025000714
S66x8/13-105,-364.0024381471
S66x8/13-110,-364.0021669951
S66x8/13-125,-364.0008553336
S66x8/13-150,-363.9987752748
S66x8/13-200,-363.9965861945
S66x8/14-A,-248.3489110228
S66x8/14-B,-95.7837799016
S66x8/14-090,-344.1415359216
S66x8/14-095,-344.142438121
S66x8/14-100,-344.142708686
S66x8/14-105,-344.1425756865
S66x8/14-110,-344.1421886974
S66x8/14-125,-344.1404004972
S66x8/14-150,-344.137675736
S66x8/14-200,-344.1348337571
S66x8/15-A,-248.3492318198
S66x8/15-B,-248.3493068528
S66x8/15-090,-496.7079616007
S66x8/15-095,-496.7089376548
S66x8/15-100,-496.7092811453
