system,LC-BLYP(w=50)/def2-QZVP/Q-Chem
S22x5/01-A,-467.0901535549
S22x5/01-B,-453.9313830993
S22x5/01-0.9,-921.0476989681
S22x5/01-1.0,-921.0493862892
S22x5/01-1.2,-921.0437825724
S22x5/01-1.5,-921.0336573732
S22x5/01-2.0,-921.0254670101
S22x5/02-A,-467.0895830253
S22x5/02-B,-453.9320116582
S22x5/02-0.9,-921.0206132723
S22x5/02-1.0,-921.031730305
S22x5/02-1.2,-921.0302730222
S22x5/02-1.5,-921.0247965226
S22x5/02-2.0,-921.0225454282
S22x5/03-A,-56.5122598465
S22x5/03-B,-56.5122598465
S22x5/03-0.9,-113.0306157573
S22x5/03-1.0,-113.0311421871
S22x5/03-1.2,-113.0291367509
S22x5/03-1.5,-113.0265329462
S22x5/03-2.0,-113.0251170901
S22x5/04-A,-76.4017179076
S22x5/04-B,-76.4016909912
S22x5/04-0.9,-152.8135614172
S22x5/04-1.0,-152.8140609818
S22x5/04-1.2,-152.8116010519
S22x5/04-1.5,-152.8078143533
S22x5/04-2.0,-152.8050420268
S22x5/05-A,-40.4485469392
S22x5/05-B,-40.4485469392
S22x5/05-0.9,-80.8979409407
S22x5/05-1.0,-80.8980962993
S22x5/05-1.2,-80.8974400687
S22x5/05-1.5,-80.897119445
S22x5/05-2.0,-80.8970935062
S22x5/06-A,-78.4986882513
S22x5/06-B,-78.4986882513
S22x5/06-0.9,-156.9986313739
S22x5/06-1.0,-156.9999182855
S22x5/06-1.2,-156.9985889195
S22x5/06-1.5,-156.997534098
S22x5/06-2.0,-156.9973804948
S22x5/07-A,-78.4986483653
S22x5/07-B,-77.2640340047
S22x5/07-0.9,-155.765358096
S22x5/07-1.0,-155.7655666916
S22x5/07-1.2,-155.7645545109
S22x5/07-1.5,-155.7634089852
S22x5/07-2.0,-155.7628638595
S22x5/08-A,-189.7114094803
S22x5/08-B,-189.7114094803
S22x5/08-0.9,-379.4540235038
S22x5/08-1.0,-379.4569343334
S22x5/08-1.2,-379.4510319384
S22x5/08-1.5,-379.4392276374
S22x5/08-2.0,-379.4290128058
S22x5/09-A,-169.8250065688
S22x5/09-B,-169.8250065688
S22x5/09-0.9,-339.6761267753
S22x5/09-1.0,-339.6783458906
S22x5/09-1.2,-339.6733489035
S22x5/09-1.5,-339.6638796808
S22x5/09-2.0,-339.6557798069
S22x5/10-A,-232.0473002719
S22x5/10-B,-76.4016397946
S22x5/10-0.9,-308.4541324177
S22x5/10-1.0,-308.4546528525
S22x5/10-1.2,-308.4531922972
S22x5/10-1.5,-308.451011555
S22x5/10-2.0,-308.4496093976
S22x5/11-A,-232.0473130195
S22x5/11-B,-56.5121611295
S22x5/11-0.9,-288.5622114266
S22x5/11-1.0,-288.5629966693
S22x5/11-1.2,-288.5620303699
S22x5/11-1.5,-288.5606095896
S22x5/11-2.0,-288.5597825333
S22x5/12-A,-232.0472805886
S22x5/12-B,-40.4484689154
S22x5/12-0.9,-272.4965193916
S22x5/12-1.0,-272.4975403189
S22x5/12-1.2,-272.4972170979
S22x5/12-1.5,-272.4962529318
