system,wB97M(w=50)/def2-QZVP/Q-Chem
S22x5/01-A,-467.74882077
S22x5/01-B,-454.53705657
S22x5/01-0.9,-922.29962073
S22x5/01-1.0,-922.30363777
S22x5/01-1.2,-922.30184255
S22x5/01-1.5,-922.29529793
S22x5/01-2.0,-922.28929891
S22x5/02-A,-467.74893956
S22x5/02-B,-454.53830465
S22x5/02-0.9,-922.26560107
S22x5/02-1.0,-922.2840867
S22x5/02-1.2,-922.2912392
S22x5/02-1.5,-922.29002231
S22x5/02-2.0,-922.28817518
S22x5/03-A,-56.60318229
S22x5/03-B,-56.60318229
S22x5/03-0.9,-113.20762178
S22x5/03-1.0,-113.20964043
S22x5/03-1.2,-113.20945847
S22x5/03-1.5,-113.20802599
S22x5/03-2.0,-113.20690434
S22x5/04-A,-76.48738071
S22x5/04-B,-76.48740812
S22x5/04-0.9,-152.97943331
S22x5/04-1.0,-152.98119148
S22x5/04-1.2,-152.98062997
S22x5/04-1.5,-152.9783979
S22x5/04-2.0,-152.97633756
S22x5/05-A,-40.54390051
S22x5/05-B,-40.54390051
S22x5/05-0.9,-81.08621901
S22x5/05-1.0,-81.08756028
S22x5/05-1.2,-81.08795485
S22x5/05-1.5,-81.08783019
S22x5/05-2.0,-81.08780274
S22x5/06-A,-78.65662464
S22x5/06-B,-78.65662464
S22x5/06-0.9,-157.30906176
S22x5/06-1.0,-157.31256795
S22x5/06-1.2,-157.31368786
S22x5/06-1.5,-157.31339353
S22x5/06-2.0,-157.31325491
S22x5/07-A,-78.65662031
S22x5/07-B,-77.40735973
S22x5/07-0.9,-156.06425093
S22x5/07-1.0,-156.06529376
S22x5/07-1.2,-156.06529703
S22x5/07-1.5,-156.06465629
S22x5/07-2.0,-156.06417712
S22x5/08-A,-189.92280027
S22x5/08-B,-189.92280028
S22x5/08-0.9,-379.86432737
S22x5/08-1.0,-379.86913138
S22x5/08-1.2,-379.86680991
S22x5/08-1.5,-379.85877355
S22x5/08-2.0,-379.85115313
S22x5/09-A,-170.04113905
S22x5/09-B,-170.04113905
S22x5/09-0.9,-340.09751896
S22x5/09-1.0,-340.10171789
S22x5/09-1.2,-340.10019685
S22x5/09-1.5,-340.09389747
S22x5/09-2.0,-340.08770729
S22x5/10-A,-232.46381937
S22x5/10-B,-76.48735159
