system,cam-B3LYP(w=300)/def2-QZVP/Q-Chem
S22x5/01-A,-467.330056009
S22x5/01-B,-454.1672010684
S22x5/01-0.9,-921.5186415638
S22x5/01-1.0,-921.5208704146
S22x5/01-1.2,-921.5163068988
S22x5/01-1.5,-921.5075137061
S22x5/01-2.0,-921.5006219192
S22x5/02-A,-467.3293007411
S22x5/02-B,-454.1682174185
S22x5/02-0.9,-921.4886237885
S22x5/02-1.0,-921.5014559969
S22x5/02-1.2,-921.5027536274
S22x5/02-1.5,-921.4998192709
S22x5/02-2.0,-921.4984446746
S22x5/03-A,-56.5625617047
S22x5/03-B,-56.5625617047
S22x5/03-0.9,-113.1287672278
S22x5/03-1.0,-113.1298508988
S22x5/03-1.2,-113.1286332312
S22x5/03-1.5,-113.126741265
S22x5/03-2.0,-113.1256794798
S22x5/04-A,-76.4451950559
S22x5/04-B,-76.4452283435
S22x5/04-0.9,-152.8985167204
S22x5/04-1.0,-152.8992612393
S22x5/04-1.2,-152.8973430034
S22x5/04-1.5,-152.8942343419
S22x5/04-2.0,-152.891974759
S22x5/05-A,-40.507673185
S22x5/05-B,-40.507673185
S22x5/05-0.9,-81.0145900747
S22x5/05-1.0,-81.0152732975
S22x5/05-1.2,-81.0153140543
S22x5/05-1.5,-81.0153244091
S22x5/05-2.0,-81.0153448707
S22x5/06-A,-78.576051764
S22x5/06-B,-78.576051764
S22x5/06-0.9,-157.1505645475
S22x5/06-1.0,-157.1526061934
S22x5/06-1.2,-157.1524408598
S22x5/06-1.5,-157.1521212897
S22x5/06-2.0,-157.1521057309
S22x5/07-A,-78.5760138664
S22x5/07-B,-77.3219824811
S22x5/07-0.9,-155.8989580749
S22x5/07-1.0,-155.8996156809
S22x5/07-1.2,-155.8992299737
S22x5/07-1.5,-155.8985486642
S22x5/07-2.0,-155.8981754988
S22x5/08-A,-189.7944081095
S22x5/08-B,-189.7944081095
S22x5/08-0.9,-379.6175353928
S22x5/08-1.0,-379.620274666
S22x5/08-1.2,-379.61460737
S22x5/08-1.5,-379.6036175098
S22x5/08-2.0,-379.5944919736
S22x5/09-A,-169.9148172029
S22x5/09-B,-169.9148172029
S22x5/09-0.9,-339.852615764
S22x5/09-1.0,-339.8550888993
S22x5/09-1.2,-339.8507711396
S22x5/09-1.5,-339.8422521532
S22x5/09-2.0,-339.8351319066
S22x5/10-A,-232.2182654839
S22x5/10-B,-76.445081291
S22x5/10-0.9,-308.6661761668
S22x5/10-1.0,-308.6671139996
S22x5/10-1.2,-308.6663982094
S22x5/10-1.5,-308.6649872043
S22x5/10-2.0,-308.6639941156
S22x5/11-A,-232.2183082884
S22x5/11-B,-56.5624407238
S22x5/11-0.9,-288.7812048349
S22x5/11-1.0,-288.7823960487
S22x5/11-1.2,-288.7822066864
S22x5/11-1.5,-288.7814909991
S22x5/11-2.0,-288.7810319842
S22x5/12-A,-232.2182899142
S22x5/12-B,-40.5076814956
S22x5/12-0.9,-272.724521524
S22x5/12-1.0,-272.7259503533
S22x5/12-1.2,-272.7263587304
S22x5/12-1.5,-272.7260892424
S22x5/12-2.0,-272.7259940173
S22x5/13-A,-232.21827447
S22x5/13-B,-232.2182649982
S22x5/13-0.9,-464.4346416672
S22x5/13-1.0,-464.4366724453
S22x5/13-1.2,-464.4375005989
S22x5/13-1.5,-464.4370330829
