system,cam-B3LYP(w=75)/def2-QZVP/Q-Chem
S22x5/01-A,-467.5558808981
S22x5/01-B,-454.3745411795
S22x5/01-0.9,-921.9519368717
S22x5/01-1.0,-921.9543266858
S22x5/01-1.2,-921.9498872317
S22x5/01-1.5,-921.9410059274
S22x5/01-2.0,-921.9338671732
S22x5/02-A,-467.5553780367
S22x5/02-B,-454.3755804903
S22x5/02-0.9,-921.9211862765
S22x5/02-1.0,-921.9350006529
S22x5/02-1.2,-921.9367463637
S22x5/02-1.5,-921.9334007403
S22x5/02-2.0,-921.9318772419
S22x5/03-A,-56.5851359369
S22x5/03-B,-56.5851359369
S22x5/03-0.9,-113.1741437743
S22x5/03-1.0,-113.1752359278
S22x5/03-1.2,-113.1739738971
S22x5/03-1.5,-113.171952402
S22x5/03-2.0,-113.1708290288
S22x5/04-A,-76.4720333425
S22x5/04-B,-76.4720585311
S22x5/04-0.9,-152.9521340947
S22x5/04-1.0,-152.9529968089
S22x5/04-1.2,-152.9511536118
S22x5/04-1.5,-152.9479792493
S22x5/04-2.0,-152.9456291293
S22x5/05-A,-40.5265372158
S22x5/05-B,-40.5265372158
S22x5/05-0.9,-81.0525749721
S22x5/05-1.0,-81.053213232
S22x5/05-1.2,-81.0531174798
S22x5/05-1.5,-81.0530576553
S22x5/05-2.0,-81.0530730324
S22x5/06-A,-78.617459755
S22x5/06-B,-78.617459755
S22x5/06-0.9,-157.2336469209
S22x5/06-1.0,-157.2357475385
S22x5/06-1.2,-157.2354393926
S22x5/06-1.5,-157.2349562163
S22x5/06-2.0,-157.2349214725
S22x5/07-A,-78.6174211626
S22x5/07-B,-77.3650001713
S22x5/07-0.9,-155.9837570329
S22x5/07-1.0,-155.9843429344
S22x5/07-1.2,-155.9838148655
S22x5/07-1.5,-155.9830105056
S22x5/07-2.0,-155.9825983627
S22x5/08-A,-189.8710945361
S22x5/08-B,-189.8710945361
S22x5/08-0.9,-379.7699317887
S22x5/08-1.0,-379.7730935983
S22x5/08-1.2,-379.7679391981
S22x5/08-1.5,-379.7571553121
S22x5/08-2.0,-379.7479145223
S22x5/09-A,-169.987438628
S22x5/09-B,-169.987438628
S22x5/09-0.9,-339.9975266959
S22x5/09-1.0,-340.0002445082
S22x5/09-1.2,-339.9961556159
S22x5/09-1.5,-339.9876500101
S22x5/09-2.0,-339.9803648296
S22x5/10-A,-232.3452913231
S22x5/10-B,-76.4719424526
S22x5/10-0.9,-308.8201719707
S22x5/10-1.0,-308.8212085059
S22x5/10-1.2,-308.820478379
S22x5/10-1.5,-308.818929492
S22x5/10-2.0,-308.8178672647
S22x5/11-A,-232.3453215973
S22x5/11-B,-56.5850510128
S22x5/11-0.9,-288.931000162
S22x5/11-1.0,-288.9322724433
S22x5/11-1.2,-288.9320177699
S22x5/11-1.5,-288.9311754304
S22x5/11-2.0,-288.9306510041
S22x5/12-A,-232.3452857625
S22x5/12-B,-40.5265399775
S22x5/12-0.9,-272.8705771135
S22x5/12-1.0,-272.8720725535
S22x5/12-1.2,-272.8724339366
S22x5/12-1.5,-272.8720202197
S22x5/12-2.0,-272.8718499515
S22x5/13-A,-232.3452824096
S22x5/13-B,-232.3452818402
S22x5/13-0.9,-464.6888739447
S22x5/13-1.0,-464.690937593
S22x5/13-1.2,-464.6917784218
S22x5/13-1.5,-464.6911625609
S22x5/13-2.0,-464.6907417941
S22x5/14-A,-232.3452957342
S22x5/14-B,-232.3452957343
S22x5/14-0.9,-464.6791565493
S22x5/14-1.0,-464.6878513682
S22x5/14-1.2,-464.6902693145
S22x5/14-1.5,-464.6902273491
S22x5/14-2.0,-464.6903295712
S22x5/15-A,-232.3452056517
S22x5/15-B,-363.9797135674
S22x5/15-0.9,-596.3257566257
S22x5/15-1.0,-596.3285858297
S22x5/15-1.2,-596.3293307863
S22x5/15-1.5,-596.3277260893
S22x5/15-2.0,-596.3260811293
S22x5/16-A,-232.3452193176
S22x5/16-B,-363.9797435587
S22x5/16-0.9,-596.3119873307
S22x5/16-1.0,-596.3216415844
S22x5/16-1.2,-596.3249892897
S22x5/16-1.5,-596.3246389273
S22x5/16-2.0,-596.3247644543
S22x5/17-A,-264.4393562402
S22x5/17-B,-264.4394009549
S22x5/17-0.9,-528.8694964413
S22x5/17-1.0,-528.8781010316
S22x5/17-1.2,-528.8801037592
S22x5/17-1.5,-528.8791928736
S22x5/17-2.0,-528.8788869306
S22x5/18-A,-323.6793643051
S22x5/18-B,-303.7926358416
S22x5/18-0.9,-627.4945008486
S22x5/18-1.0,-627.4971152797
S22x5/18-1.2,-627.4929464699
S22x5/18-1.5,-627.4841147283
S22x5/18-2.0,-627.4766686831
