system,LC-wPBE08(w=150)/def2-QZVP/Q-Chem
S22x5/01-A,-467.0478177133
S22x5/01-B,-453.8826472999
S22x5/01-0.9,-920.9505338131
S22x5/01-1.0,-920.9526646753
S22x5/01-1.2,-920.9485273129
S22x5/01-1.5,-920.9404906502
S22x5/01-2.0,-920.9339563772
S22x5/02-A,-467.0473031138
S22x5/02-B,-453.8832971073
S22x5/02-0.9,-920.9203709789
S22x5/02-1.0,-920.9326335315
S22x5/02-1.2,-920.9355132384
S22x5/02-1.5,-920.9331703679
S22x5/02-2.0,-920.931515799
S22x5/03-A,-56.524481276
S22x5/03-B,-56.524481276
S22x5/03-0.9,-113.0521349196
S22x5/03-1.0,-113.0532791183
S22x5/03-1.2,-113.0524025245
S22x5/03-1.5,-113.0506560815
S22x5/03-2.0,-113.0495313462
S22x5/04-A,-76.3937215897
S22x5/04-B,-76.3936891273
S22x5/04-0.9,-152.7944681171
S22x5/04-1.0,-152.7954192573
S22x5/04-1.2,-152.793932809
S22x5/04-1.5,-152.7911645841
S22x5/04-2.0,-152.7889616126
S22x5/05-A,-40.4778639841
S22x5/05-B,-40.4778639841
S22x5/05-0.9,-80.9546127334
S22x5/05-1.0,-80.9556221245
S22x5/05-1.2,-80.9557901146
S22x5/05-1.5,-80.9557315851
S22x5/05-2.0,-80.9557273471
S22x5/06-A,-78.5215218125
S22x5/06-B,-78.5215218125
S22x5/06-0.9,-157.0409074432
S22x5/06-1.0,-157.0432702117
S22x5/06-1.2,-157.0434863779
S22x5/06-1.5,-157.043137837
S22x5/06-2.0,-157.0430473467
S22x5/07-A,-78.521489762
S22x5/07-B,-77.2689534444
S22x5/07-0.9,-155.7913360266
S22x5/07-1.0,-155.7919905734
S22x5/07-1.2,-155.7917017985
S22x5/07-1.5,-155.7910299825
S22x5/07-2.0,-155.7906221224
S22x5/08-A,-189.6726260507
S22x5/08-B,-189.6726260507
S22x5/08-0.9,-379.3711570342
S22x5/08-1.0,-379.3741110585
S22x5/08-1.2,-379.3691543028
S22x5/08-1.5,-379.3592536986
S22x5/08-2.0,-379.3508389146
S22x5/09-A,-169.8062854397
S22x5/09-B,-169.8062854397
S22x5/09-0.9,-339.6332746482
S22x5/09-1.0,-339.6358427547
S22x5/09-1.2,-339.6322173975
S22x5/09-1.5,-339.6246773812
S22x5/09-2.0,-339.6180130407
S22x5/10-A,-232.0699598985
S22x5/10-B,-76.393668978
S22x5/10-0.9,-308.4663516511
S22x5/10-1.0,-308.4672523088
S22x5/10-1.2,-308.4667550461
S22x5/10-1.5,-308.4654266317
S22x5/10-2.0,-308.464322397
S22x5/11-A,-232.0699769924
S22x5/11-B,-56.5244089217
S22x5/11-0.9,-288.5946929957
S22x5/11-1.0,-288.5959202112
S22x5/11-1.2,-288.5959316177
S22x5/11-1.5,-288.595255195
S22x5/11-2.0,-288.5946873856
S22x5/12-A,-232.0699794147
S22x5/12-B,-40.4777494287
S22x5/12-0.9,-272.5460839986
S22x5/12-1.0,-272.5475605456
S22x5/12-1.2,-272.5481482268
S22x5/12-1.5,-272.5479785998
S22x5/12-2.0,-272.5477745584
S22x5/13-A,-232.0699987377
S22x5/13-B,-232.0699981665
S22x5/13-0.9,-464.1379455034
S22x5/13-1.0,-464.1399121371
S22x5/13-1.2,-464.1409467498
S22x5/13-1.5,-464.1406040477
S22x5/13-2.0,-464.1402078286
S22x5/14-A,-232.0699326017
S22x5/14-B,-232.0699326017
S22x5/14-0.9,-464.1288761214
S22x5/14-1.0,-464.1366978078
S22x5/14-1.2,-464.1394244334
S22x5/14-1.5,-464.1396519349
S22x5/14-2.0,-464.1397082003
S22x5/15-A,-232.0699307118
S22x5/15-B,-363.5632405227
S22x5/15-0.9,-595.6338974925
S22x5/15-1.0,-595.6364030682
S22x5/15-1.2,-595.637272601
S22x5/15-1.5,-595.6359960809
S22x5/15-2.0,-595.6344323617
S22x5/16-A,-232.0699153141
S22x5/16-B,-363.5632205181
S22x5/16-0.9,-595.6208635644
S22x5/16-1.0,-595.6292358669
S22x5/16-1.2,-595.6328602777
S22x5/16-1.5,-595.6329832755
S22x5/16-2.0,-595.632995649
S22x5/17-A,-264.1408285366
S22x5/17-B,-264.1408434613
S22x5/17-0.9,-528.2725467968
S22x5/17-1.0,-528.2801796398
S22x5/17-1.2,-528.2827177855
S22x5/17-1.5,-528.282206689
S22x5/17-2.0,-528.2818361256
S22x5/18-A,-323.3193744904
S22x5/18-B,-303.4490469384
S22x5/18-0.9,-626.7899440602
S22x5/18-1.0,-626.792193201
S22x5/18-1.2,-626.7881082318
S22x5/18-1.5,-626.7799820638
S22x5/18-2.0,-626.7731095986
S22x5/19-A,-307.2665667383
S22x5/19-B,-307.2663603716
S22x5/19-0.9,-614.5375154466
S22x5/19-1.0,-614.5389534066
S22x5/19-1.2,-614.5388720452
S22x5/19-1.5,-614.5367462679
S22x5/19-2.0,-614.5347183003
S22x5/20-A,-414.5965995939
S22x5/20-B,-414.5965995939
S22x5/20-0.9,-829.1879886475
S22x5/20-1.0,-829.1976721619
S22x5/20-1.2,-829.1982930733
S22x5/20-1.5,-829.1956156709
S22x5/20-2.0,-829.1940277029
S22x5/21-A,-414.5961129101
S22x5/21-B,-414.5961129102
S22x5/21-0.9,-829.2184592181
S22x5/21-1.0,-829.2211994893
S22x5/21-1.2,-829.2162922706
S22x5/21-1.5,-829.2068689168
S22x5/21-2.0,-829.1985873834
S22x5/22-A,-232.0699908553
S22x5/22-B,-93.3631687032
S22x5/22-0.9,-325.4362877326
S22x5/22-1.0,-325.4375357923
S22x5/22-1.2,-325.4372742881
S22x5/22-1.5,-325.4357276291
S22x5/22-2.0,-325.4342528858
S66x8/01-A,-76.3936578354
S66x8/01-B,-76.3937037221
S66x8/01-090,-152.7949482129
S66x8/01-095,-152.7953560868
S66x8/01-100,-152.7953237188
S66x8/01-105,-152.7950256734
S66x8/01-110,-152.7945791011
S66x8/01-125,-152.7930157638
S66x8/01-150,-152.790891504
S66x8/01-200,-152.7888774909
S66x8/02-A,-76.3936611549
S66x8/02-B,-115.6550117638
S66x8/02-090,-192.0563243055
S66x8/02-095,-192.0568767045
S66x8/02-100,-192.0569237355
S66x8/02-105,-192.0566651094
S66x8/02-110,-192.0562279694
S66x8/02-125,-192.0545963361
S66x8/02-150,-192.0523170998
S66x8/02-200,-192.0501706353
S66x8/03-A,-76.3936576025
S66x8/03-B,-95.7907084822
S66x8/03-090,-172.195253956
S66x8/03-095,-172.1956931341
S66x8/03-100,-172.1955783054
S66x8/03-105,-172.1951266822
S66x8/03-110,-172.1944858997
S66x8/03-125,-172.1922305607
S66x8/03-150,-172.1891468542
S66x8/03-200,-172.1862387511
S66x8/04-A,-76.3936604249
S66x8/04-B,-248.3705500799
S66x8/04-090,-324.7750411133
S66x8/04-095,-324.7756839508
S66x8/04-100,-324.7757347563
S66x8/04-105,-324.7754254364
S66x8/04-110,-324.7748984269
S66x8/04-125,-324.772871976
S66x8/04-150,-324.76983905
S66x8/04-200,-324.7664065748
S66x8/05-A,-115.6550259769
S66x8/05-B,-115.6550481826
S66x8/05-090,-231.3173806432
S66x8/05-095,-231.3180483112
S66x8/05-100,-231.3181772044
S66x8/05-105,-231.31797759
S66x8/05-110,-231.3175824628
S66x8/05-125,-231.316009645
S66x8/05-150,-231.3137300298
S66x8/05-200,-231.3115290512
S66x8/06-A,-115.6549287608
S66x8/06-B,-95.7907624245
S66x8/06-090,-211.4560527078
S66x8/06-095,-211.4568374474
S66x8/06-100,-211.4569300014
S66x8/06-105,-211.4565993831
S66x8/06-110,-211.4560385505
S66x8/06-125,-211.4538649782
S66x8/06-150,-211.4506896234
S66x8/06-200,-211.447618767
S66x8/07-A,-115.6550293234
S66x8/07-B,-248.3702265285
S66x8/07-090,-364.0355662001
S66x8/07-095,-364.0363772578
S66x8/07-100,-364.0365503424
S66x8/07-105,-364.0363241869
S66x8/07-110,-364.0358455729
S66x8/07-125,-364.033848036
S66x8/07-150,-364.0303919677
S66x8/07-200,-364.0268023578
S66x8/08-A,-115.6550128557
S66x8/08-B,-76.393706552
S66x8/08-090,-192.055915565
S66x8/08-095,-192.0564278508
S66x8/08-100,-192.0564711748
S66x8/08-105,-192.0562295218
S66x8/08-110,-192.0558215528
S66x8/08-125,-192.0543120415
S66x8/08-150,-192.0521917962
S66x8/08-200,-192.050157465
S66x8/09-A,-95.7907127078
S66x8/09-B,-115.6550157554
S66x8/09-090,-211.4484871466
S66x8/09-095,-211.4490491059
S66x8/09-100,-211.4492402046
S66x8/09-105,-211.4492042585
S66x8/09-110,-211.4490412954
S66x8/09-125,-211.4483056998
S66x8/09-150,-211.4472759494
S66x8/09-200,-211.4463715752
S66x8/10-A,-95.7908208444
S66x8/10-B,-95.7907393157
S66x8/10-090,-191.5850715933
S66x8/10-095,-191.585867816
S66x8/10-100,-191.5861555089
S66x8/10-105,-191.5861464607
S66x8/10-110,-191.5859488115
S66x8/10-125,-191.5849470509
S66x8/10-150,-191.5832126097
S66x8/10-200,-191.5820402863
S66x8/11-A,-95.7907514032
S66x8/11-B,-248.3703762531
S66x8/11-090,-344.1649160612
S66x8/11-095,-344.1659027789
S66x8/11-100,-344.1663360905
S66x8/11-105,-344.1664263943
S66x8/11-110,-344.1663045366
S66x8/11-125,-344.1647810825
S66x8/11-150,-344.1628292869
S66x8/11-200,-344.1617178141
S66x8/12-A,-95.7907206928
S66x8/12-B,-76.3937584775
S66x8/12-090,-172.1949635054
S66x8/12-095,-172.1955980316
S66x8/12-100,-172.195599871
S66x8/12-105,-172.1952128094
S66x8/12-110,-172.1946081286
S66x8/12-125,-172.192386475
S66x8/12-150,-172.1892513371
S66x8/12-200,-172.1862727713
S66x8/13-A,-248.3703549484
S66x8/13-B,-115.6550327768
S66x8/13-090,-364.0313342698
S66x8/13-095,-364.0322350636
S66x8/13-100,-364.0325911693
S66x8/13-105,-364.0325951878
S66x8/13-110,-364.0323827461
S66x8/13-125,-364.0312092262
S66x8/13-150,-364.0292798349
S66x8/13-200,-364.0271918584
S66x8/14-A,-248.3702285992
S66x8/14-B,-95.7907687028
S66x8/14-090,-344.1691969606
S66x8/14-095,-344.1701596595
S66x8/14-100,-344.1704803701
S66x8/14-105,-344.1703953849
S66x8/14-110,-344.1700586893
S66x8/14-125,-344.1684055685
S66x8/14-150,-344.1658129574
S66x8/14-200,-344.1630730409
S66x8/15-A,-248.3705565015
S66x8/15-B,-248.3705367163
S66x8/15-090,-496.7495438561
S66x8/15-095,-496.7506110011
S66x8/15-100,-496.7510429882
S66x8/15-105,-496.7510468999
S66x8/15-110,-496.7507708416
S66x8/15-125,-496.7492672117
S66x8/15-150,-496.7467386249
S66x8/15-200,-496.7435045368
S66x8/16-A,-248.3706599968
S66x8/16-B,-76.3937031994
S66x8/16-090,-324.7706095491
S66x8/16-095,-324.7712626442
S66x8/16-100,-324.7714519272
S66x8/16-105,-324.7713436244
S66x8/16-110,-324.7710643998
S66x8/16-125,-324.7698659323
S66x8/16-150,-324.7680152323
S66x8/16-200,-324.7661009297
S66x8/17-A,-414.596256905
S66x8/17-B,-414.5963493864
S66x8/17-090,-829.2146756401
S66x8/17-095,-829.2164588721
S66x8/17-100,-829.2168526928
S66x8/17-105,-829.2163668545
S66x8/17-110,-829.215346764
S66x8/17-125,-829.2110072454
S66x8/17-150,-829.2043328786
S66x8/17-200,-829.1973866054
S66x8/18-A,-76.3936637067
S66x8/18-B,-248.1071165497
