system,cam-QTP-01(w=75)/def2-QZVP/Q-Chem
S22x5/01-A,-467.4323923426
S22x5/01-B,-454.2554164837
S22x5/01-0.9,-921.7138864576
S22x5/01-1.0,-921.7154239862
S22x5/01-1.2,-921.7097117261
S22x5/01-1.5,-921.6996038789
S22x5/01-2.0,-921.6915655646
S22x5/02-A,-467.4318193121
S22x5/02-B,-454.2564731498
S22x5/02-0.9,-921.6880793018
S22x5/02-1.0,-921.6989466464
S22x5/02-1.2,-921.6969404305
S22x5/02-1.5,-921.6913765667
S22x5/02-2.0,-921.6892548748
S22x5/03-A,-56.5642667862
S22x5/03-B,-56.5642667862
S22x5/03-0.9,-113.1342002406
S22x5/03-1.0,-113.1348423283
S22x5/03-1.2,-113.1329253209
S22x5/03-1.5,-113.1304300332
S22x5/03-2.0,-113.129108709
S22x5/04-A,-76.4502579401
S22x5/04-B,-76.4502937097
S22x5/04-0.9,-152.9103854464
S22x5/04-1.0,-152.9108687073
S22x5/04-1.2,-152.9084579031
S22x5/04-1.5,-152.9047938811
S22x5/04-2.0,-152.9021563401
S22x5/05-A,-40.506165638
S22x5/05-B,-40.506165638
S22x5/05-0.9,-81.0131315255
S22x5/05-1.0,-81.0132332745
S22x5/05-1.2,-81.0125921972
S22x5/05-1.5,-81.0123436335
S22x5/05-2.0,-81.0123306884
S22x5/06-A,-78.5858317295
S22x5/06-B,-78.5858317295
S22x5/06-0.9,-157.1729321932
S22x5/06-1.0,-157.1741408739
S22x5/06-1.2,-157.1727573848
S22x5/06-1.5,-157.1717882604
S22x5/06-2.0,-157.1716679668
S22x5/07-A,-78.5857981562
S22x5/07-B,-77.3356093137
S22x5/07-0.9,-155.9239744589
S22x5/07-1.0,-155.9242211146
S22x5/07-1.2,-155.9232370933
S22x5/07-1.5,-155.9221195013
S22x5/07-2.0,-155.9215992561
S22x5/08-A,-189.8222196071
S22x5/08-B,-189.8222196071
S22x5/08-0.9,-379.6766715448
S22x5/08-1.0,-379.679065563
S22x5/08-1.2,-379.6727045563
S22x5/08-1.5,-379.6607365291
S22x5/08-2.0,-379.6505479431
S22x5/09-A,-169.9397057612
S22x5/09-B,-169.9397057612
S22x5/09-0.9,-339.9061033562
S22x5/09-1.0,-339.9080693851
S22x5/09-1.2,-339.9028371205
S22x5/09-1.5,-339.8932347338
S22x5/09-2.0,-339.8851667082
S22x5/10-A,-232.2712178495
S22x5/10-B,-76.4501631467
S22x5/10-0.9,-308.7265424355
S22x5/10-1.0,-308.7270278558
S22x5/10-1.2,-308.7255580993
S22x5/10-1.5,-308.7234195387
S22x5/10-2.0,-308.7220892389
S22x5/11-A,-232.2712554275
S22x5/11-B,-56.5641813176
S22x5/11-0.9,-288.8381713041
S22x5/11-1.0,-288.838906265
S22x5/11-1.2,-288.8379372515
S22x5/11-1.5,-288.8365245867
