system,LC-wPBE08(w=75)/def2-QZVP/Q-Chem
S22x5/01-A,-467.0110869933
S22x5/01-B,-453.8475483625
S22x5/01-0.9,-920.8795138675
S22x5/01-1.0,-920.8816092065
S22x5/01-1.2,-920.8773051863
S22x5/01-1.5,-920.8690207515
S22x5/01-2.0,-920.8622398857
S22x5/02-A,-467.0106269244
S22x5/02-B,-453.8481720702
S22x5/02-0.9,-920.8485868754
S22x5/02-1.0,-920.8611276602
S22x5/02-1.2,-920.8640663914
S22x5/02-1.5,-920.8615187714
S22x5/02-2.0,-920.8597267312
S22x5/03-A,-56.5177191712
S22x5/03-B,-56.5177191712
S22x5/03-0.9,-113.0390184718
S22x5/03-1.0,-113.0400829114
S22x5/03-1.2,-113.0390859621
S22x5/03-1.5,-113.0372144727
S22x5/03-2.0,-113.0360193855
S22x5/04-A,-76.3881297397
S22x5/04-B,-76.3880939367
S22x5/04-0.9,-152.7836525656
S22x5/04-1.0,-152.7845733356
S22x5/04-1.2,-152.7829960254
S22x5/04-1.5,-152.780100558
S22x5/04-2.0,-152.7777942229
S22x5/05-A,-40.4697780966
S22x5/05-B,-40.4697780966
S22x5/05-0.9,-80.9386711772
S22x5/05-1.0,-80.9396229139
S22x5/05-1.2,-80.9397060682
S22x5/05-1.5,-80.9395712552
S22x5/05-2.0,-80.9395556647
S22x5/06-A,-78.5105825479
S22x5/06-B,-78.5105825479
S22x5/06-0.9,-157.0193351578
S22x5/06-1.0,-157.0216597833
S22x5/06-1.2,-157.0217680602
S22x5/06-1.5,-157.0212878685
S22x5/06-2.0,-157.021169062
S22x5/07-A,-78.5105454589
S22x5/07-B,-77.2603555666
S22x5/07-0.9,-155.7721249645
S22x5/07-1.0,-155.7727154573
S22x5/07-1.2,-155.7723095586
S22x5/07-1.5,-155.7715406542
S22x5/07-2.0,-155.7710817645
S22x5/08-A,-189.6607971482
S22x5/08-B,-189.6607971482
S22x5/08-0.9,-379.347893592
S22x5/08-1.0,-379.3509181307
S22x5/08-1.2,-379.345971634
S22x5/08-1.5,-379.3359201316
S22x5/08-2.0,-379.3273011352
S22x5/09-A,-169.79354755
S22x5/09-B,-169.79354755
S22x5/09-0.9,-339.608339138
S22x5/09-1.0,-339.6109062721
S22x5/09-1.2,-339.6071635292
S22x5/09-1.5,-339.5994395499
S22x5/09-2.0,-339.5925895704
S22x5/10-A,-232.0444776503
S22x5/10-B,-76.3880810249
S22x5/10-0.9,-308.4354347652
S22x5/10-1.0,-308.436380469
S22x5/10-1.2,-308.4358388974
S22x5/10-1.5,-308.4344172598
S22x5/10-2.0,-308.4332479492
S22x5/11-A,-232.0444956471
S22x5/11-B,-56.5176545032
S22x5/11-0.9,-288.5626375076
S22x5/11-1.0,-288.5639014356
S22x5/11-1.2,-288.5638337229
S22x5/11-1.5,-288.5630878312
S22x5/11-2.0,-288.5624596877
S22x5/12-A,-232.0444764801
S22x5/12-B,-40.4696585659
S22x5/12-0.9,-272.5126808589
S22x5/12-1.0,-272.5141811791
S22x5/12-1.2,-272.514732227
S22x5/12-1.5,-272.5144603455
S22x5/12-2.0,-272.5141882949
S22x5/13-A,-232.0445014414
S22x5/13-B,-232.0445034478
S22x5/13-0.9,-464.087194192
S22x5/13-1.0,-464.0891355666
S22x5/13-1.2,-464.0901567107
S22x5/13-1.5,-464.0897125526
S22x5/13-2.0,-464.0892306654
S22x5/14-A,-232.0444448116
S22x5/14-B,-232.0444448117
S22x5/14-0.9,-464.0780572011
S22x5/14-1.0,-464.0860701709
S22x5/14-1.2,-464.0886596884
S22x5/14-1.5,-464.0887113989
S22x5/14-2.0,-464.0886750233
S22x5/15-A,-232.0444368369
S22x5/15-B,-363.5274749291
S22x5/15-0.9,-595.5728837746
S22x5/15-1.0,-595.5754065015
S22x5/15-1.2,-595.576290481
S22x5/15-1.5,-595.5749302263
S22x5/15-2.0,-595.5732202893
S22x5/16-A,-232.0444093505
S22x5/16-B,-363.5274601258
S22x5/16-0.9,-595.5598877344
S22x5/16-1.0,-595.5683019714
S22x5/16-1.2,-595.5719180148
S22x5/16-1.5,-595.5718885538
S22x5/16-2.0,-595.5717708113
S22x5/17-A,-264.1178166899
S22x5/17-B,-264.1178559342
S22x5/17-0.9,-528.2267972409
S22x5/17-1.0,-528.2345054266
S22x5/17-1.2,-528.2369761242
S22x5/17-1.5,-528.2362983529
S22x5/17-2.0,-528.2358428413
S22x5/18-A,-323.2925322908
S22x5/18-B,-303.420734078
S22x5/18-0.9,-626.7356093988
S22x5/18-1.0,-626.7378052642
S22x5/18-1.2,-626.733565554
S22x5/18-1.5,-626.7251920696
S22x5/18-2.0,-626.7180650661
S22x5/19-A,-307.2380314936
S22x5/19-B,-307.2377966732
S22x5/19-0.9,-614.4808130073
S22x5/19-1.0,-614.4822041011
S22x5/19-1.2,-614.4820771052
S22x5/19-1.5,-614.4798371812
S22x5/19-2.0,-614.4776987959
S22x5/20-A,-414.5672488292
S22x5/20-B,-414.5672488292
S22x5/20-0.9,-829.1293507333
S22x5/20-1.0,-829.1392989554
S22x5/20-1.2,-829.1398327443
S22x5/20-1.5,-829.1370019637
S22x5/20-2.0,-829.135315496
S22x5/21-A,-414.5667603869
S22x5/21-B,-414.566760387
S22x5/21-0.9,-829.1603996612
S22x5/21-1.0,-829.163137308
S22x5/21-1.2,-829.1580609097
S22x5/21-1.5,-829.148407606
S22x5/21-2.0,-829.1399128627
S22x5/22-A,-232.0445075695
S22x5/22-B,-93.3555610257
S22x5/22-0.9,-325.403364274
S22x5/22-1.0,-325.4046050038
S22x5/22-1.2,-325.4043310253
S22x5/22-1.5,-325.4027079729
S22x5/22-2.0,-325.4011590201
S66x8/01-A,-76.3880613213
S66x8/01-B,-76.3881118996
S66x8/01-090,-152.7841281712
S66x8/01-095,-152.7845178784
S66x8/01-100,-152.7844639929
S66x8/01-105,-152.7841428305
S66x8/01-110,-152.783672011
S66x8/01-125,-152.7820346619
S66x8/01-150,-152.7798123029
S66x8/01-200,-152.7777110235
S66x8/02-A,-76.3880640958
S66x8/02-B,-115.6436475958
S66x8/02-090,-192.0397381765
S66x8/02-095,-192.0402791898
S66x8/02-100,-192.0403111581
S66x8/02-105,-192.0400344253
S66x8/02-110,-192.0395762072
S66x8/02-125,-192.0378709707
S66x8/02-150,-192.0354856062
S66x8/02-200,-192.0332379906
S66x8/03-A,-76.3880589609
S66x8/03-B,-95.7780921505
S66x8/03-090,-172.1775103256
S66x8/03-095,-172.1779390705
S66x8/03-100,-172.1778104369
S66x8/03-105,-172.177341967
S66x8/03-110,-172.1766809381
S66x8/03-125,-172.1743496914
S66x8/03-150,-172.1711360444
S66x8/03-200,-172.1680822814
S66x8/04-A,-76.3880621768
S66x8/04-B,-248.3459931367
S66x8/04-090,-324.7452505554
S66x8/04-095,-324.7458855992
S66x8/04-100,-324.745927977
S66x8/04-105,-324.7456083163
S66x8/04-110,-324.7450677788
S66x8/04-125,-324.7429779595
S66x8/04-150,-324.7398557402
S66x8/04-200,-324.7362916762
S66x8/05-A,-115.6436604781
S66x8/05-B,-115.6436856082
S66x8/05-090,-231.2950532256
S66x8/05-095,-231.2957053175
S66x8/05-100,-231.2958148891
S66x8/05-105,-231.2955932524
S66x8/05-110,-231.2951742305
S66x8/05-125,-231.293524428
S66x8/05-150,-231.2911381296
S66x8/05-200,-231.2888242247
S66x8/06-A,-115.6435676291
S66x8/06-B,-95.7781564593
S66x8/06-090,-211.4325983749
S66x8/06-095,-211.4333704285
S66x8/06-100,-211.4334540245
S66x8/06-105,-211.4331101316
S66x8/06-110,-211.4325247989
S66x8/06-125,-211.4302621922
S66x8/06-150,-211.4269519375
S66x8/06-200,-211.4237068792
S66x8/07-A,-115.6436675
S66x8/07-B,-248.3455885713
S66x8/07-090,-364.000029915
S66x8/07-095,-364.0008297424
S66x8/07-100,-364.0009894195
S66x8/07-105,-364.0007460441
S66x8/07-110,-364.0002460397
S66x8/07-125,-363.9981721724
S66x8/07-150,-363.9945863053
S66x8/07-200,-363.9908254308
S66x8/08-A,-115.6436404837
S66x8/08-B,-76.3881144798
S66x8/08-090,-192.0393366104
S66x8/08-095,-192.0398277935
S66x8/08-100,-192.0398468893
S66x8/08-105,-192.0395795322
S66x8/08-110,-192.0391451583
S66x8/08-125,-192.0375581225
S66x8/08-150,-192.0353379123
S66x8/08-200,-192.0332069789
S66x8/09-A,-95.7781081241
S66x8/09-B,-115.643645647
S66x8/09-090,-211.4249299566
