system,LC-BLYP(w=300)/def2-QZVP/Q-Chem
S22x5/01-A,-466.4828797171
S22x5/01-B,-453.3684092586
S22x5/01-0.9,-919.8797563568
S22x5/01-1.0,-919.8805170309
S22x5/01-1.2,-919.8738015003
S22x5/01-1.5,-919.8631081742
S22x5/01-2.0,-919.8550369472
S22x5/02-A,-466.4817140552
S22x5/02-B,-453.3689457667
S22x5/02-0.9,-919.857728261
S22x5/02-1.0,-919.8645278787
S22x5/02-1.2,-919.8594039979
S22x5/02-1.5,-919.8535904445
S22x5/02-2.0,-919.8516180485
S22x5/03-A,-56.4449909446
S22x5/03-B,-56.4449909446
S22x5/03-0.9,-112.8965297977
S22x5/03-1.0,-112.8967469629
S22x5/03-1.2,-112.8944350613
S22x5/03-1.5,-112.8918848066
S22x5/03-2.0,-112.8905727038
S22x5/04-A,-76.3244899035
S22x5/04-B,-76.3244808859
S22x5/04-0.9,-152.6602260618
S22x5/04-1.0,-152.6602118757
S22x5/04-1.2,-152.6572201541
S22x5/04-1.5,-152.6532989212
S22x5/04-2.0,-152.6506288929
S22x5/05-A,-40.3894437993
S22x5/05-B,-40.3894437993
S22x5/05-0.9,-80.7798052921
S22x5/05-1.0,-80.7797175323
S22x5/05-1.2,-80.7790782069
S22x5/05-1.5,-80.7788934164
S22x5/05-2.0,-80.7788868652
S22x5/06-A,-78.3799245887
S22x5/06-B,-78.3799245887
S22x5/06-0.9,-156.7619409998
S22x5/06-1.0,-156.7624861877
S22x5/06-1.2,-156.7608080776
S22x5/06-1.5,-156.7599508168
S22x5/06-2.0,-156.7598534043
S22x5/07-A,-78.3798884553
S22x5/07-B,-77.1442830685
S22x5/07-0.9,-155.5265896697
S22x5/07-1.0,-155.526748883
S22x5/07-1.2,-155.5258022722
S22x5/07-1.5,-155.5248143606
S22x5/07-2.0,-155.5243582724
S22x5/08-A,-189.5006587027
S22x5/08-B,-189.5006587027
S22x5/08-0.9,-379.037312147
S22x5/08-1.0,-379.0387853072
S22x5/08-1.2,-379.0309419826
S22x5/08-1.5,-379.0179130317
S22x5/08-2.0,-379.0074336052
S22x5/09-A,-169.6238099255
S22x5/09-B,-169.6238099255
S22x5/09-0.9,-339.2768624782
S22x5/09-1.0,-339.2780257188
S22x5/09-1.2,-339.2717561007
S22x5/09-1.5,-339.2615494937
S22x5/09-2.0,-339.2534226624
S22x5/10-A,-231.7009061933
S22x5/10-B,-76.3243582764
S22x5/10-0.9,-308.0314008837
S22x5/10-1.0,-308.0313318403
S22x5/10-1.2,-308.0294252451
S22x5/10-1.5,-308.0272591945
S22x5/10-2.0,-308.025972012
S22x5/11-A,-231.7009477613
S22x5/11-B,-56.4448091437
S22x5/11-0.9,-288.1492181627
S22x5/11-1.0,-288.1494605714
S22x5/11-1.2,-288.1481928664
S22x5/11-1.5,-288.1467803236
S22x5/11-2.0,-288.1460704755
S22x5/12-A,-231.7009713508
S22x5/12-B,-40.3893789249
S22x5/12-0.9,-272.0917750539
S22x5/12-1.0,-272.09228664
S22x5/12-1.2,-272.0915998736
S22x5/12-1.5,-272.0907001246
S22x5/12-2.0,-272.0903997348
S22x5/13-A,-231.7009595677
S22x5/13-B,-231.7009436844
S22x5/13-0.9,-463.4039328702
S22x5/13-1.0,-463.4048723753
S22x5/13-1.2,-463.4042045229
S22x5/13-1.5,-463.402812029
S22x5/13-2.0,-463.4021266794
S22x5/14-A,-231.7009524894
S22x5/14-B,-231.7009524893
S22x5/14-0.9,-463.3977595671
S22x5/14-1.0,-463.4029501318
S22x5/14-1.2,-463.4026469485
S22x5/14-1.5,-463.4017606574
S22x5/14-2.0,-463.4017757381
S22x5/15-A,-231.7008283012
S22x5/15-B,-363.0294180074
S22x5/15-0.9,-594.7362702256
S22x5/15-1.0,-594.7375227593
S22x5/15-1.2,-594.7362523337
S22x5/15-1.5,-594.7334458854
S22x5/15-2.0,-594.7314777506
S22x5/16-A,-231.7009045531
S22x5/16-B,-363.0294153642
S22x5/16-0.9,-594.7270285814
S22x5/16-1.0,-594.7327700342
S22x5/16-1.2,-594.7320967186
S22x5/16-1.5,-594.7302162712
S22x5/16-2.0,-594.7300919257
S22x5/17-A,-263.7882197215
S22x5/17-B,-263.788214734
S22x5/17-0.9,-527.5754855833
S22x5/17-1.0,-527.5803771311
S22x5/17-1.2,-527.5790398727
S22x5/17-1.5,-527.5770462321
S22x5/17-2.0,-527.5765776573
S22x5/18-A,-322.9097328869
S22x5/18-B,-303.0305917811
S22x5/18-0.9,-625.9693941366
S22x5/18-1.0,-625.9705471429
S22x5/18-1.2,-625.9641907492
S22x5/18-1.5,-625.9536270176
S22x5/18-2.0,-625.9452941978
S22x5/19-A,-306.8494497016
S22x5/19-B,-306.8493130121
S22x5/19-0.9,-613.7107511426
S22x5/19-1.0,-613.7107636057
S22x5/19-1.2,-613.7079721926
S22x5/19-1.5,-613.7036699496
S22x5/19-2.0,-613.7006131698
S22x5/20-A,-414.1495000843
S22x5/20-B,-414.1495000843
S22x5/20-0.9,-828.3077517381
S22x5/20-1.0,-828.3120821756
S22x5/20-1.2,-828.3064279686
S22x5/20-1.5,-828.3015940377
S22x5/20-2.0,-828.2998660977
S22x5/21-A,-414.1491016286
S22x5/21-B,-414.1491016286
S22x5/21-0.9,-828.3337798269
S22x5/21-1.0,-828.3351390382
S22x5/21-1.2,-828.3275747117
S22x5/21-1.5,-828.3152424029
S22x5/21-2.0,-828.305209749
S22x5/22-A,-231.70087477
S22x5/22-B,-93.2453886394
S22x5/22-0.9,-324.953392253
S22x5/22-1.0,-324.9537831832
S22x5/22-1.2,-324.9519607194
S22x5/22-1.5,-324.949251753
S22x5/22-2.0,-324.9474522647
S66x8/01-A,-76.3244281887
S66x8/01-B,-76.3244594574
S66x8/01-090,-152.6603845231
S66x8/01-095,-152.6602930158
S66x8/01-100,-152.6597934675
S66x8/01-105,-152.659067622
S66x8/01-110,-152.6582385461
S66x8/01-125,-152.6557756331
S66x8/01-150,-152.6528623273
S66x8/01-200,-152.6504656259
S66x8/02-A,-76.3244420651
S66x8/02-B,-115.5182495878
S66x8/02-090,-191.8551872431
S66x8/02-095,-191.8551397793
S66x8/02-100,-191.8546272695
S66x8/02-105,-191.8538536274
S66x8/02-110,-191.8529536494
S66x8/02-125,-191.8502274226
S66x8/02-150,-191.8469571749
S66x8/02-200,-191.8442884517
S66x8/03-A,-76.3244635258
S66x8/03-B,-95.6432654936
S66x8/03-090,-171.9823230084
S66x8/03-095,-171.9823749917
S66x8/03-100,-171.9818886264
S66x8/03-105,-171.981084627
S66x8/03-110,-171.980114075
S66x8/03-125,-171.9770335795
S66x8/03-150,-171.973102864
S66x8/03-200,-171.9696623829
S66x8/04-A,-76.3244617563
S66x8/04-B,-248.0548808534
S66x8/04-090,-324.3963476992
S66x8/04-095,-324.3963450978
S66x8/04-100,-324.3957823688
S66x8/04-105,-324.3948905056
S66x8/04-110,-324.3938209002
S66x8/04-125,-324.3904252606
S66x8/04-150,-324.3860151754
S66x8/04-200,-324.3816704513
S66x8/05-A,-115.5182742627
S66x8/05-B,-115.5182852496
S66x8/05-090,-231.0488441553
S66x8/05-095,-231.0489167588
S66x8/05-100,-231.0484888555
S66x8/05-105,-231.0477742242
S66x8/05-110,-231.046913305
S66x8/05-125,-231.0442248262
S66x8/05-150,-231.0409117564
S66x8/05-200,-231.0381581782
S66x8/06-A,-115.5181497715
