system,wB97M(w=400)/def2-QZVP/Q-Chem
S22x5/01-A,-467.66814685
S22x5/01-B,-454.47944427
S22x5/01-0.9,-922.16390035
S22x5/01-1.0,-922.16745829
S22x5/01-1.2,-922.1646888
S22x5/01-1.5,-922.15719676
S22x5/01-2.0,-922.15091783
S22x5/02-A,-467.66754801
S22x5/02-B,-454.48072526
S22x5/02-0.9,-922.13979622
S22x5/02-1.0,-922.15249141
S22x5/02-1.2,-922.15337506
S22x5/02-1.5,-922.15087312
S22x5/02-2.0,-922.14920813
S22x5/03-A,-56.60641574
S22x5/03-B,-56.60641575
S22x5/03-0.9,-113.2150231
S22x5/03-1.0,-113.21667205
S22x5/03-1.2,-113.21597984
S22x5/03-1.5,-113.21441239
S22x5/03-2.0,-113.21337225
S22x5/04-A,-76.49253165
S22x5/04-B,-76.49259006
S22x5/04-0.9,-152.99099976
S22x5/04-1.0,-152.9923843
S22x5/04-1.2,-152.99127888
S22x5/04-1.5,-152.98874274
S22x5/04-2.0,-152.98669794
S22x5/05-A,-40.54483909
S22x5/05-B,-40.54483908
S22x5/05-0.9,-81.08867144
S22x5/05-1.0,-81.08950386
S22x5/05-1.2,-81.08970925
S22x5/05-1.5,-81.08969082
S22x5/05-2.0,-81.08967996
S22x5/06-A,-78.64342776
S22x5/06-B,-78.64342776
S22x5/06-0.9,-157.28478455
S22x5/06-1.0,-157.28699172
S22x5/06-1.2,-157.28717328
S22x5/06-1.5,-157.28694948
S22x5/06-2.0,-157.28686155
S22x5/07-A,-78.64341796
S22x5/07-B,-77.38855194
S22x5/07-0.9,-156.03247744
S22x5/07-1.0,-156.03333866
S22x5/07-1.2,-156.03316752
S22x5/07-1.5,-156.03256948
S22x5/07-2.0,-156.0321635
S22x5/08-A,-189.91095368
S22x5/08-B,-189.91095368
S22x5/08-0.9,-379.84499191
S22x5/08-1.0,-379.84906182
S22x5/08-1.2,-379.84536561
S22x5/08-1.5,-379.83586071
S22x5/08-2.0,-379.82753995
S22x5/09-A,-170.02763569
S22x5/09-B,-170.02763569
S22x5/09-0.9,-340.07356745
S22x5/09-1.0,-340.07725666
S22x5/09-1.2,-340.07464206
S22x5/09-1.5,-340.0672837
S22x5/09-2.0,-340.06077203
