system,wB97M(w=450)/def2-QZVP/Q-Chem
S22x5/01-A,-467.67094669
S22x5/01-B,-454.48755318
S22x5/01-0.9,-922.17484831
S22x5/01-1.0,-922.17842293
S22x5/01-1.2,-922.17564824
S22x5/01-1.5,-922.16812561
S22x5/01-2.0,-922.16183022
S22x5/02-A,-467.67026965
S22x5/02-B,-454.48891461
S22x5/02-0.9,-922.15107147
S22x5/02-1.0,-922.16359606
S22x5/02-1.2,-922.16430818
S22x5/02-1.5,-922.16179181
S22x5/02-2.0,-922.16012574
S22x5/03-A,-56.60963512
S22x5/03-B,-56.60963512
S22x5/03-0.9,-113.22142311
S22x5/03-1.0,-113.22309464
S22x5/03-1.2,-113.22241088
S22x5/03-1.5,-113.22084731
S22x5/03-2.0,-113.21981026
S22x5/04-A,-76.49722136
S22x5/04-B,-76.4972928
S22x5/04-0.9,-153.00040191
S22x5/04-1.0,-153.0017923
S22x5/04-1.2,-153.00068543
S22x5/04-1.5,-152.99814634
S22x5/04-2.0,-152.99609923
S22x5/05-A,-40.54736524
S22x5/05-B,-40.54736524
S22x5/05-0.9,-81.09373465
S22x5/05-1.0,-81.09455492
S22x5/05-1.2,-81.09475944
S22x5/05-1.5,-81.09474253
S22x5/05-2.0,-81.09473228
S22x5/06-A,-78.6447931
S22x5/06-B,-78.6447931
S22x5/06-0.9,-157.28757094
S22x5/06-1.0,-157.28974205
S22x5/06-1.2,-157.28990361
S22x5/06-1.5,-157.2896796
S22x5/06-2.0,-157.28959236
S22x5/07-A,-78.64478299
S22x5/07-B,-77.38808895
S22x5/07-0.9,-156.03339825
S22x5/07-1.0,-156.03425736
S22x5/07-1.2,-156.03407776
S22x5/07-1.5,-156.03347498
S22x5/07-2.0,-156.03306674
S22x5/08-A,-189.91706947
S22x5/08-B,-189.91706948
S22x5/08-0.9,-379.85748418
S22x5/08-1.0,-379.86151662
S22x5/08-1.2,-379.85775775
S22x5/08-1.5,-379.84817373
S22x5/08-2.0,-379.83980442
S22x5/09-A,-170.03255753
S22x5/09-B,-170.03255753
S22x5/09-0.9,-340.08350543
S22x5/09-1.0,-340.08721084
S22x5/09-1.2,-340.08458234
S22x5/09-1.5,-340.0771814
S22x5/09-2.0,-340.07064196
S22x5/10-A,-232.4059617
S22x5/10-B,-76.4971142
S22x5/10-0.9,-308.90561932
S22x5/10-1.0,-308.90660598
S22x5/10-1.2,-308.90610342
S22x5/10-1.5,-308.90485256
S22x5/10-2.0,-308.90380954
S22x5/11-A,-232.40601064
S22x5/11-B,-56.60953498
