system,LC-wPBEh(w=300)/def2-QZVP/Q-Chem
S22x5/01-A,-467.1117091465
S22x5/01-B,-453.9500662409
S22x5/01-0.9,-921.0815451588
S22x5/01-1.0,-921.0835746367
S22x5/01-1.2,-921.0794074217
S22x5/01-1.5,-921.0714994101
S22x5/01-2.0,-921.0651489183
S22x5/02-A,-467.1109989059
S22x5/02-B,-453.9511578925
S22x5/02-0.9,-921.0552034345
S22x5/02-1.0,-921.0658376746
S22x5/02-1.2,-921.0671085458
S22x5/02-1.5,-921.0646254189
S22x5/02-2.0,-921.0630962089
S22x5/03-A,-56.5414872485
S22x5/03-B,-56.5414872485
S22x5/03-0.9,-113.0856255905
S22x5/03-1.0,-113.0869136656
S22x5/03-1.2,-113.0861625766
S22x5/03-1.5,-113.0845597328
S22x5/03-2.0,-113.0835236485
S22x5/04-A,-76.4063110528
S22x5/04-B,-76.4063530936
S22x5/04-0.9,-152.8193259394
S22x5/04-1.0,-152.8202559367
S22x5/04-1.2,-152.8188634804
S22x5/04-1.5,-152.8162776683
S22x5/04-2.0,-152.814217235
S22x5/05-A,-40.5016259476
S22x5/05-B,-40.5016259476
S22x5/05-0.9,-81.0021022242
S22x5/05-1.0,-81.0030300617
S22x5/05-1.2,-81.0032333668
S22x5/05-1.5,-81.0032477056
S22x5/05-2.0,-81.0032509927
S22x5/06-A,-78.5484732054
S22x5/06-B,-78.5484732054
S22x5/06-0.9,-157.0950366143
S22x5/06-1.0,-157.0971479577
S22x5/06-1.2,-157.0972702505
S22x5/06-1.5,-157.09701999
S22x5/06-2.0,-157.0969514141
S22x5/07-A,-78.5484472812
S22x5/07-B,-77.2842433644
S22x5/07-0.9,-155.8334553221
S22x5/07-1.0,-155.8341465457
S22x5/07-1.2,-155.8339034001
S22x5/07-1.5,-155.8332757003
S22x5/07-2.0,-155.8328828669
S22x5/08-A,-189.6906739387
S22x5/08-B,-189.6906739387
S22x5/08-0.9,-379.4086002443
S22x5/08-1.0,-379.4108946625
S22x5/08-1.2,-379.4053639316
S22x5/08-1.5,-379.3953352479
S22x5/08-2.0,-379.3869554666
S22x5/09-A,-169.8291262194
S22x5/09-B,-169.8291262194
S22x5/09-0.9,-339.6793747404
S22x5/09-1.0,-339.6816999929
S22x5/09-1.2,-339.6779210932
S22x5/09-1.5,-339.670361632
S22x5/09-2.0,-339.6637576
S22x5/10-A,-232.1270725934
S22x5/10-B,-76.4062243464
S22x5/10-0.9,-308.5363278984
S22x5/10-1.0,-308.5370621637
S22x5/10-1.2,-308.5364274506
S22x5/10-1.5,-308.5351068146
S22x5/10-2.0,-308.5340485119
S22x5/11-A,-232.1271260373
S22x5/11-B,-56.5413993967
S22x5/11-0.9,-288.6691361422
S22x5/11-1.0,-288.6701672919
S22x5/11-1.2,-288.670072513
S22x5/11-1.5,-288.6693773335
S22x5/11-2.0,-288.6688501783
S22x5/12-A,-232.127169766
S22x5/12-B,-40.5016325185
S22x5/12-0.9,-272.6274773715
S22x5/12-1.0,-272.6287391334
S22x5/12-1.2,-272.6291592231
S22x5/12-1.5,-272.6289980137
S22x5/12-2.0,-272.6288494822
S22x5/13-A,-232.1271520388
S22x5/13-B,-232.12713561
S22x5/13-0.9,-464.2527965099
S22x5/13-1.0,-464.2545823865
S22x5/13-1.2,-464.255304734
S22x5/13-1.5,-464.2548887549
S22x5/13-2.0,-464.2545209087
S22x5/14-A,-232.1271209092
S22x5/14-B,-232.1271209092
S22x5/14-0.9,-464.2442557439
S22x5/14-1.0,-464.2513267304
S22x5/14-1.2,-464.2535858233
S22x5/14-1.5,-464.2539319263
S22x5/14-2.0,-464.2541026124
S22x5/15-A,-232.1269793423
S22x5/15-B,-363.639502021
S22x5/15-0.9,-595.7680155718
S22x5/15-1.0,-595.7702821857
S22x5/15-1.2,-595.7707614269
S22x5/15-1.5,-595.7693023196
S22x5/15-2.0,-595.767791152
S22x5/16-A,-232.1270682035
S22x5/16-B,-363.6395413487
S22x5/16-0.9,-595.7556411293
S22x5/16-1.0,-595.7633032587
S22x5/16-1.2,-595.7660153969
S22x5/16-1.5,-595.7661331904
S22x5/16-2.0,-595.7663594773
S22x5/17-A,-264.1812110468
S22x5/17-B,-264.1811879929
S22x5/17-0.9,-528.354298397
S22x5/17-1.0,-528.3613577764
S22x5/17-1.2,-528.3632779905
S22x5/17-1.5,-528.3628186684
S22x5/17-2.0,-528.3625376088
S22x5/18-A,-323.3700676881
S22x5/18-B,-303.5071921632
S22x5/18-0.9,-626.8981013252
S22x5/18-1.0,-626.9003340328
S22x5/18-1.2,-626.8963538605
S22x5/18-1.5,-626.8884619815
S22x5/18-2.0,-626.8818385535
S22x5/19-A,-307.3271345339
S22x5/19-B,-307.3269385888
S22x5/19-0.9,-614.6591480199
S22x5/19-1.0,-614.6604372519
S22x5/19-1.2,-614.6600813163
S22x5/19-1.5,-614.6578508807
S22x5/19-2.0,-614.6558397693
S22x5/20-A,-414.6477124705
S22x5/20-B,-414.6477124705
S22x5/20-0.9,-829.2924484909
S22x5/20-1.0,-829.3008108735
S22x5/20-1.2,-829.300516207
S22x5/20-1.5,-829.2978299143
S22x5/20-2.0,-829.2962959896
S22x5/21-A,-414.6469772425
