system,cam-B3LYP(w=175)/def2-QZVP/Q-Chem
S22x5/01-A,-467.4182754217
S22x5/01-B,-454.2444361866
S22x5/01-0.9,-921.6854734868
S22x5/01-1.0,-921.6874713023
S22x5/01-1.2,-921.6824991865
S22x5/01-1.5,-921.6732754357
S22x5/01-2.0,-921.6661123679
S22x5/02-A,-467.417658758
S22x5/02-B,-454.2454216596
S22x5/02-0.9,-921.6563883062
S22x5/02-1.0,-921.6685975546
S22x5/02-1.2,-921.6689134906
S22x5/02-1.5,-921.6654328229
S22x5/02-2.0,-921.6639995044
S22x5/03-A,-56.5673423171
S22x5/03-B,-56.5673423171
S22x5/03-0.9,-113.1389531237
S22x5/03-1.0,-113.1398531919
S22x5/03-1.2,-113.1383886818
S22x5/03-1.5,-113.1363391339
S22x5/03-2.0,-113.1352424466
S22x5/04-A,-76.4521587561
S22x5/04-B,-76.4521836847
S22x5/04-0.9,-152.912925518
S22x5/04-1.0,-152.9135897363
S22x5/04-1.2,-152.9115054084
S22x5/04-1.5,-152.9082213027
S22x5/04-2.0,-152.9058838895
S22x5/05-A,-40.5100437025
S22x5/05-B,-40.5100437025
S22x5/05-0.9,-81.0196718339
S22x5/05-1.0,-81.0201884013
S22x5/05-1.2,-81.0200849364
S22x5/05-1.5,-81.0200661953
S22x5/05-2.0,-81.0200859318
S22x5/06-A,-78.5880380904
S22x5/06-B,-78.5880380904
S22x5/06-0.9,-157.1752572471
S22x5/06-1.0,-157.1770194176
S22x5/06-1.2,-157.17652151
S22x5/06-1.5,-157.1760996276
S22x5/06-2.0,-157.1760781807
S22x5/07-A,-78.5880006503
S22x5/07-B,-77.3368518139
S22x5/07-0.9,-155.9262387133
S22x5/07-1.0,-155.9267519292
S22x5/07-1.2,-155.9261876559
S22x5/07-1.5,-155.9254194097
S22x5/07-2.0,-155.9250313701
S22x5/08-A,-189.8211588294
S22x5/08-B,-189.8211588294
S22x5/08-0.9,-379.6717847721
S22x5/08-1.0,-379.6745003657
S22x5/08-1.2,-379.6686863428
S22x5/08-1.5,-379.6574054039
S22x5/08-2.0,-379.6480132556
S22x5/09-A,-169.9394771774
S22x5/09-B,-169.9394771774
S22x5/09-0.9,-339.9029303586
S22x5/09-1.0,-339.9052477955
S22x5/09-1.2,-339.9006227984
S22x5/09-1.5,-339.8917626027
S22x5/09-2.0,-339.884436277
S22x5/10-A,-232.2652747504
S22x5/10-B,-76.4520601137
S22x5/10-0.9,-308.7207123366
S22x5/10-1.0,-308.7215193452
S22x5/10-1.2,-308.7205804518
S22x5/10-1.5,-308.7190071694
S22x5/10-2.0,-308.7179752409
S22x5/11-A,-232.26530924
S22x5/11-B,-56.5672424388
S22x5/11-0.9,-288.8335323027
S22x5/11-1.0,-288.8345918906
S22x5/11-1.2,-288.8341758699
S22x5/11-1.5,-288.8333216332
S22x5/11-2.0,-288.8328312563
S22x5/12-A,-232.2652822551
S22x5/12-B,-40.5100404466
S22x5/12-0.9,-272.7743930592
S22x5/12-1.0,-272.7756857112
S22x5/12-1.2,-272.775879081
S22x5/12-1.5,-272.7754708773
S22x5/12-2.0,-272.7753452165
S22x5/13-A,-232.2652746487
S22x5/13-B,-232.2652701155
S22x5/13-0.9,-464.5293368571
S22x5/13-1.0,-464.5311799245
S22x5/13-1.2,-464.5317550381
S22x5/13-1.5,-464.5310923695
S22x5/13-2.0,-464.5307195197
S22x5/14-A,-232.2652912977
S22x5/14-B,-232.2652912977
S22x5/14-0.9,-464.5201576027
S22x5/14-1.0,-464.5281425164
S22x5/14-1.2,-464.5301431538
S22x5/14-1.5,-464.5301709439
S22x5/14-2.0,-464.5303352255
S22x5/15-A,-232.2651838379
S22x5/15-B,-363.8609213788
S22x5/15-0.9,-596.1276996152
S22x5/15-1.0,-596.1302008885
S22x5/15-1.2,-596.1305568073
S22x5/15-1.5,-596.1288237788
S22x5/15-2.0,-596.127256093
S22x5/16-A,-232.2652157321
S22x5/16-B,-363.8609507122
S22x5/16-0.9,-596.1146543071
S22x5/16-1.0,-596.1234851907
S22x5/16-1.2,-596.1260895818
S22x5/16-1.5,-596.1257122921
S22x5/16-2.0,-596.1259433165
S22x5/17-A,-264.3561602247
S22x5/17-B,-264.3561937945
S22x5/17-0.9,-528.7043873751
S22x5/17-1.0,-528.7122123078
S22x5/17-1.2,-528.7136210659
S22x5/17-1.5,-528.7127314277
S22x5/17-2.0,-528.7124786932
S22x5/18-A,-323.5806740349
S22x5/18-B,-303.6963821895
S22x5/18-0.9,-627.300742952
S22x5/18-1.0,-627.3030063703
S22x5/18-1.2,-627.2983361306
S22x5/18-1.5,-627.2891674348
S22x5/18-2.0,-627.281689435
S22x5/19-A,-307.5193247915
S22x5/19-B,-307.5192424771
S22x5/19-0.9,-615.0456586977
S22x5/19-1.0,-615.0467831333
S22x5/19-1.2,-615.045556577
S22x5/19-1.5,-615.0424838146
S22x5/19-2.0,-615.0401600514
S22x5/20-A,-414.9269901044
S22x5/20-B,-414.9269901044
S22x5/20-0.9,-829.8524621183
S22x5/20-1.0,-829.8612321874
S22x5/20-1.2,-829.8595294895
S22x5/20-1.5,-829.8562765173
S22x5/20-2.0,-829.8548312847
S22x5/21-A,-414.9262805842
S22x5/21-B,-414.9262805842
S22x5/21-0.9,-829.8827000841
S22x5/21-1.0,-829.8852149647
S22x5/21-1.2,-829.8793122473
S22x5/21-1.5,-829.8684029665
S22x5/21-2.0,-829.8592218191
S22x5/22-A,-232.2652366826
S22x5/22-B,-93.4407846938
S22x5/22-0.9,-325.7101212267
S22x5/22-1.0,-325.7113209989
S22x5/22-1.2,-325.7106176394
S22x5/22-1.5,-325.7086359729
S22x5/22-2.0,-325.707133437
S66x8/01-A,-76.4521598077
S66x8/01-B,-76.4521592764
S66x8/01-090,-152.913283679
S66x8/01-095,-152.9135355709
S66x8/01-100,-152.913335879
S66x8/01-105,-152.9128715189
S66x8/01-110,-152.9122680852
S66x8/01-125,-152.9102987727
S66x8/01-150,-152.9078181528
S66x8/01-200,-152.905711679
S66x8/02-A,-76.4521694167
S66x8/02-B,-115.7467754975
S66x8/02-090,-192.2082926851
S66x8/02-095,-192.2086651309
S66x8/02-100,-192.2085231858
S66x8/02-105,-192.2080743825
S66x8/02-110,-192.2074558995
S66x8/02-125,-192.2053508457
S66x8/02-150,-192.2026329173
S66x8/02-200,-192.2003408501
S66x8/03-A,-76.4521833087
S66x8/03-B,-95.8661240085
S66x8/03-090,-172.3300335521
S66x8/03-095,-172.3304331599
S66x8/03-100,-172.3302566217
S66x8/03-105,-172.3297273424
S66x8/03-110,-172.3289968125
S66x8/03-125,-172.3264568898
S66x8/03-150,-172.3230231866
S66x8/03-200,-172.3199539494
S66x8/04-A,-76.4521819641
S66x8/04-B,-248.5689127487
S66x8/04-090,-325.0340982844
S66x8/04-095,-325.0345525485
S66x8/04-100,-325.034403425
S66x8/04-105,-325.0338842793
S66x8/04-110,-325.033145952
S66x8/04-125,-325.0305146442
S66x8/04-150,-325.0268653653
S66x8/04-200,-325.0231339791
S66x8/05-A,-115.7466702963
S66x8/05-B,-115.7467987982
S66x8/05-090,-231.5025634114
S66x8/05-095,-231.5030673577
S66x8/05-100,-231.5030200512
S66x8/05-105,-231.5026392954
S66x8/05-110,-231.5020690239
S66x8/05-125,-231.5000325906
S66x8/05-150,-231.4973130714
S66x8/05-200,-231.4949548222
S66x8/06-A,-115.7464476489
S66x8/06-B,-95.8661729317
S66x8/06-090,-211.6241310135
S66x8/06-095,-211.6248396406
S66x8/06-100,-211.6248633918
S66x8/06-105,-211.6244546829
S66x8/06-110,-211.623787842
S66x8/06-125,-211.6212848881
S66x8/06-150,-211.6177496798
S66x8/06-200,-211.6145099451
S66x8/07-A,-115.7465498917
S66x8/07-B,-248.5687704843
S66x8/07-090,-364.3278475471
S66x8/07-095,-364.3285016592
S66x8/07-100,-364.3284971039
S66x8/07-105,-364.3280785002
S66x8/07-110,-364.3274033647
S66x8/07-125,-364.3248480541
S66x8/07-150,-364.3207222992
S66x8/07-200,-364.316894632
S66x8/08-A,-115.7466789942
S66x8/08-B,-76.4521650705
