system,wB97M(w=150)/def2-QZVP/Q-Chem
S22x5/01-A,-467.65186055
S22x5/01-B,-454.44337765
S22x5/01-0.9,-922.11233912
S22x5/01-1.0,-922.11563232
S22x5/01-1.2,-922.11263769
S22x5/01-1.5,-922.10504274
S22x5/01-2.0,-922.09862606
S22x5/02-A,-467.6517824
S22x5/02-B,-454.44450919
S22x5/02-0.9,-922.08457786
S22x5/02-1.0,-922.09898237
S22x5/02-1.2,-922.10153797
S22x5/02-1.5,-922.09899773
S22x5/02-2.0,-922.09721135
S22x5/03-A,-56.58826893
S22x5/03-B,-56.58826894
S22x5/03-0.9,-113.179132
S22x5/03-1.0,-113.18065593
S22x5/03-1.2,-113.17986469
S22x5/03-1.5,-113.17818611
S22x5/03-2.0,-113.17708
S22x5/04-A,-76.47206769
S22x5/04-B,-76.47209011
S22x5/04-0.9,-152.95018548
S22x5/04-1.0,-152.95155808
S22x5/04-1.2,-152.95043655
S22x5/04-1.5,-152.9478288
S22x5/04-2.0,-152.94570492
S22x5/05-A,-40.52775676
S22x5/05-B,-40.52775675
S22x5/05-0.9,-81.05459058
S22x5/05-1.0,-81.05547076
S22x5/05-1.2,-81.05561083
S22x5/05-1.5,-81.05553378
S22x5/05-2.0,-81.05551526
S22x5/06-A,-78.63122056
S22x5/06-B,-78.63122056
S22x5/06-0.9,-157.26020781
S22x5/06-1.0,-157.26265947
S22x5/06-1.2,-157.26290051
S22x5/06-1.5,-157.26256052
S22x5/06-2.0,-157.26244703
S22x5/07-A,-78.63121495
S22x5/07-B,-77.38497112
S22x5/07-0.9,-156.0170288
S22x5/07-1.0,-156.01779934
S22x5/07-1.2,-156.01752197
S22x5/07-1.5,-156.01682595
S22x5/07-2.0,-156.01638391
S22x5/08-A,-189.88643762
S22x5/08-B,-189.88643763
S22x5/08-0.9,-379.79524418
S22x5/08-1.0,-379.79941057
S22x5/08-1.2,-379.79593649
S22x5/08-1.5,-379.78670802
S22x5/08-2.0,-379.77844947
S22x5/09-A,-170.00512216
S22x5/09-B,-170.00512215
S22x5/09-0.9,-340.0286777
S22x5/09-1.0,-340.03219826
S22x5/09-1.2,-340.02953053
S22x5/09-1.5,-340.0222287
S22x5/09-2.0,-340.01567236
S22x5/10-A,-232.40163797
S22x5/10-B,-76.47202732
S22x5/10-0.9,-308.87592818
S22x5/10-1.0,-308.87708389
S22x5/10-1.2,-308.87674647
S22x5/10-1.5,-308.87544867
S22x5/10-2.0,-308.8743484
S22x5/11-A,-232.4016422
S22x5/11-B,-56.58823732
S22x5/11-0.9,-288.99002381
S22x5/11-1.0,-288.99134673
S22x5/11-1.2,-288.99145477
S22x5/11-1.5,-288.99077278
S22x5/11-2.0,-288.990186
S22x5/12-A,-232.40165563
S22x5/12-B,-40.52774848
S22x5/12-0.9,-272.92781549
S22x5/12-1.0,-272.92932787
S22x5/12-1.2,-272.92986164
S22x5/12-1.5,-272.92964374
S22x5/12-2.0,-272.92945861
S22x5/13-A,-232.40164964
S22x5/13-B,-232.40165343
S22x5/13-0.9,-464.80103849
S22x5/13-1.0,-464.80337763
S22x5/13-1.2,-464.80436012
S22x5/13-1.5,-464.80397613
S22x5/13-2.0,-464.80353516
S22x5/14-A,-232.40163947
S22x5/14-B,-232.40163947
S22x5/14-0.9,-464.79215459
S22x5/14-1.0,-464.80030519
S22x5/14-1.2,-464.80311506
S22x5/14-1.5,-464.80319319
S22x5/14-2.0,-464.80323369
S22x5/15-A,-232.40163305
S22x5/15-B,-364.06701331
S22x5/15-0.9,-596.46862778
S22x5/15-1.0,-596.47165669
S22x5/15-1.2,-596.47263134
S22x5/15-1.5,-596.47135928
S22x5/15-2.0,-596.46982607
S22x5/16-A,-232.40163091
S22x5/16-B,-364.06698276
S22x5/16-0.9,-596.45533126
S22x5/16-1.0,-596.46526703
S22x5/16-1.2,-596.46859544
S22x5/16-1.5,-596.46838582
S22x5/16-2.0,-596.46835756
S22x5/17-A,-264.49751142
S22x5/17-B,-264.49751781
S22x5/17-0.9,-528.98498766
S22x5/17-1.0,-528.99378944
S22x5/17-1.2,-528.99615808
S22x5/17-1.5,-528.99553127
S22x5/17-2.0,-528.99512474
S22x5/18-A,-323.73846834
S22x5/18-B,-303.85583328
S22x5/18-0.9,-627.61266035
S22x5/18-1.0,-627.61608923
S22x5/18-1.2,-627.61329559
S22x5/18-1.5,-627.60565392
S22x5/18-2.0,-627.5989322
S22x5/19-A,-307.67619914
S22x5/19-B,-307.67625538
S22x5/19-0.9,-615.35595093
S22x5/19-1.0,-615.35815155
S22x5/19-1.2,-615.35802507
S22x5/19-1.5,-615.35593108
S22x5/19-2.0,-615.35395901
S22x5/20-A,-415.10643756
S22x5/20-B,-415.10643756
S22x5/20-0.9,-830.20721223
S22x5/20-1.0,-830.21763222
S22x5/20-1.2,-830.21814976
S22x5/20-1.5,-830.21540868
S22x5/20-2.0,-830.21375072
S22x5/21-A,-415.10560876
S22x5/21-B,-415.10560877
S22x5/21-0.9,-830.23550631
S22x5/21-1.0,-830.23910168
S22x5/21-1.2,-830.23535294
S22x5/21-1.5,-830.2261563
S22x5/21-2.0,-830.21788172
S22x5/22-A,-232.4016477
S22x5/22-B,-93.49293583
S22x5/22-0.9,-325.89737695
S22x5/22-1.0,-325.89903416
S22x5/22-1.2,-325.89884428
S22x5/22-1.5,-325.89722301
S22x5/22-2.0,-325.89574058
S66x8/01-A,-76.47208354
S66x8/01-B,-76.47208722
S66x8/01-090,-152.95078821
S66x8/01-095,-152.95140546
S66x8/01-100,-152.95152237
S66x8/01-105,-152.95133707
S66x8/01-110,-152.95097071
S66x8/01-125,-152.94953629
S66x8/01-150,-152.94751369
S66x8/01-200,-152.9455653
S66x8/02-A,-76.47208541
S66x8/02-B,-115.78579137
S66x8/02-090,-192.26442686
S66x8/02-095,-192.26521921
S66x8/02-100,-192.26544301
S66x8/02-105,-192.26531488
S66x8/02-110,-192.26497557
S66x8/02-125,-192.26350499
S66x8/02-150,-192.26134432
S66x8/02-200,-192.25926951
S66x8/03-A,-76.4720814
S66x8/03-B,-95.9066642
S66x8/03-090,-172.38778912
S66x8/03-095,-172.38856156
S66x8/03-100,-172.38871862
S66x8/03-105,-172.38848553
S66x8/03-110,-172.38801742
S66x8/03-125,-172.38608493
S66x8/03-150,-172.38321013
S66x8/03-200,-172.38041457
S66x8/04-A,-76.47208318
S66x8/04-B,-248.67283319
S66x8/04-090,-325.15443712
S66x8/04-095,-325.15536672
S66x8/04-100,-325.15564654
S66x8/04-105,-325.15549505
S66x8/04-110,-325.15508446
S66x8/04-125,-325.1532184
S66x8/04-150,-325.15031251
S66x8/04-200,-325.14696356
S66x8/05-A,-115.78563862
S66x8/05-B,-115.78580069
S66x8/05-090,-231.57777007
S66x8/05-095,-231.57868463
S66x8/05-100,-231.57900092
S66x8/05-105,-231.57893904
S66x8/05-110,-231.57864797
S66x8/05-125,-231.57723689
S66x8/05-150,-231.57505788
S66x8/05-200,-231.57292408
S66x8/06-A,-115.78541422
S66x8/06-B,-95.90666635
S66x8/06-090,-211.70070088
S66x8/06-095,-211.70181606
S66x8/06-100,-211.70221407
S66x8/06-105,-211.70213854
S66x8/06-110,-211.70176774
S66x8/06-125,-211.69993291
S66x8/06-150,-211.69696695
S66x8/06-200,-211.69400007
S66x8/07-A,-115.78552273
S66x8/07-B,-248.67278238
S66x8/07-090,-364.46742147
S66x8/07-095,-364.46853012
S66x8/07-100,-364.46893751
S66x8/07-105,-364.4688775
S66x8/07-110,-364.46853129
S66x8/07-125,-364.46675326
S66x8/07-150,-364.46342216
S66x8/07-200,-364.45991955
S66x8/08-A,-115.78566309
S66x8/08-B,-76.47208916
S66x8/08-090,-192.26410051
S66x8/08-095,-192.26483206
S66x8/08-100,-192.26503118
S66x8/08-105,-192.26490588
S66x8/08-110,-192.264582
S66x8/08-125,-192.26320115
S66x8/08-150,-192.26117406
S66x8/08-200,-192.25920306
S66x8/09-A,-95.90659355
S66x8/09-B,-115.78578683
S66x8/09-090,-211.6947212
S66x8/09-095,-211.69539341
S66x8/09-100,-211.69565076
S66x8/09-105,-211.69566124
