system,wB97M(w=75)/def2-QZVP/Q-Chem
S22x5/01-A,-467.70893443
S22x5/01-B,-454.49809827
S22x5/01-0.9,-922.22220525
S22x5/01-1.0,-922.22592698
S22x5/01-1.2,-922.22365136
S22x5/01-1.5,-922.21667355
S22x5/01-2.0,-922.21046046
S22x5/02-A,-467.70900668
S22x5/02-B,-454.49930972
S22x5/02-0.9,-922.19039261
S22x5/02-1.0,-922.20743544
S22x5/02-1.2,-922.21291952
S22x5/02-1.5,-922.21110588
S22x5/02-2.0,-922.20924267
S22x5/03-A,-56.596208
S22x5/03-B,-56.59620801
S22x5/03-0.9,-113.19423878
S22x5/03-1.0,-113.19606399
S22x5/03-1.2,-113.19563799
S22x5/03-1.5,-113.19408566
S22x5/03-2.0,-113.19295561
S22x5/04-A,-76.48050037
S22x5/04-B,-76.48052627
S22x5/04-0.9,-152.96623401
S22x5/04-1.0,-152.9678471
S22x5/04-1.2,-152.96707045
S22x5/04-1.5,-152.96468013
S22x5/04-2.0,-152.96257432
S22x5/05-A,-40.53631759
S22x5/05-B,-40.53631759
S22x5/05-0.9,-81.07135641
S22x5/05-1.0,-81.07251399
S22x5/05-1.2,-81.07278247
S22x5/05-1.5,-81.07266117
S22x5/05-2.0,-81.07263692
S22x5/06-A,-78.64541507
S22x5/06-B,-78.64541507
S22x5/06-0.9,-157.28744598
S22x5/06-1.0,-157.29055975
S22x5/06-1.2,-157.29131862
S22x5/06-1.5,-157.29096799
S22x5/06-2.0,-157.29083588
S22x5/07-A,-78.6454104
S22x5/07-B,-77.39770923
S22x5/07-0.9,-156.04369014
S22x5/07-1.0,-156.04461306
S22x5/07-1.2,-156.04448123
S22x5/07-1.5,-156.04379073
S22x5/07-2.0,-156.04331712
S22x5/08-A,-189.90750809
S22x5/08-B,-189.90750809
S22x5/08-0.9,-379.83517304
S22x5/08-1.0,-379.83973487
S22x5/08-1.2,-379.83698277
S22x5/08-1.5,-379.82849454
S22x5/08-2.0,-379.82059721
S22x5/09-A,-170.02579634
S22x5/09-B,-170.02579634
S22x5/09-0.9,-340.06812166
S22x5/09-1.0,-340.07205491
S22x5/09-1.2,-340.07009406
S22x5/09-1.5,-340.06339944
S22x5/09-2.0,-340.05702829
S22x5/10-A,-232.43793112
S22x5/10-B,-76.48046948
S22x5/10-0.9,-308.91966028
S22x5/10-1.0,-308.92119257
S22x5/10-1.2,-308.92131423
S22x5/10-1.5,-308.92019247
S22x5/10-2.0,-308.91907666
S22x5/11-A,-232.43792933
S22x5/11-B,-56.59619562
S22x5/11-0.9,-289.03336196
S22x5/11-1.0,-289.03505404
S22x5/11-1.2,-289.03558708
S22x5/11-1.5,-289.0350455
S22x5/11-2.0,-289.03443183
S22x5/12-A,-232.43793599
S22x5/12-B,-40.53631634
S22x5/12-0.9,-272.97179067
S22x5/12-1.0,-272.97367188
S22x5/12-1.2,-272.97461757
S22x5/12-1.5,-272.97452819
S22x5/12-2.0,-272.97431207
S22x5/13-A,-232.43793261
S22x5/13-B,-232.43793991
S22x5/13-0.9,-464.8723478
S22x5/13-1.0,-464.87515697
S22x5/13-1.2,-464.87671312
S22x5/13-1.5,-464.8765803
S22x5/13-2.0,-464.87611355
S22x5/14-A,-232.4379178
S22x5/14-B,-232.4379178
S22x5/14-0.9,-464.8620834
S22x5/14-1.0,-464.87148614
S22x5/14-1.2,-464.87551794
S22x5/14-1.5,-464.87581699
S22x5/14-2.0,-464.8757947
S22x5/15-A,-232.43793564
S22x5/15-B,-364.11908279
S22x5/15-0.9,-596.5552626
S22x5/15-1.0,-596.55886877
S22x5/15-1.2,-596.56060803
S22x5/15-1.5,-596.55974133
S22x5/15-2.0,-596.55820644
S22x5/16-A,-232.43791579
S22x5/16-B,-364.11905495
S22x5/16-0.9,-596.54000597
S22x5/16-1.0,-596.55147837
S22x5/16-1.2,-596.55655097
S22x5/16-1.5,-596.5568478
S22x5/16-2.0,-596.55673148
S22x5/17-A,-264.53398071
S22x5/17-B,-264.53398884
S22x5/17-0.9,-529.05499742
S22x5/17-1.0,-529.06514323
S22x5/17-1.2,-529.06888337
S22x5/17-1.5,-529.06852657
S22x5/17-2.0,-529.06806681
S22x5/18-A,-323.78139176
S22x5/18-B,-303.89758457
S22x5/18-0.9,-627.69554579
S22x5/18-1.0,-627.69933776
S22x5/18-1.2,-627.69718888
S22x5/18-1.5,-627.69014606
S22x5/18-2.0,-627.68363809
S22x5/19-A,-307.71856219
S22x5/19-B,-307.71863504
S22x5/19-0.9,-615.43888548
S22x5/19-1.0,-615.44156251
S22x5/19-1.2,-615.44214332
S22x5/19-1.5,-615.44057562
S22x5/19-2.0,-615.43872654
S22x5/20-A,-415.15535785
S22x5/20-B,-415.15535785
S22x5/20-0.9,-830.30063527
S22x5/20-1.0,-830.31314161
S22x5/20-1.2,-830.31569819
S22x5/20-1.5,-830.31330932
S22x5/20-2.0,-830.3115905
S22x5/21-A,-415.15446992
S22x5/21-B,-415.15446993
S22x5/21-0.9,-830.33123701
S22x5/21-1.0,-830.33523767
S22x5/21-1.2,-830.33219708
S22x5/21-1.5,-830.32366275
S22x5/21-2.0,-830.31561041
S22x5/22-A,-232.43794576
S22x5/22-B,-93.50620151
S22x5/22-0.9,-325.94573655
S22x5/22-1.0,-325.94778747
S22x5/22-1.2,-325.94813295
S22x5/22-1.5,-325.94678232
S22x5/22-2.0,-325.94529556
S66x8/01-A,-76.48052485
S66x8/01-B,-76.48052504
S66x8/01-090,-152.96691608
S66x8/01-095,-152.96765616
S66x8/01-100,-152.96788398
S66x8/01-105,-152.96779757
S66x8/01-110,-152.96751764
S66x8/01-125,-152.9662714
S66x8/01-150,-152.96437845
S66x8/01-200,-152.96243173
S66x8/02-A,-76.48052543
S66x8/02-B,-115.80100154
S66x8/02-090,-192.28713577
S66x8/02-095,-192.28807813
S66x8/02-100,-192.28843698
S66x8/02-105,-192.28842942
S66x8/02-110,-192.2881958
S66x8/02-125,-192.2869585
S66x8/02-150,-192.28496881
S66x8/02-200,-192.28291016
S66x8/03-A,-76.48051867
S66x8/03-B,-95.92115729
S66x8/03-090,-172.40991524
S66x8/03-095,-172.41079561
S66x8/03-100,-172.41105317
S66x8/03-105,-172.41091267
S66x8/03-110,-172.4105283
S66x8/03-125,-172.40879484
S66x8/03-150,-172.40609444
S66x8/03-200,-172.40333628
S66x8/04-A,-76.48052082
S66x8/04-B,-248.70537789
S66x8/04-090,-325.19411081
S66x8/04-095,-325.19521297
S66x8/04-100,-325.19565515
S66x8/04-105,-325.19565383
S66x8/04-110,-325.19537885
S66x8/04-125,-325.1938283
S66x8/04-150,-325.19120997
S66x8/04-200,-325.18793523
S66x8/05-A,-115.80081412
S66x8/05-B,-115.80100874
S66x8/05-090,-231.607197
S66x8/05-095,-231.60826337
S66x8/05-100,-231.6087165
S66x8/05-105,-231.60877725
S66x8/05-110,-231.60859404
S66x8/05-125,-231.6074225
S66x8/05-150,-231.60542326
S66x8/05-200,-231.60331216
S66x8/06-A,-115.8005744
S66x8/06-B,-95.92116045
S66x8/06-090,-211.72933892
S66x8/06-095,-211.7306044
S66x8/06-100,-211.73114268
S66x8/06-105,-211.73119626
S66x8/06-110,-211.73093608
S66x8/06-125,-211.72934191
S66x8/06-150,-211.72658482
S66x8/06-200,-211.72366516
S66x8/07-A,-115.80068773
S66x8/07-B,-248.70530722
S66x8/07-090,-364.51377367
S66x8/07-095,-364.51505792
S66x8/07-100,-364.51562914
S66x8/07-105,-364.51572024
S66x8/07-110,-364.51551144
S66x8/07-125,-364.5140636
S66x8/07-150,-364.51106355
S66x8/07-200,-364.50761669
S66x8/08-A,-115.80084177
S66x8/08-B,-76.48052633
S66x8/08-090,-192.28693912
S66x8/08-095,-192.28779781
S66x8/08-100,-192.28811198
S66x8/08-105,-192.28808933
S66x8/08-110,-192.28785542
S66x8/08-125,-192.28667117
S66x8/08-150,-192.28478353
S66x8/08-200,-192.2828193
S66x8/09-A,-95.92108268
S66x8/09-B,-115.80098868
S66x8/09-090,-211.72371317
S66x8/09-095,-211.72455393
S66x8/09-100,-211.72494897
S66x8/09-105,-211.72506968
S66x8/09-110,-211.72502678
S66x8/09-125,-211.72449876
S66x8/09-150,-211.7235672
S66x8/09-200,-211.72265471
S66x8/10-A,-95.92110335
S66x8/10-B,-95.92114172
S66x8/10-090,-191.84394724
S66x8/10-095,-191.84520081
S66x8/10-100,-191.8458431
S66x8/10-105,-191.84609175
S66x8/10-110,-191.84608737
S66x8/10-125,-191.84546486
S66x8/10-150,-191.84395457
S66x8/10-200,-191.8427726
S66x8/11-A,-95.92094753
S66x8/11-B,-248.70548016
S66x8/11-090,-344.62843548
S66x8/11-095,-344.62986675
S66x8/11-100,-344.63064548
S66x8/11-105,-344.6309926
S66x8/11-110,-344.63106268
S66x8/11-125,-344.63005066
S66x8/11-150,-344.62830679
S66x8/11-200,-344.62714512
S66x8/12-A,-95.92113334
S66x8/12-B,-76.48021639
S66x8/12-090,-172.40931572
S66x8/12-095,-172.41043903
S66x8/12-100,-172.41086258
S66x8/12-105,-172.41083033
S66x8/12-110,-172.41051708
S66x8/12-125,-172.40886366
S66x8/12-150,-172.40614593
S66x8/12-200,-172.40333407
S66x8/13-A,-248.70539771
S66x8/13-B,-115.80100905
S66x8/13-090,-364.51063601
S66x8/13-095,-364.51191698
S66x8/13-100,-364.51256958
S66x8/13-105,-364.51280821
S66x8/13-110,-364.51277457
S66x8/13-125,-364.51196466
S66x8/13-150,-364.51026177
S66x8/13-200,-364.508234
S66x8/14-A,-248.70515873
S66x8/14-B,-95.92114638
S66x8/14-090,-344.63223449
S66x8/14-095,-344.63365374
S66x8/14-100,-344.6343561
S66x8/14-105,-344.63458438
S66x8/14-110,-344.63449317
S66x8/14-125,-344.63335849
S66x8/14-150,-344.63107936
S66x8/14-200,-344.62844019
S66x8/15-A,-248.70521609
S66x8/15-B,-248.70534728
S66x8/15-090,-497.41687871
S66x8/15-095,-497.41837517
S66x8/15-100,-497.41914462
S66x8/15-105,-497.41943564
S66x8/15-110,-497.41939917
S66x8/15-125,-497.41836664
S66x8/15-150,-497.41613533
S66x8/15-200,-497.41302485
S66x8/16-A,-248.70539099
S66x8/16-B,-76.48052708
S66x8/16-090,-325.19095705
