system,LC-wPBEh(w=15)/def2-QZVP/Q-Chem
S22x5/01-A,-467.0014839012
S22x5/01-B,-453.8390103246
S22x5/01-0.9,-920.8620161494
S22x5/01-1.0,-920.8638856077
S22x5/01-1.2,-920.859256733
S22x5/01-1.5,-920.8508136532
S22x5/01-2.0,-920.8440394128
S22x5/02-A,-467.0010272818
S22x5/02-B,-453.8399752576
S22x5/02-0.9,-920.8324371518
S22x5/02-1.0,-920.8442347594
S22x5/02-1.2,-920.8463779829
S22x5/02-1.5,-920.8437050605
S22x5/02-2.0,-920.8419562266
S22x5/03-A,-56.519150912
S22x5/03-B,-56.519150912
S22x5/03-0.9,-113.0418067313
S22x5/03-1.0,-113.0428770976
S22x5/03-1.2,-113.041872782
S22x5/03-1.5,-113.0400373027
S22x5/03-2.0,-113.0388776297
S22x5/04-A,-76.3863049883
S22x5/04-B,-76.3863233922
S22x5/04-0.9,-152.7800873226
S22x5/04-1.0,-152.7809278957
S22x5/04-1.2,-152.7793017023
S22x5/04-1.5,-152.7764424526
S22x5/04-2.0,-152.7741948935
S22x5/05-A,-40.475878065
S22x5/05-B,-40.475878065
S22x5/05-0.9,-80.9509602304
S22x5/05-1.0,-80.9518273299
S22x5/05-1.2,-80.9518936939
S22x5/05-1.5,-80.9517728553
S22x5/05-2.0,-80.9517555589
S22x5/06-A,-78.5156923069
S22x5/06-B,-78.5156923069
S22x5/06-0.9,-157.0298522804
S22x5/06-1.0,-157.0319799269
S22x5/06-1.2,-157.0319892983
S22x5/06-1.5,-157.0315077264
S22x5/06-2.0,-157.0313900679
S22x5/07-A,-78.515654086
S22x5/07-B,-77.2603646947
S22x5/07-0.9,-155.7773691122
S22x5/07-1.0,-155.7779298446
S22x5/07-1.2,-155.777476943
S22x5/07-1.5,-155.7766887603
S22x5/07-2.0,-155.7762119803
S22x5/08-A,-189.6510688382
S22x5/08-B,-189.6510688382
S22x5/08-0.9,-379.3299834511
S22x5/08-1.0,-379.3324629305
S22x5/08-1.2,-379.3269406189
S22x5/08-1.5,-379.3165830359
S22x5/08-2.0,-379.3078824861
S22x5/09-A,-169.7875394071
S22x5/09-B,-169.7875394071
S22x5/09-0.9,-339.597451619
S22x5/09-1.0,-339.599686814
S22x5/09-1.2,-339.5955337658
S22x5/09-1.5,-339.5875565315
S22x5/09-2.0,-339.5806365173
S22x5/10-A,-232.0541673663
S22x5/10-B,-76.3862416855
S22x5/10-0.9,-308.4434839709
S22x5/10-1.0,-308.4443670531
S22x5/10-1.2,-308.4437339779
S22x5/10-1.5,-308.4422886905
S22x5/10-2.0,-308.4411310745
S22x5/11-A,-232.0542130631
S22x5/11-B,-56.5190970153
S22x5/11-0.9,-288.5740095053
S22x5/11-1.0,-288.5751932568
S22x5/11-1.2,-288.575024925
S22x5/11-1.5,-288.5742590125
S22x5/11-2.0,-288.5736396261
S22x5/12-A,-232.0542001169
S22x5/12-B,-40.4758417308
S22x5/12-0.9,-272.5288193028
S22x5/12-1.0,-272.530225173
S22x5/12-1.2,-272.5306788039
S22x5/12-1.5,-272.5303722367
S22x5/12-2.0,-272.5301009213
S22x5/13-A,-232.0542041537
S22x5/13-B,-232.0541978472
S22x5/13-0.9,-464.1070001724
S22x5/13-1.0,-464.1088109313
S22x5/13-1.2,-464.1096688629
S22x5/13-1.5,-464.1091495881
S22x5/13-2.0,-464.1086512127
S22x5/14-A,-232.0541840418
S22x5/14-B,-232.0541840418
S22x5/14-0.9,-464.097804279
S22x5/14-1.0,-464.1056955289
S22x5/14-1.2,-464.1080326534
S22x5/14-1.5,-464.1081209002
S22x5/14-2.0,-464.1080945831
S22x5/15-A,-232.0540654312
S22x5/15-B,-363.5358073485
S22x5/15-0.9,-595.5914317646
S22x5/15-1.0,-595.5938198947
S22x5/15-1.2,-595.5945099086
S22x5/15-1.5,-595.5930247694
S22x5/15-2.0,-595.5912561143
S22x5/16-A,-232.0541026496
S22x5/16-B,-363.535844902
S22x5/16-0.9,-595.5784923787
S22x5/16-1.0,-595.5866128111
S22x5/16-1.2,-595.5898590344
S22x5/16-1.5,-595.5898559064
S22x5/16-2.0,-595.5898141522
S22x5/17-A,-264.1151969852
S22x5/17-B,-264.1152376203
S22x5/17-0.9,-528.2219443459
S22x5/17-1.0,-528.2295064301
S22x5/17-1.2,-528.2317040747
S22x5/17-1.5,-528.2310321793
S22x5/17-2.0,-528.2305907038
S22x5/18-A,-323.2892244714
S22x5/18-B,-303.4231434238
S22x5/18-0.9,-626.735151012
S22x5/18-1.0,-626.7371527218
S22x5/18-1.2,-626.7326851657
S22x5/18-1.5,-626.7242088606
S22x5/18-2.0,-626.7171228097
S22x5/19-A,-307.2423879596
S22x5/19-B,-307.242113357
S22x5/19-0.9,-614.490082424
S22x5/19-1.0,-614.491301407
S22x5/19-1.2,-614.4909361422
S22x5/19-1.5,-614.4885650699
S22x5/19-2.0,-614.4863962552
S22x5/20-A,-414.5548350855
S22x5/20-B,-414.5548350854
S22x5/20-0.9,-829.1058462561
S22x5/20-1.0,-829.1152127036
S22x5/20-1.2,-829.1151449455
S22x5/20-1.5,-829.1122322901
S22x5/20-2.0,-829.1105179044
S22x5/21-A,-414.5541492317
S22x5/21-B,-414.5541492317
S22x5/21-0.9,-829.1365957271
S22x5/21-1.0,-829.1389533295
S22x5/21-1.2,-829.1334250787
S22x5/21-1.5,-829.1234895548
S22x5/21-2.0,-829.1148854945
S22x5/22-A,-232.0541625748
S22x5/22-B,-93.3501305645
S22x5/22-0.9,-325.4083616552
S22x5/22-1.0,-325.4094440286
S22x5/22-1.2,-325.4089286347
S22x5/22-1.5,-325.4071350767
S22x5/22-2.0,-325.4054867363
S66x8/01-A,-76.3863143437
S66x8/01-B,-76.3863124155
S66x8/01-090,-152.7804866324
S66x8/01-095,-152.7808374542
S66x8/01-100,-152.7807551755
S66x8/01-105,-152.7804149603
S66x8/01-110,-152.7799332691
S66x8/01-125,-152.7782900107
S66x8/01-150,-152.7760970066
S66x8/01-200,-152.7740379666
S66x8/02-A,-76.386319346
S66x8/02-B,-115.6454622341
S66x8/02-090,-192.0397821408
S66x8/02-095,-192.0402700232
S66x8/02-100,-192.0402626411
S66x8/02-105,-192.0399573974
S66x8/02-110,-192.0394806902
S66x8/02-125,-192.0377564385
S66x8/02-150,-192.0353940406
S66x8/02-200,-192.0331925161
S66x8/03-A,-76.3863229569
S66x8/03-B,-95.7836295225
S66x8/03-090,-172.1809500784
S66x8/03-095,-172.1813534625
S66x8/03-100,-172.1812073911
S66x8/03-105,-172.1807285372
S66x8/03-110,-172.1800633463
S66x8/03-125,-172.1777448888
