system,LC-wPBEh(w=150)/def2-QZVP/Q-Chem
S22x5/01-A,-467.0417287345
S22x5/01-B,-453.877194071
S22x5/01-0.9,-920.9397037973
S22x5/01-1.0,-920.9415738584
S22x5/01-1.2,-920.937110851
S22x5/01-1.5,-920.9289053887
S22x5/01-2.0,-920.9223587597
S22x5/02-A,-467.0412139184
S22x5/02-B,-453.8781732516
S22x5/02-0.9,-920.9109972182
S22x5/02-1.0,-920.9224463586
S22x5/02-1.2,-920.9244361195
S22x5/02-1.5,-920.921948691
S22x5/02-2.0,-920.92032035
S22x5/03-A,-56.5261426802
S22x5/03-B,-56.5261426802
S22x5/03-0.9,-113.0554234841
S22x5/03-1.0,-113.0565611518
S22x5/03-1.2,-113.0556527081
S22x5/03-1.5,-113.0539313617
S22x5/03-2.0,-113.0528428482
S22x5/04-A,-76.3919640958
S22x5/04-B,-76.3919839008
S22x5/04-0.9,-152.7910709133
S22x5/04-1.0,-152.7919372951
S22x5/04-1.2,-152.7903909553
S22x5/04-1.5,-152.7876439849
S22x5/04-2.0,-152.7854938287
S22x5/05-A,-40.4843251182
S22x5/05-B,-40.4843251182
S22x5/05-0.9,-80.9676161061
S22x5/05-1.0,-80.9685380209
S22x5/05-1.2,-80.9686888524
S22x5/05-1.5,-80.9686504432
S22x5/05-2.0,-80.9686494619
S22x5/06-A,-78.527328634
S22x5/06-B,-78.527328634
S22x5/06-0.9,-157.0528274546
S22x5/06-1.0,-157.0549896444
S22x5/06-1.2,-157.0550815997
S22x5/06-1.5,-157.0547453561
S22x5/06-2.0,-157.0546617132
S22x5/07-A,-78.5272994019
S22x5/07-B,-77.2695613704
S22x5/07-0.9,-155.7978874235
S22x5/07-1.0,-155.7985032807
S22x5/07-1.2,-155.7981625847
S22x5/07-1.5,-155.7974681179
S22x5/07-2.0,-155.7970504195
S22x5/08-A,-189.6635324703
S22x5/08-B,-189.6635324703
S22x5/08-0.9,-379.3545118092
S22x5/08-1.0,-379.3569251327
S22x5/08-1.2,-379.3514054559
S22x5/08-1.5,-379.3412002825
S22x5/08-2.0,-379.3326835501
S22x5/09-A,-169.8011280336
S22x5/09-B,-169.8011280336
S22x5/09-0.9,-339.6240729342
S22x5/09-1.0,-339.6263032369
S22x5/09-1.2,-339.6222803039
S22x5/09-1.5,-339.6144882838
S22x5/09-2.0,-339.60774748
S22x5/10-A,-232.0818536789
S22x5/10-B,-76.391897893
S22x5/10-0.9,-308.4767209472
S22x5/10-1.0,-308.4775272866
S22x5/10-1.2,-308.4769275193
S22x5/10-1.5,-308.4755743283
S22x5/10-2.0,-308.4744829153
S22x5/11-A,-232.0818935151
S22x5/11-B,-56.5260815545
S22x5/11-0.9,-288.6085248239
S22x5/11-1.0,-288.6096446842
S22x5/11-1.2,-288.6095622695
S22x5/11-1.5,-288.6088518111
S22x5/11-2.0,-288.6082918737
S22x5/12-A,-232.0819205672
S22x5/12-B,-40.4842912164
S22x5/12-0.9,-272.564818301
S22x5/12-1.0,-272.5661743973
S22x5/12-1.2,-272.5666432222
S22x5/12-1.5,-272.5664501796
S22x5/12-2.0,-272.5662589504
S22x5/13-A,-232.0819179613
S22x5/13-B,-232.0819092162
S22x5/13-0.9,-464.1621906643
S22x5/13-1.0,-464.1640373913
S22x5/13-1.2,-464.1648808421
S22x5/13-1.5,-464.1644612201
S22x5/13-2.0,-464.1640552645
S22x5/14-A,-232.0818728569
S22x5/14-B,-232.0818728569
S22x5/14-0.9,-464.1531961448
