system,cam-B3LYP(w=50)/def2-QZVP/Q-Chem
S22x5/01-A,-467.6092303899
S22x5/01-B,-454.4258735987
S22x5/01-0.9,-922.0553357132
S22x5/01-1.0,-922.0580002409
S22x5/01-1.2,-922.0539705334
S22x5/01-1.5,-922.0454554209
S22x5/01-2.0,-922.0385261888
S22x5/02-A,-467.6087564872
S22x5/02-B,-454.4269361007
S22x5/02-0.9,-922.0231552213
S22x5/02-1.0,-922.0379848568
S22x5/02-1.2,-922.040916151
S22x5/02-1.5,-922.0381014918
S22x5/02-2.0,-922.0366128217
S22x5/03-A,-56.5936695314
S22x5/03-B,-56.5936695314
S22x5/03-0.9,-113.1907197425
S22x5/03-1.0,-113.1919646489
S22x5/03-1.2,-113.1909050669
S22x5/03-1.5,-113.1889982682
S22x5/03-2.0,-113.1878962632
S22x5/04-A,-76.480855642
S22x5/04-B,-76.4808811031
S22x5/04-0.9,-152.9692686087
S22x5/04-1.0,-152.9702577801
S22x5/04-1.2,-152.9685977438
S22x5/04-1.5,-152.9655643845
S22x5/04-2.0,-152.9632708198
S22x5/05-A,-40.5351055355
S22x5/05-B,-40.5351055355
S22x5/05-0.9,-81.069431554
S22x5/05-1.0,-81.0702209295
S22x5/05-1.2,-81.0702458171
S22x5/05-1.5,-81.070196589
S22x5/05-2.0,-81.0702097036
S22x5/06-A,-78.6308794072
S22x5/06-B,-78.6308794072
S22x5/06-0.9,-157.2598389798
S22x5/06-1.0,-157.2622214846
S22x5/06-1.2,-157.2622079791
S22x5/06-1.5,-157.2617985517
S22x5/06-2.0,-157.2617607982
S22x5/07-A,-78.6308397799
S22x5/07-B,-77.3771560081
S22x5/07-0.9,-156.0090593027
S22x5/07-1.0,-156.0097436367
S22x5/07-1.2,-156.0093316846
S22x5/07-1.5,-156.0085819573
S22x5/07-2.0,-156.0081719263
S22x5/08-A,-189.8912408858
S22x5/08-B,-189.8912408858
S22x5/08-0.9,-379.8089259612
S22x5/08-1.0,-379.8123290964
S22x5/08-1.2,-379.8075642012
S22x5/08-1.5,-379.7971524085
S22x5/08-2.0,-379.7881634895
S22x5/09-A,-170.007263473
S22x5/09-B,-170.007263473
S22x5/09-0.9,-340.0360279908
S22x5/09-1.0,-340.0389923574
S22x5/09-1.2,-340.0352721005
S22x5/09-1.5,-340.0270958565
S22x5/09-2.0,-340.0199932574
S22x5/10-A,-232.3779462366
S22x5/10-B,-76.4807657532
S22x5/10-0.9,-308.8610845314
S22x5/10-1.0,-308.8622947165
S22x5/10-1.2,-308.861784169
S22x5/10-1.5,-308.8603725159
S22x5/10-2.0,-308.8593389567
S22x5/11-A,-232.3779753949
S22x5/11-B,-56.5935866576
S22x5/11-0.9,-288.9716718527
