system,cam-QTP-01(w=15)/def2-QZVP/Q-Chem
S22x5/01-A,-467.6798319092
S22x5/01-B,-454.4938522175
S22x5/01-0.9,-922.1924940356
S22x5/01-1.0,-922.1954470286
S22x5/01-1.2,-922.1918570181
S22x5/01-1.5,-922.1837587079
S22x5/01-2.0,-922.1770987325
S22x5/02-A,-467.6793830733
S22x5/02-B,-454.4950062449
S22x5/02-0.9,-922.1588842999
S22x5/02-1.0,-922.1747954053
S22x5/02-1.2,-922.1789894896
S22x5/02-1.5,-922.1768162532
S22x5/02-2.0,-922.1753457253
S22x5/03-A,-56.6057255339
S22x5/03-B,-56.6057255339
S22x5/03-0.9,-113.2142423343
S22x5/03-1.0,-113.215674808
S22x5/03-1.2,-113.2148544087
S22x5/03-1.5,-113.2130968294
S22x5/03-2.0,-113.2120205016
S22x5/04-A,-76.4922073024
S22x5/04-B,-76.4922432163
S22x5/04-0.9,-152.9914023794
S22x5/04-1.0,-152.9925256018
S22x5/04-1.2,-152.9910722724
S22x5/04-1.5,-152.988213583
S22x5/04-2.0,-152.9859969444
S22x5/05-A,-40.5485147393
S22x5/05-B,-40.5485147393
S22x5/05-0.9,-81.0959457275
S22x5/05-1.0,-81.0969017119
S22x5/05-1.2,-81.0970747219
S22x5/05-1.5,-81.0970362637
S22x5/05-2.0,-81.0970290798
S22x5/06-A,-78.6506377918
S22x5/06-B,-78.6506377918
S22x5/06-0.9,-157.2986435671
S22x5/06-1.0,-157.3013332956
S22x5/06-1.2,-157.3016579803
S22x5/06-1.5,-157.3013490736
S22x5/06-2.0,-157.3012806557
S22x5/07-A,-78.6505984684
S22x5/07-B,-77.3937908623
S22x5/07-0.9,-156.0451441692
S22x5/07-1.0,-156.0459488572
S22x5/07-1.2,-156.045678237
S22x5/07-1.5,-156.0449967743
S22x5/07-2.0,-156.0445754721
S22x5/08-A,-189.9160512182
S22x5/08-B,-189.9160512182
S22x5/08-0.9,-379.8573192958
S22x5/08-1.0,-379.8609034684
S22x5/08-1.2,-379.8564915096
S22x5/08-1.5,-379.8464636259
S22x5/08-2.0,-379.8377629899
S22x5/09-A,-170.0327840892
S22x5/09-B,-170.0327840892
S22x5/09-0.9,-340.085913735
S22x5/09-1.0,-340.0891113748
S22x5/09-1.2,-340.0857626596
S22x5/09-1.5,-340.0779371617
S22x5/09-2.0,-340.0710490028
S22x5/10-A,-232.4251209157
S22x5/10-B,-76.49211519
S22x5/10-0.9,-308.9189904807
S22x5/10-1.0,-308.9203909996
S22x5/10-1.2,-308.9201286045
S22x5/10-1.5,-308.9188853997
S22x5/10-2.0,-308.9178819174
S22x5/11-A,-232.4251529673
S22x5/11-B,-56.6056458825
S22x5/11-0.9,-289.0303437875
S22x5/11-1.0,-289.0319655779
S22x5/11-1.2,-289.0321486919
S22x5/11-1.5,-289.0315833089
S22x5/11-2.0,-289.0310986431
S22x5/12-A,-232.4251068102
S22x5/12-B,-40.5485340425
S22x5/12-0.9,-272.9713532598
S22x5/12-1.0,-272.9731914129
S22x5/12-1.2,-272.9739939847
S22x5/12-1.5,-272.973832749
S22x5/12-2.0,-272.9736857912
S22x5/13-A,-232.4251009003
S22x5/13-B,-232.4251005949
S22x5/13-0.9,-464.8470877149
S22x5/13-1.0,-464.8495691848
S22x5/13-1.2,-464.8509901538
S22x5/13-1.5,-464.8507460008
S22x5/13-2.0,-464.8504099107
S22x5/14-A,-232.4251246803
S22x5/14-B,-232.4251246802
S22x5/14-0.9,-464.8359802704
S22x5/14-1.0,-464.84585099
S22x5/14-1.2,-464.8494860208
S22x5/14-1.5,-464.8499036873
S22x5/14-2.0,-464.8499844548
S22x5/15-A,-232.4250262566
S22x5/15-B,-364.0934328221
S22x5/15-0.9,-596.5173409788
S22x5/15-1.0,-596.5207088126
S22x5/15-1.2,-596.5221949818
S22x5/15-1.5,-596.5211379543
S22x5/15-2.0,-596.5196537104
S22x5/16-A,-232.4250384274
S22x5/16-B,-364.0934696931
S22x5/16-0.9,-596.501768504
S22x5/16-1.0,-596.5127755805
S22x5/16-1.2,-596.5177235673
S22x5/16-1.5,-596.5181684566
S22x5/16-2.0,-596.5183417934
S22x5/17-A,-264.5168992955
S22x5/17-B,-264.5169454353
S22x5/17-0.9,-529.0215122422
S22x5/17-1.0,-529.0313533365
S22x5/17-1.2,-529.0346826499
S22x5/17-1.5,-529.0343069722
S22x5/17-2.0,-529.0339877188
S22x5/18-A,-323.771075269
S22x5/18-B,-303.884860234
S22x5/18-0.9,-627.6758509638
S22x5/18-1.0,-627.6789811324
S22x5/18-1.2,-627.6756258762
S22x5/18-1.5,-627.667544492
S22x5/18-2.0,-627.6605668426
S22x5/19-A,-307.7093063492
S22x5/19-B,-307.7092684275
S22x5/19-0.9,-615.4227121031
S22x5/19-1.0,-615.4245999077
S22x5/19-1.2,-615.4244646658
S22x5/19-1.5,-615.4222153932
S22x5/19-2.0,-615.4202029999
S22x5/20-A,-415.1480314352
S22x5/20-B,-415.1480314352
S22x5/20-0.9,-830.2880676524
S22x5/20-1.0,-830.2998443551
S22x5/20-1.2,-830.3009307771
S22x5/20-1.5,-830.2984544948
S22x5/20-2.0,-830.2969258583
S22x5/21-A,-415.1472126181
S22x5/21-B,-415.147212618
S22x5/21-0.9,-830.320700841
S22x5/21-1.0,-830.3241207073
