system,LC-wPBE08(w=25)/def2-QZVP/Q-Chem
S22x5/01-A,-466.9998745698
S22x5/01-B,-453.837302025
S22x5/01-0.9,-920.8582531131
S22x5/01-1.0,-920.8603759685
S22x5/01-1.2,-920.8560251352
S22x5/01-1.5,-920.8476758232
S22x5/01-2.0,-920.8408277081
S22x5/02-A,-466.9994318283
S22x5/02-B,-453.8379245915
S22x5/02-0.9,-920.827103832
S22x5/02-1.0,-920.8397299446
S22x5/02-1.2,-920.8427229296
S22x5/02-1.5,-920.8401204639
S22x5/02-2.0,-920.8382974275
S22x5/03-A,-56.5159716712
S22x5/03-B,-56.5159716712
S22x5/03-0.9,-113.0356314404
S22x5/03-1.0,-113.0366790874
S22x5/03-1.2,-113.0356619378
S22x5/03-1.5,-113.0337582432
S22x5/03-2.0,-113.032535624
S22x5/04-A,-76.3868232946
S22x5/04-B,-76.3867884912
S22x5/04-0.9,-152.7811347715
S22x5/04-1.0,-152.7820509717
S22x5/04-1.2,-152.7804565108
S22x5/04-1.5,-152.7775328909
S22x5/04-2.0,-152.7751940458
S22x5/05-A,-40.4675604169
S22x5/05-B,-40.4675604169
S22x5/05-0.9,-80.9343193527
S22x5/05-1.0,-80.9352558264
S22x5/05-1.2,-80.9353134654
S22x5/05-1.5,-80.9351466222
S22x5/05-2.0,-80.9351204534
S22x5/06-A,-78.5074079633
S22x5/06-B,-78.5074079633
S22x5/06-0.9,-157.0130866673
S22x5/06-1.0,-157.0153987756
S22x5/06-1.2,-157.0154944083
S22x5/06-1.5,-157.0149574998
S22x5/06-2.0,-157.0148208723
S22x5/07-A,-78.5073659382
S22x5/07-B,-77.2577972509
S22x5/07-0.9,-155.7664945864
S22x5/07-1.0,-155.7670708784
S22x5/07-1.2,-155.7666316252
S22x5/07-1.5,-155.7658327726
S22x5/07-2.0,-155.7653470381
S22x5/08-A,-189.6577123023
S22x5/08-B,-189.6577123023
S22x5/08-0.9,-379.3418455598
S22x5/08-1.0,-379.3448924624
S22x5/08-1.2,-379.3399497098
S22x5/08-1.5,-379.329859262
S22x5/08-2.0,-379.3211918442
S22x5/09-A,-169.7900751477
S22x5/09-B,-169.7900751477
S22x5/09-0.9,-339.6015467858
S22x5/09-1.0,-339.6041278669
S22x5/09-1.2,-339.6003526361
S22x5/09-1.5,-339.5925820186
S22x5/09-2.0,-339.5856806515
S22x5/10-A,-232.0365019298
S22x5/10-B,-76.3867747311
S22x5/10-0.9,-308.4261800905
S22x5/10-1.0,-308.4271639123
S22x5/10-1.2,-308.426610479
S22x5/10-1.5,-308.4251575313
S22x5/10-2.0,-308.4239606917
S22x5/11-A,-232.036525017
S22x5/11-B,-56.5159085389
S22x5/11-0.9,-288.552970056
S22x5/11-1.0,-288.5542631962
S22x5/11-1.2,-288.5541612689
S22x5/11-1.5,-288.5534024327
S22x5/11-2.0,-288.5527524824
S22x5/12-A,-232.0364801313
S22x5/12-B,-40.4674414376
S22x5/12-0.9,-272.5025266815
S22x5/12-1.0,-272.5040504763
S22x5/12-1.2,-272.5046051706
S22x5/12-1.5,-272.504289097
S22x5/12-2.0,-272.5039833508
S22x5/13-A,-232.036507685
S22x5/13-B,-232.0365101738
S22x5/13-0.9,-464.0713053993
S22x5/13-1.0,-464.0732228735
S22x5/13-1.2,-464.0742567807
S22x5/13-1.5,-464.0737781776
S22x5/13-2.0,-464.0732581702
S22x5/14-A,-232.0364699799
S22x5/14-B,-232.0364699799
S22x5/14-0.9,-464.0620766369
S22x5/14-1.0,-464.0702491749
S22x5/14-1.2,-464.0727517082
S22x5/14-1.5,-464.0727543026
S22x5/14-2.0,-464.0726507628
S22x5/15-A,-232.036437446
S22x5/15-B,-363.516143248
S22x5/15-0.9,-595.5536508314
S22x5/15-1.0,-595.5561758358
S22x5/15-1.2,-595.5570932442
S22x5/15-1.5,-595.555716578
S22x5/15-2.0,-595.5539317983
S22x5/16-A,-232.0364090358
S22x5/16-B,-363.5161383726
S22x5/16-0.9,-595.5406612802
S22x5/16-1.0,-595.549051797
S22x5/16-1.2,-595.5526895494
S22x5/16-1.5,-595.5526526409
S22x5/16-2.0,-595.5524832581
S22x5/17-A,-264.110729669
S22x5/17-B,-264.1107911091
S22x5/17-0.9,-528.2126898923
S22x5/17-1.0,-528.2204460506
S22x5/17-1.2,-528.2229098601
S22x5/17-1.5,-528.2221939485
S22x5/17-2.0,-528.2216937718
S22x5/18-A,-323.2843583492
S22x5/18-B,-303.4120691222
S22x5/18-0.9,-626.7189802055
S22x5/18-1.0,-626.7211770379
S22x5/18-1.2,-626.7169090541
S22x5/18-1.5,-626.7084736032
S22x5/18-2.0,-626.7012762716
S22x5/19-A,-307.2293004692
S22x5/19-B,-307.2290508135
S22x5/19-0.9,-614.4634814021
S22x5/19-1.0,-614.4648412406
S22x5/19-1.2,-614.4647262132
S22x5/19-1.5,-614.4624568642
S22x5/19-2.0,-614.4602819285
S22x5/20-A,-414.5586958244
S22x5/20-B,-414.5586958244
S22x5/20-0.9,-829.1122161965
S22x5/20-1.0,-829.1223119756
S22x5/20-1.2,-829.1228095021
S22x5/20-1.5,-829.1199488883
S22x5/20-2.0,-829.1182080259
S22x5/21-A,-414.5582050646
S22x5/21-B,-414.5582050646
S22x5/21-0.9,-829.1434442232
S22x5/21-1.0,-829.1462136691
S22x5/21-1.2,-829.1410779637
S22x5/21-1.5,-829.1313659144
S22x5/21-2.0,-829.1228173732
S22x5/22-A,-232.0365181406
S22x5/22-B,-93.353397575
S22x5/22-0.9,-325.393277115
S22x5/22-1.0,-325.3945145579
S22x5/22-1.2,-325.3942528404
S22x5/22-1.5,-325.3926049436
S22x5/22-2.0,-325.3910174333
S66x8/01-A,-76.3867554645
S66x8/01-B,-76.3868066283
S66x8/01-090,-152.7816097188
S66x8/01-095,-152.7819960848
S66x8/01-100,-152.7819378854
S66x8/01-105,-152.7816124344
S66x8/01-110,-152.7811376049
S66x8/01-125,-152.7794853999
S66x8/01-150,-152.7772387677
S66x8/01-200,-152.7751090956
S66x8/02-A,-76.3867582183
S66x8/02-B,-115.6406766683
S66x8/02-090,-192.0355666205
S66x8/02-095,-192.036105627
S66x8/02-100,-192.0361349748
S66x8/02-105,-192.0358550507
S66x8/02-110,-192.0353932131
S66x8/02-125,-192.0336710221
S66x8/02-150,-192.0312568838
S66x8/02-200,-192.028976511
S66x8/03-A,-76.3867529905
S66x8/03-B,-95.7746445929
S66x8/03-090,-172.1728766398
S66x8/03-095,-172.1733040367
S66x8/03-100,-172.1731732751
S66x8/03-105,-172.1727024033
S66x8/03-110,-172.1720382309
S66x8/03-125,-172.1696917114
S66x8/03-150,-172.1664471428
S66x8/03-200,-172.1633502782
S66x8/04-A,-76.3867562383
S66x8/04-B,-248.3390889772
S66x8/04-090,-324.7371410454
S66x8/04-095,-324.7377745383
S66x8/04-100,-324.737816127
S66x8/04-105,-324.7374955472
S66x8/04-110,-324.7369533484
S66x8/04-125,-324.7348481048
S66x8/04-150,-324.7317071347
S66x8/04-200,-324.7281023457
S66x8/05-A,-115.6406888802
S66x8/05-B,-115.6407153641
S66x8/05-090,-231.2892283631
S66x8/05-095,-231.2898772391
S66x8/05-100,-231.2899824347
S66x8/05-105,-231.2897554938
S66x8/05-110,-231.289331015
S66x8/05-125,-231.2876629108
S66x8/05-150,-231.2852505895
S66x8/05-200,-231.2829002987
S66x8/06-A,-115.640592871
S66x8/06-B,-95.7747164534
S66x8/06-090,-211.4263216582
S66x8/06-095,-211.4270936935
S66x8/06-100,-211.4271786339
S66x8/06-105,-211.4268337175
S66x8/06-110,-211.426241634
