system,wB97M(w=200)/def2-QZVP/Q-Chem
S22x5/01-A,-467.64411478
S22x5/01-B,-454.43800191
S22x5/01-0.9,-922.09934668
S22x5/01-1.0,-922.10260439
S22x5/01-1.2,-922.09952202
S22x5/01-1.5,-922.09186236
S22x5/01-2.0,-922.0854771
S22x5/02-A,-467.64392905
S22x5/02-B,-454.43911464
S22x5/02-0.9,-922.07293874
S22x5/02-1.0,-922.08653867
S22x5/02-1.2,-922.08828674
S22x5/02-1.5,-922.08569685
S22x5/02-2.0,-922.08396231
S22x5/03-A,-56.58953101
S22x5/03-B,-56.58953102
S22x5/03-0.9,-113.18170581
S22x5/03-1.0,-113.18318857
S22x5/03-1.2,-113.18235249
S22x5/03-1.5,-113.18068844
S22x5/03-2.0,-113.17960483
S22x5/04-A,-76.47303631
S22x5/04-B,-76.47305981
S22x5/04-0.9,-152.9522249
S22x5/04-1.0,-152.95354913
S22x5/04-1.2,-152.95236594
S22x5/04-1.5,-152.94974364
S22x5/04-2.0,-152.94764548
S22x5/05-A,-40.52902637
S22x5/05-B,-40.52902637
S22x5/05-0.9,-81.05714085
S22x5/05-1.0,-81.05797373
S22x5/05-1.2,-81.05812275
S22x5/05-1.5,-81.05807048
S22x5/05-2.0,-81.05805447
S22x5/06-A,-78.6310007
S22x5/06-B,-78.6310007
S22x5/06-0.9,-157.25994435
S22x5/06-1.0,-157.26223871
S22x5/06-1.2,-157.26240658
S22x5/06-1.5,-157.26211124
S22x5/06-2.0,-157.26200727
S22x5/07-A,-78.63099409
S22x5/07-B,-77.38394095
S22x5/07-0.9,-156.01570627
S22x5/07-1.0,-156.01647644
S22x5/07-1.2,-156.01621533
S22x5/07-1.5,-156.01555615
S22x5/07-2.0,-156.01513124
S22x5/08-A,-189.88540067
S22x5/08-B,-189.88540068
S22x5/08-0.9,-379.79361754
S22x5/08-1.0,-379.79769628
S22x5/08-1.2,-379.79405078
S22x5/08-1.5,-379.78465608
S22x5/08-2.0,-379.77636424
S22x5/09-A,-170.00427087
S22x5/09-B,-170.00427087
S22x5/09-0.9,-340.02725735
S22x5/09-1.0,-340.03071905
S22x5/09-1.2,-340.02792181
S22x5/09-1.5,-340.02051755
S22x5/09-2.0,-340.01397304
S22x5/10-A,-232.39668826
S22x5/10-B,-76.47298666
S22x5/10-0.9,-308.87210339
S22x5/10-1.0,-308.87316525
S22x5/10-1.2,-308.87273458
S22x5/10-1.5,-308.87143921
S22x5/10-2.0,-308.87036297
S22x5/11-A,-232.39669826
S22x5/11-B,-56.58948432
S22x5/11-0.9,-288.98647078
S22x5/11-1.0,-288.98770246
S22x5/11-1.2,-288.98772687
S22x5/11-1.5,-288.98705247
S22x5/11-2.0,-288.98648945
S22x5/12-A,-232.39671763
S22x5/12-B,-40.52902107
S22x5/12-0.9,-272.92429053
S22x5/12-1.0,-272.92571124
S22x5/12-1.2,-272.92616513
S22x5/12-1.5,-272.92595485
S22x5/12-2.0,-272.92579114
S22x5/13-A,-232.39670829
S22x5/13-B,-232.39670918
S22x5/13-0.9,-464.7913809
S22x5/13-1.0,-464.79360109
S22x5/13-1.2,-464.7944562
S22x5/13-1.5,-464.79405498
S22x5/13-2.0,-464.79364597
S22x5/14-A,-232.3967024
S22x5/14-B,-232.3967024
S22x5/14-0.9,-464.78281655
S22x5/14-1.0,-464.79064291
S22x5/14-1.2,-464.79318544
S22x5/14-1.5,-464.7932838
S22x5/14-2.0,-464.79335647
S22x5/15-A,-232.39667371
S22x5/15-B,-364.05922225
S22x5/15-0.9,-596.45619686
S22x5/15-1.0,-596.45907843
S22x5/15-1.2,-596.45987558
S22x5/15-1.5,-596.45855847
S22x5/15-2.0,-596.4570698
S22x5/16-A,-232.3966875
S22x5/16-B,-364.05919367
S22x5/16-0.9,-596.44339523
S22x5/16-1.0,-596.45291529
S22x5/16-1.2,-596.45581883
S22x5/16-1.5,-596.45558619
S22x5/16-2.0,-596.45561521
S22x5/17-A,-264.49214131
S22x5/17-B,-264.49214561
S22x5/17-0.9,-528.97488506
S22x5/17-1.0,-528.98333536
S22x5/17-1.2,-528.98538133
S22x5/17-1.5,-528.98476105
S22x5/17-2.0,-528.98438159
S22x5/18-A,-323.73279565
S22x5/18-B,-303.85084607
S22x5/18-0.9,-627.60207355
S22x5/18-1.0,-627.60549206
S22x5/18-1.2,-627.60263718
S22x5/18-1.5,-627.59493656
S22x5/18-2.0,-627.58824672
S22x5/19-A,-307.67100271
S22x5/19-B,-307.67106304
S22x5/19-0.9,-615.34594877
S22x5/19-1.0,-615.34802482
S22x5/19-1.2,-615.34772106
S22x5/19-1.5,-615.34552483
S22x5/19-2.0,-615.34356583
S22x5/20-A,-415.10084315
S22x5/20-B,-415.10084314
S22x5/20-0.9,-830.19712677
S22x5/20-1.0,-830.20691654
S22x5/20-1.2,-830.20691204
S22x5/20-1.5,-830.20418981
S22x5/20-2.0,-830.20256337
S22x5/21-A,-415.10003541
S22x5/21-B,-415.10003542
S22x5/21-0.9,-830.22461807
S22x5/21-1.0,-830.22817227
S22x5/21-1.2,-830.22431712
S22x5/21-1.5,-830.21501658
S22x5/21-2.0,-830.20675278
S22x5/22-A,-232.39669284
S22x5/22-B,-93.49161921
S22x5/22-0.9,-325.8913545
S22x5/22-1.0,-325.89291286
S22x5/22-1.2,-325.89259627
S22x5/22-1.5,-325.89094123
S22x5/22-2.0,-325.88947808
S66x8/01-A,-76.47305072
S66x8/01-B,-76.47305332
S66x8/01-090,-152.9528112
S66x8/01-095,-152.95340384
S66x8/01-100,-152.95349878
S66x8/01-105,-152.95329453
S66x8/01-110,-152.95291262
S66x8/01-125,-152.95145063
S66x8/01-150,-152.94942682
S66x8/01-200,-152.9475016
S66x8/02-A,-76.47305386
S66x8/02-B,-115.78668282
S66x8/02-090,-192.26644679
S66x8/02-095,-192.2672028
S66x8/02-100,-192.26739481
S66x8/02-105,-192.26723903
S66x8/02-110,-192.26687669
S66x8/02-125,-192.26536214
S66x8/02-150,-192.26318755
S66x8/02-200,-192.2611344
S66x8/03-A,-76.47305282
S66x8/03-B,-95.90793841
S66x8/03-090,-172.39006474
S66x8/03-095,-172.39082274
S66x8/03-100,-172.3909663
S66x8/03-105,-172.39072086
S66x8/03-110,-172.39024234
S66x8/03-125,-172.38828978
S66x8/03-150,-172.38541464
S66x8/03-200,-172.38265252
S66x8/04-A,-76.47305407
S66x8/04-B,-248.67249999
S66x8/04-090,-325.15534004
S66x8/04-095,-325.15622492
S66x8/04-100,-325.15646261
S66x8/04-105,-325.15627255
S66x8/04-110,-325.15582791
S66x8/04-125,-325.15388952
S66x8/04-150,-325.15093504
S66x8/04-200,-325.14760433
S66x8/05-A,-115.78654145
S66x8/05-B,-115.78669267
S66x8/05-090,-231.5797154
S66x8/05-095,-231.58059601
S66x8/05-100,-231.58088223
S66x8/05-105,-231.58079388
S66x8/05-110,-231.58048047
S66x8/05-125,-231.57902631
S66x8/05-150,-231.57683368
S66x8/05-200,-231.57472406
S66x8/06-A,-115.78631728
S66x8/06-B,-95.9079401
S66x8/06-090,-211.70292612
S66x8/06-095,-211.70401976
S66x8/06-100,-211.70439719
S66x8/06-105,-211.70430269
S66x8/06-110,-211.70391736
S66x8/06-125,-211.70206077
S66x8/06-150,-211.69909498
S66x8/06-200,-211.69616861
S66x8/07-A,-115.78642361
S66x8/07-B,-248.67249119
S66x8/07-090,-364.46825415
S66x8/07-095,-364.46932283
S66x8/07-100,-364.46969254
S66x8/07-105,-364.469598
S66x8/07-110,-364.46922073
S66x8/07-125,-364.46737345
S66x8/07-150,-364.46399638
S66x8/07-200,-364.46053013
S66x8/08-A,-115.78656574
S66x8/08-B,-76.47305589
S66x8/08-090,-192.26605676
S66x8/08-095,-192.26676495
S66x8/08-100,-192.26694292
S66x8/08-105,-192.26679907
S66x8/08-110,-192.26645975
S66x8/08-125,-192.26505132
S66x8/08-150,-192.26302254
S66x8/08-200,-192.26107627
S66x8/09-A,-95.90786753
S66x8/09-B,-115.78668268
S66x8/09-090,-211.69693515
S66x8/09-095,-211.6975765
S66x8/09-100,-211.69781096
S66x8/09-105,-211.69780569
S66x8/09-110,-211.69766247
S66x8/09-125,-211.69696555
S66x8/09-150,-211.6960004
S66x8/09-200,-211.69514134
S66x8/10-A,-95.90789854
S66x8/10-B,-95.90791818
S66x8/10-090,-191.81877212
S66x8/10-095,-191.81976144
S66x8/10-100,-191.82016921
S66x8/10-105,-191.82022086
S66x8/10-110,-191.82005469
S66x8/10-125,-191.81910957
S66x8/10-150,-191.81745787
S66x8/10-200,-191.81634355
S66x8/11-A,-95.90773827
S66x8/11-B,-248.67266227
