system,LC-wPBE08(w=400)/def2-QZVP/Q-Chem
S22x5/01-A,-467.1680347235
S22x5/01-B,-454.012742434
S22x5/01-0.9,-921.199465504
S22x5/01-1.0,-921.2018458446
S22x5/01-1.2,-921.1981327424
S22x5/01-1.5,-921.1904600638
S22x5/01-2.0,-921.1841598174
S22x5/02-A,-467.1670936528
S22x5/02-B,-454.0137041767
S22x5/02-0.9,-921.1741381624
S22x5/02-1.0,-921.1846791767
S22x5/02-1.2,-921.1857588212
S22x5/02-1.5,-921.1832431157
S22x5/02-2.0,-921.1817363753
S22x5/03-A,-56.5537697489
S22x5/03-B,-56.5537697489
S22x5/03-0.9,-113.1099293223
S22x5/03-1.0,-113.1113498283
S22x5/03-1.2,-113.1107024604
S22x5/03-1.5,-113.1091250455
S22x5/03-2.0,-113.1080903413
S22x5/04-A,-76.4224382159
S22x5/04-B,-76.4224649132
S22x5/04-0.9,-152.8512400923
S22x5/04-1.0,-152.8522973592
S22x5/04-1.2,-152.8510539071
S22x5/04-1.5,-152.84852926
S22x5/04-2.0,-152.8464716206
S22x5/05-A,-40.5102554191
S22x5/05-B,-40.5102554191
S22x5/05-0.9,-81.0193453734
S22x5/05-1.0,-81.0202777372
S22x5/05-1.2,-81.0204850269
S22x5/05-1.5,-81.0205063611
S22x5/05-2.0,-81.0205099149
S22x5/06-A,-78.5588602669
S22x5/06-B,-78.5588602669
S22x5/06-0.9,-157.1157706937
S22x5/06-1.0,-157.1179017638
S22x5/06-1.2,-157.1180272088
S22x5/06-1.5,-157.1177909826
S22x5/06-2.0,-157.1177254831
S22x5/07-A,-78.5588329556
S22x5/07-B,-77.2924008365
S22x5/07-0.9,-155.8518562375
S22x5/07-1.0,-155.852598503
S22x5/07-1.2,-155.8524018581
S22x5/07-1.5,-155.8518012137
S22x5/07-2.0,-155.8514214415
S22x5/08-A,-189.7228080318
S22x5/08-B,-189.7228080318
S22x5/08-0.9,-379.4717808788
S22x5/08-1.0,-379.4744291981
S22x5/08-1.2,-379.469322866
S22x5/08-1.5,-379.4595573623
S22x5/08-2.0,-379.4512288992
S22x5/09-A,-169.8573124259
S22x5/09-B,-169.8573124259
S22x5/09-0.9,-339.7345602422
S22x5/09-1.0,-339.737270979
S22x5/09-1.2,-339.7339734402
S22x5/09-1.5,-339.7266665057
S22x5/09-2.0,-339.7201235223
S22x5/10-A,-232.1474364195
S22x5/10-B,-76.4223340678
S22x5/10-0.9,-308.5728002908
S22x5/10-1.0,-308.573538473
S22x5/10-1.2,-308.5728924253
S22x5/10-1.5,-308.5715699824
S22x5/10-2.0,-308.5705162756
S22x5/11-A,-232.1474875522
S22x5/11-B,-56.5536412918
S22x5/11-0.9,-288.701755016
S22x5/11-1.0,-288.7027775239
S22x5/11-1.2,-288.7026696176
S22x5/11-1.5,-288.7019713764
S22x5/11-2.0,-288.7014514316
S22x5/12-A,-232.1475269957
S22x5/12-B,-40.5102516695
S22x5/12-0.9,-272.6564925717
S22x5/12-1.0,-272.6577363116
S22x5/12-1.2,-272.6581342844
S22x5/12-1.5,-272.6579676577
S22x5/12-2.0,-272.6578254591
S22x5/13-A,-232.1475108849
S22x5/13-B,-232.1474939588
S22x5/13-0.9,-464.2935353192
S22x5/13-1.0,-464.2953200834
S22x5/13-1.2,-464.2960142752
S22x5/13-1.5,-464.2955896832
S22x5/13-2.0,-464.2952332895
S22x5/14-A,-232.1474784338
S22x5/14-B,-232.1474784338
S22x5/14-0.9,-464.2853501687
S22x5/14-1.0,-464.2922250211
S22x5/14-1.2,-464.2943193282
S22x5/14-1.5,-464.2946478348
S22x5/14-2.0,-464.2948234361
S22x5/15-A,-232.1473475055
S22x5/15-B,-363.6737769093
S22x5/15-0.9,-595.8226103233
S22x5/15-1.0,-595.8248869366
S22x5/15-1.2,-595.8253525993
S22x5/15-1.5,-595.8238904352
S22x5/15-2.0,-595.8224111339
S22x5/16-A,-232.1474295791
S22x5/16-B,-363.6738013374
S22x5/16-0.9,-595.8106939025
S22x5/16-1.0,-595.8181860393
