system,cam-QTP-01(w=300)/def2-QZVP/Q-Chem
S22x5/01-A,-467.0566926707
S22x5/01-B,-453.9107755198
S22x5/01-0.9,-920.9934578401
S22x5/01-1.0,-920.9947090587
S22x5/01-1.2,-920.988756871
S22x5/01-1.5,-920.9787557803
S22x5/01-2.0,-920.9710967018
S22x5/02-A,-467.05569867
S22x5/02-B,-453.9117808497
S22x5/02-0.9,-920.9691090987
S22x5/02-1.0,-920.9781970518
S22x5/02-1.2,-920.9752661644
S22x5/02-1.5,-920.9703224173
S22x5/02-2.0,-920.9684530873
S22x5/03-A,-56.5267424589
S22x5/03-B,-56.5267424589
S22x5/03-0.9,-113.0588342744
S22x5/03-1.0,-113.0594455538
S22x5/03-1.2,-113.057577329
S22x5/03-1.5,-113.0552826948
S22x5/03-2.0,-113.0540584052
S22x5/04-A,-76.4055079063
S22x5/04-B,-76.405556159
S22x5/04-0.9,-152.8210333747
S22x5/04-1.0,-152.821312053
S22x5/04-1.2,-152.8187609965
S22x5/04-1.5,-152.8151901245
S22x5/04-2.0,-152.8126940779
S22x5/05-A,-40.4749138439
S22x5/05-B,-40.4749138439
S22x5/05-0.9,-80.9502342805
S22x5/05-1.0,-80.9503947151
S22x5/05-1.2,-80.9499661184
S22x5/05-1.5,-80.9498317042
S22x5/05-2.0,-80.9498269248
S22x5/06-A,-78.5169887159
S22x5/06-B,-78.5169887159
S22x5/06-0.9,-157.0348755398
S22x5/06-1.0,-157.0359559603
S22x5/06-1.2,-157.0347771543
S22x5/06-1.5,-157.0340717263
S22x5/06-2.0,-157.0339823579
S22x5/07-A,-78.5169563107
S22x5/07-B,-77.263904241
S22x5/07-0.9,-155.7828468059
S22x5/07-1.0,-155.7831986455
S22x5/07-1.2,-155.7824348896
S22x5/07-1.5,-155.7815133671
S22x5/07-2.0,-155.7810560804
S22x5/08-A,-189.6945112556
S22x5/08-B,-189.6945112556
S22x5/08-0.9,-379.422957659
S22x5/08-1.0,-379.4246463408
S22x5/08-1.2,-379.4174181995
S22x5/08-1.5,-379.405077612
S22x5/08-2.0,-379.3950510317
S22x5/09-A,-169.8189255873
S22x5/09-B,-169.8189255873
S22x5/09-0.9,-339.6651518467
S22x5/09-1.0,-339.6667041789
S22x5/09-1.2,-339.6610750221
S22x5/09-1.5,-339.6514254449
S22x5/09-2.0,-339.6436157439
S22x5/10-A,-232.0597048514
S22x5/10-B,-76.4053755215
S22x5/10-0.9,-308.4701250483
S22x5/10-1.0,-308.4704269531
S22x5/10-1.2,-308.4689523789
S22x5/10-1.5,-308.4670284677
S22x5/10-2.0,-308.4658102919
S22x5/11-A,-232.0597630082
S22x5/11-B,-56.5265978973
S22x5/11-0.9,-288.5888665475
S22x5/11-1.0,-288.5894464344
S22x5/11-1.2,-288.5885628088
S22x5/11-1.5,-288.5873482013
S22x5/11-2.0,-288.5866841879
S22x5/12-A,-232.0598000421
S22x5/12-B,-40.4749452081
S22x5/12-0.9,-272.5352710874
S22x5/12-1.0,-272.5360998693
S22x5/12-1.2,-272.535771338
S22x5/12-1.5,-272.5350576211
S22x5/12-2.0,-272.5347954028
S22x5/13-A,-232.0597689032
S22x5/13-B,-232.0597494006
S22x5/13-0.9,-464.1203277377
S22x5/13-1.0,-464.1216874589
S22x5/13-1.2,-464.1214998534
S22x5/13-1.5,-464.1203727233
S22x5/13-2.0,-464.1197538476
S22x5/14-A,-232.0597813189
S22x5/14-B,-232.059781319
S22x5/14-0.9,-464.1126407563
S22x5/14-1.0,-464.1191047446
S22x5/14-1.2,-464.119899442
S22x5/14-1.5,-464.1193662362
S22x5/14-2.0,-464.1194267169
S22x5/15-A,-232.0595935595
S22x5/15-B,-363.5523093543
S22x5/15-0.9,-595.6162441086
S22x5/15-1.0,-595.6180590401
S22x5/15-1.2,-595.6174462729
S22x5/15-1.5,-595.6150301873
S22x5/15-2.0,-595.6131624555
S22x5/16-A,-232.0597095479
S22x5/16-B,-363.5523550676
S22x5/16-0.9,-595.6050129866
S22x5/16-1.0,-595.6123270387
S22x5/16-1.2,-595.613102679
S22x5/16-1.5,-595.6118082213
S22x5/16-2.0,-595.611796208
S22x5/17-A,-264.1379099761
S22x5/17-B,-264.1378979975
S22x5/17-0.9,-528.2717348887
