system,cam-QTP-01(w=125)/def2-QZVP/Q-Chem
S22x5/01-A,-467.2974262705
S22x5/01-B,-454.126657468
S22x5/01-0.9,-921.4521537506
S22x5/01-1.0,-921.4531735471
S22x5/01-1.2,-921.4467189716
S22x5/01-1.5,-921.4360412221
S22x5/01-2.0,-921.4278166865
S22x5/02-A,-467.2967584573
S22x5/02-B,-454.127651158
S22x5/02-0.9,-921.4288104141
S22x5/02-1.0,-921.4376452597
S22x5/02-1.2,-921.4335408652
S22x5/02-1.5,-921.4274345629
S22x5/02-2.0,-921.4253716204
S22x5/03-A,-56.5450915226
S22x5/03-B,-56.5450915226
S22x5/03-0.9,-113.0965595516
S22x5/03-1.0,-113.0969276899
S22x5/03-1.2,-113.0946845279
S22x5/03-1.5,-113.0920727217
S22x5/03-2.0,-113.0907597291
S22x5/04-A,-76.4294565193
S22x5/04-B,-76.4294910829
S22x5/04-0.9,-152.8695992832
S22x5/04-1.0,-152.8698331145
S22x5/04-1.2,-152.8670909699
S22x5/04-1.5,-152.8632253811
S22x5/04-2.0,-152.8605559812
S22x5/05-A,-40.4877765894
S22x5/05-B,-40.4877765894
S22x5/05-0.9,-80.9766470686
S22x5/05-1.0,-80.9765270136
S22x5/05-1.2,-80.9757826721
S22x5/05-1.5,-80.9755615333
S22x5/05-2.0,-80.9755525555
S22x5/06-A,-78.5549784804
S22x5/06-B,-78.5549784804
S22x5/06-0.9,-157.1121067695
S22x5/06-1.0,-157.1128213238
S22x5/06-1.2,-157.1110408416
S22x5/06-1.5,-157.1100705895
S22x5/06-2.0,-157.1099616073
S22x5/07-A,-78.5549465574
S22x5/07-B,-77.3068239761
S22x5/07-0.9,-155.8646058497
S22x5/07-1.0,-155.8647113316
S22x5/07-1.2,-155.8635983343
S22x5/07-1.5,-155.8624667113
S22x5/07-2.0,-155.8619650387
S22x5/08-A,-189.7721739432
S22x5/08-B,-189.7721739432
S22x5/08-0.9,-379.5788852058
S22x5/08-1.0,-379.5807651197
S22x5/08-1.2,-379.5736098625
S22x5/08-1.5,-379.5609660291
S22x5/08-2.0,-379.5504551983
S22x5/09-A,-169.891247806
S22x5/09-B,-169.891247806
S22x5/09-0.9,-339.8111031635
S22x5/09-1.0,-339.812573563
S22x5/09-1.2,-339.8066394714
S22x5/09-1.5,-339.7964943372
S22x5/09-2.0,-339.7882509881
S22x5/10-A,-232.191267342
S22x5/10-B,-76.4293564337
S22x5/10-0.9,-308.6265755773
S22x5/10-1.0,-308.6267461935
S22x5/10-1.2,-308.6249310733
S22x5/10-1.5,-308.6226629452
S22x5/10-2.0,-308.6213412466
S22x5/11-A,-232.1913078922
S22x5/11-B,-56.5449951223
S22x5/11-0.9,-288.7397256149
S22x5/11-1.0,-288.740161507
S22x5/11-1.2,-288.7388957933
S22x5/11-1.5,-288.7373750771
S22x5/11-2.0,-288.7366205923
S22x5/12-A,-232.1913278377
S22x5/12-B,-40.4877944344
S22x5/12-0.9,-272.6805749057
S22x5/12-1.0,-272.6812444411
S22x5/12-1.2,-272.6805575586
S22x5/12-1.5,-272.6795289763
S22x5/12-2.0,-272.6791736065
S22x5/13-A,-232.1913132654
S22x5/13-B,-232.1913053749
S22x5/13-0.9,-464.3846161807
S22x5/13-1.0,-464.3857220231
S22x5/13-1.2,-464.3851578433
S22x5/13-1.5,-464.3836275888
S22x5/13-2.0,-464.3828545255
S22x5/14-A,-232.1913041649
S22x5/14-B,-232.1913041649
S22x5/14-0.9,-464.3779100504
S22x5/14-1.0,-464.3839218477
S22x5/14-1.2,-464.3836568946
S22x5/14-1.5,-464.3824999636
S22x5/14-2.0,-464.3824471002
S22x5/15-A,-232.1911862184
S22x5/15-B,-363.7557841056
S22x5/15-0.9,-595.952786083
S22x5/15-1.0,-595.9543723276
S22x5/15-1.2,-595.9533415301
S22x5/15-1.5,-595.9504152266
S22x5/15-2.0,-595.9482587745
S22x5/16-A,-232.1912452738
S22x5/16-B,-363.7558214264
S22x5/16-0.9,-595.9428854738
S22x5/16-1.0,-595.949587487
S22x5/16-1.2,-595.9492822975
S22x5/16-1.5,-595.9470963361
S22x5/16-2.0,-595.9468542654
S22x5/17-A,-264.2802189258
S22x5/17-B,-264.2802341736
S22x5/17-0.9,-528.5584873763
S22x5/17-1.0,-528.5643572036
S22x5/17-1.2,-528.5633236121
