system,cam-B3LYP(w=25)/def2-QZVP/Q-Chem
S22x5/01-A,-467.6740431707
S22x5/01-B,-454.4883720036
S22x5/01-0.9,-922.1806571736
S22x5/01-1.0,-922.1837032113
S22x5/01-1.2,-922.1802468771
S22x5/01-1.5,-922.1722810935
S22x5/01-2.0,-922.1657403817
S22x5/02-A,-467.6736003298
S22x5/02-B,-454.489458818
S22x5/02-0.9,-922.1463712647
S22x5/02-1.0,-922.1625523276
S22x5/02-1.2,-922.1671586011
S22x5/02-1.5,-922.1652857551
S22x5/02-2.0,-922.1639796024
S22x5/03-A,-56.6046799302
S22x5/03-B,-56.6046799302
S22x5/03-0.9,-113.2119505189
S22x5/03-1.0,-113.2134092711
S22x5/03-1.2,-113.2126487684
S22x5/03-1.5,-113.2109484012
S22x5/03-2.0,-113.2099167284
S22x5/04-A,-76.4919259715
S22x5/04-B,-76.4919513567
S22x5/04-0.9,-152.9906206715
S22x5/04-1.0,-152.9917816339
S22x5/04-1.2,-152.9903807357
S22x5/04-1.5,-152.9875694606
S22x5/04-2.0,-152.985395813
S22x5/05-A,-40.5464114322
S22x5/05-B,-40.5464114322
S22x5/05-0.9,-81.0915206199
S22x5/05-1.0,-81.0925441647
S22x5/05-1.2,-81.0927974271
S22x5/05-1.5,-81.0928083651
S22x5/05-2.0,-81.0928215597
S22x5/06-A,-78.6480600235
S22x5/06-B,-78.6480600235
S22x5/06-0.9,-157.2931279832
S22x5/06-1.0,-157.2959114689
S22x5/06-1.2,-157.2963680747
S22x5/06-1.5,-157.2961478591
S22x5/06-2.0,-157.2961222218
S22x5/07-A,-78.6480189151
S22x5/07-B,-77.392529577
S22x5/07-0.9,-156.0411084007
S22x5/07-1.0,-156.0419459689
S22x5/07-1.2,-156.0417320701
S22x5/07-1.5,-156.0411062411
S22x5/07-2.0,-156.040723716
S22x5/08-A,-189.9158484002
S22x5/08-B,-189.9158484002
S22x5/08-0.9,-379.8562363443
S22x5/08-1.0,-379.8599565054
S22x5/08-1.2,-379.8557132145
S22x5/08-1.5,-379.8458263482
S22x5/08-2.0,-379.8372503656
S22x5/09-A,-170.0317349645
S22x5/09-B,-170.0317349645
S22x5/09-0.9,-340.0832413826
S22x5/09-1.0,-340.0865353387
S22x5/09-1.2,-340.0833219893
S22x5/09-1.5,-340.0756300701
S22x5/09-2.0,-340.0688588131
S22x5/10-A,-232.418455692
S22x5/10-B,-76.4918366311
S22x5/10-0.9,-308.9117283278
S22x5/10-1.0,-308.9131862469
S22x5/10-1.2,-308.913004953
S22x5/10-1.5,-308.9118436484
S22x5/10-2.0,-308.9109032836
S22x5/11-A,-232.4184833065
S22x5/11-B,-56.6045982176
S22x5/11-0.9,-289.0223142269
S22x5/11-1.0,-289.0239942486
S22x5/11-1.2,-289.0242582025
S22x5/11-1.5,-289.0237784159
S22x5/11-2.0,-289.0233567334
S22x5/12-A,-232.4184243774
S22x5/12-B,-40.5464127815
S22x5/12-0.9,-272.9622421273
S22x5/12-1.0,-272.9641399975
S22x5/12-1.2,-272.9650331338
S22x5/12-1.5,-272.9649507802
S22x5/12-2.0,-272.9648616686
S22x5/13-A,-232.4184235164
S22x5/13-B,-232.4184250401
S22x5/13-0.9,-464.8333263744
S22x5/13-1.0,-464.835868855
S22x5/13-1.2,-464.8374096717
S22x5/13-1.5,-464.8372726947
S22x5/13-2.0,-464.8370209023
S22x5/14-A,-232.4184494893
S22x5/14-B,-232.4184494895
S22x5/14-0.9,-464.8220523626
S22x5/14-1.0,-464.8320679938
S22x5/14-1.2,-464.8358862815
S22x5/14-1.5,-464.8364529444
S22x5/14-2.0,-464.8366040497
S22x5/15-A,-232.4183647225
S22x5/15-B,-364.0846639614
S22x5/15-0.9,-596.5013939013
S22x5/15-1.0,-596.5048348066
S22x5/15-1.2,-596.5064573167
S22x5/15-1.5,-596.5055386198
S22x5/15-2.0,-596.5041616777
S22x5/16-A,-232.4183634759
S22x5/16-B,-364.0846931759
S22x5/16-0.9,-596.4856250018
S22x5/16-1.0,-596.4967529338
S22x5/16-1.2,-596.501945928
S22x5/16-1.5,-596.5025889046
S22x5/16-2.0,-596.5028738689
S22x5/17-A,-264.5129174895
S22x5/17-B,-264.512970417
S22x5/17-0.9,-529.0129677104
S22x5/17-1.0,-529.0229256315
S22x5/17-1.2,-529.0264656015
S22x5/17-1.5,-529.0262541131
S22x5/17-2.0,-529.0260172243
S22x5/18-A,-323.7662988121
S22x5/18-B,-303.8788576059
S22x5/18-0.9,-627.664592355
S22x5/18-1.0,-627.667794827
S22x5/18-1.2,-627.6645500224
S22x5/18-1.5,-627.6565807286
S22x5/18-2.0,-627.6497057875
S22x5/19-A,-307.7029212821
S22x5/19-B,-307.7028894829
S22x5/19-0.9,-615.4094494803
S22x5/19-1.0,-615.4114014005
S22x5/19-1.2,-615.4113883141
S22x5/19-1.5,-615.4092592997
S22x5/19-2.0,-615.4073596756
S22x5/20-A,-415.144342542
S22x5/20-B,-415.144342542
S22x5/20-0.9,-830.2797224417
S22x5/20-1.0,-830.2917536373
S22x5/20-1.2,-830.2931731167
S22x5/20-1.5,-830.2909349127
S22x5/20-2.0,-830.2895272419
S22x5/21-A,-415.1435628623
S22x5/21-B,-415.1435628623
S22x5/21-0.9,-830.3127454746
S22x5/21-1.0,-830.3162779576
S22x5/21-1.2,-830.311838869
S22x5/21-1.5,-830.302195959
S22x5/21-2.0,-830.2936549004
S22x5/22-A,-232.418414706
S22x5/22-B,-93.4987386257
S22x5/22-0.9,-325.9189603393
S22x5/22-1.0,-325.9207975138
S22x5/22-1.2,-325.9210019232
S22x5/22-1.5,-325.9195854392
S22x5/22-2.0,-325.918227643
S66x8/01-A,-76.4919302917
S66x8/01-B,-76.4919306486
S66x8/01-090,-152.9911504084
S66x8/01-095,-152.9916540195
S66x8/01-100,-152.9916763394
S66x8/01-105,-152.9914074526
S66x8/01-110,-152.9909743684
S66x8/01-125,-152.989381506
S66x8/01-150,-152.9872099308
S66x8/01-200,-152.9852336884
S66x8/02-A,-76.491938623
S66x8/02-B,-115.8145979949
S66x8/02-090,-192.3138609339
S66x8/02-095,-192.3145300389
S66x8/02-100,-192.3146517095
S66x8/02-105,-192.3144357546
S66x8/02-110,-192.3140204807
S66x8/02-125,-192.3123678344
S66x8/02-150,-192.3100324272
S66x8/02-200,-192.3079133101
S66x8/03-A,-76.4919494916
S66x8/03-B,-95.9311626141
S66x8/03-090,-172.4329612569
S66x8/03-095,-172.4336117975
S66x8/03-100,-172.4336612127
S66x8/03-105,-172.4333349088
S66x8/03-110,-172.4327842229
S66x8/03-125,-172.4306589488
S66x8/03-150,-172.4276037795
S66x8/03-200,-172.424732267
S66x8/04-A,-76.4919486849
S66x8/04-B,-248.7147610967
S66x8/04-090,-325.2170383658
S66x8/04-095,-325.2178271493
S66x8/04-100,-325.217983126
S66x8/04-105,-325.2177410873
S66x8/04-110,-325.2172506247
S66x8/04-125,-325.2151998016
S66x8/04-150,-325.2121185646
S66x8/04-200,-325.2087177707
S66x8/05-A,-115.814424831
S66x8/05-B,-115.8146199158
S66x8/05-090,-231.636023474
S66x8/05-095,-231.6368333988
S66x8/05-100,-231.6370570493
S66x8/05-105,-231.6369153994
S66x8/05-110,-231.6365543422
S66x8/05-125,-231.6349905271
S66x8/05-150,-231.6326825137
S66x8/05-200,-231.6305110753
S66x8/06-A,-115.8141797197
S66x8/06-B,-95.9312255702
S66x8/06-090,-211.7545249639
S66x8/06-095,-211.7555665222
S66x8/06-100,-211.7558891354
S66x8/06-105,-211.7557448182
S66x8/06-110,-211.7553054394
S66x8/06-125,-211.75332134
S66x8/06-150,-211.7502642803
S66x8/06-200,-211.7472650693
S66x8/07-A,-115.8142894053
S66x8/07-B,-248.7146367694
S66x8/07-090,-364.5386337099
S66x8/07-095,-364.5396381304
S66x8/07-100,-364.5399525244
S66x8/07-105,-364.5398220235
S66x8/07-110,-364.5394035442
S66x8/07-125,-364.5374574121
S66x8/07-150,-364.5339925336
S66x8/07-200,-364.5304877803
S66x8/08-A,-115.814431559
S66x8/08-B,-76.4919358156
S66x8/08-090,-192.3132837419
S66x8/08-095,-192.3139175092
S66x8/08-100,-192.3140356756
S66x8/08-105,-192.3138366216
S66x8/08-110,-192.3134533065
S66x8/08-125,-192.3119380746
S66x8/08-150,-192.3097923831
S66x8/08-200,-192.3077957597
S66x8/09-A,-95.9311300979
S66x8/09-B,-115.8145778465
S66x8/09-090,-211.7481233797
S66x8/09-095,-211.7487574957
S66x8/09-100,-211.7489801486
S66x8/09-105,-211.7489660008
S66x8/09-110,-211.7488191963
S66x8/09-125,-211.7480863661
S66x8/09-150,-211.7470857474
S66x8/09-200,-211.7462721429
S66x8/10-A,-95.9311214706
S66x8/10-B,-95.9311749443
S66x8/10-090,-191.8649230163
S66x8/10-095,-191.8659780866
S66x8/10-100,-191.8664359747
S66x8/10-105,-191.866515637
S66x8/10-110,-191.8663776066
S66x8/10-125,-191.8654787961
S66x8/10-150,-191.8638267313
S66x8/10-200,-191.8627968108
S66x8/11-A,-95.9309510257
S66x8/11-B,-248.7147918282
S66x8/11-090,-344.6488919179
S66x8/11-095,-344.6501124014
S66x8/11-100,-344.6507151156
S66x8/11-105,-344.6509025883
S66x8/11-110,-344.6508204634
S66x8/11-125,-344.6493301403
S66x8/11-150,-344.6474746183
S66x8/11-200,-344.6464843885
S66x8/12-A,-95.9311956175
S66x8/12-B,-76.4916425334
S66x8/12-090,-172.4325978035
S66x8/12-095,-172.4334602805
S66x8/12-100,-172.4336393182
S66x8/12-105,-172.4333885037
S66x8/12-110,-172.4328827108
S66x8/12-125,-172.4308103002
S66x8/12-150,-172.4277177238
S66x8/12-200,-172.4247908888
S66x8/13-A,-248.7147803648
S66x8/13-B,-115.8146344499
S66x8/13-090,-364.5349613897
S66x8/13-095,-364.5360195905
S66x8/13-100,-364.5364713209
S66x8/13-105,-364.5365338498
S66x8/13-110,-364.5363528971
S66x8/13-125,-364.5351878292
S66x8/13-150,-364.5331955396
S66x8/13-200,-364.5311956137
S66x8/14-A,-248.7145474538
S66x8/14-B,-95.9311801211
S66x8/14-090,-344.6526652778
S66x8/14-095,-344.6539219119
S66x8/14-100,-344.6544817124
S66x8/14-105,-344.6545753694
S66x8/14-110,-344.6543599294
S66x8/14-125,-344.6528912456
S66x8/14-150,-344.6503897222
S66x8/14-200,-344.6477673245
S66x8/15-A,-248.7146028005
S66x8/15-B,-248.7147835916
S66x8/15-090,-497.4371016954
S66x8/15-095,-497.4383886317
S66x8/15-100,-497.4389676359
S66x8/15-105,-497.4390646485
S66x8/15-110,-497.4388505058
S66x8/15-125,-497.4374153048
S66x8/15-150,-497.4348770251
S66x8/15-200,-497.4317498947
S66x8/16-A,-248.7147919373
S66x8/16-B,-76.4919382125
S66x8/16-090,-325.2127837531
S66x8/16-095,-325.2135245869
S66x8/16-100,-325.2137559377
S66x8/16-105,-325.2136713603
S66x8/16-110,-325.2134007788
S66x8/16-125,-325.2121690226
S66x8/16-150,-325.2103047938
S66x8/16-200,-325.2084520168
S66x8/17-A,-415.1437705573
S66x8/17-B,-415.1438190528
S66x8/17-090,-830.3089231872
S66x8/17-095,-830.31111365
S66x8/17-100,-830.3118106831
S66x8/17-105,-830.3115285592
S66x8/17-110,-830.3106289025
S66x8/17-125,-830.306369675
