system,wB97M(w=350)/def2-QZVP/Q-Chem
S22x5/01-A,-467.6623695
S22x5/01-B,-454.46850965
S22x5/01-0.9,-922.1472986
S22x5/01-1.0,-922.15079972
S22x5/01-1.2,-922.14798046
S22x5/01-1.5,-922.14048152
S22x5/01-2.0,-922.13420559
S22x5/02-A,-467.66186226
S22x5/02-B,-454.46972039
S22x5/02-0.9,-922.12280468
S22x5/02-1.0,-922.1356437
S22x5/02-1.2,-922.13668059
S22x5/02-1.5,-922.13417987
S22x5/02-2.0,-922.13251131
S22x5/03-A,-56.60237675
S22x5/03-B,-56.60237676
S22x5/03-0.9,-113.20702859
S22x5/03-1.0,-113.20863763
S22x5/03-1.2,-113.20791889
S22x5/03-1.5,-113.20634019
S22x5/03-2.0,-113.20529499
S22x5/04-A,-76.48727942
S22x5/04-B,-76.48732576
S22x5/04-0.9,-152.98051853
S22x5/04-1.0,-152.9818856
S22x5/04-1.2,-152.98076446
S22x5/04-1.5,-152.97821955
S22x5/04-2.0,-152.97617275
S22x5/05-A,-40.54135616
S22x5/05-B,-40.54135616
S22x5/05-0.9,-81.08170759
S22x5/05-1.0,-81.08254535
S22x5/05-1.2,-81.08274704
S22x5/05-1.5,-81.08272572
S22x5/05-2.0,-81.08271409
S22x5/06-A,-78.64093228
S22x5/06-B,-78.64093228
S22x5/06-0.9,-157.27976897
S22x5/06-1.0,-157.28199707
S22x5/06-1.2,-157.28218769
S22x5/06-1.5,-157.28195996
S22x5/06-2.0,-157.28187047
S22x5/07-A,-78.64092298
S22x5/07-B,-77.38810569
S22x5/07-0.9,-156.02954741
S22x5/07-1.0,-156.03039933
S22x5/07-1.2,-156.03022574
S22x5/07-1.5,-156.02962721
S22x5/07-2.0,-156.0292217
S22x5/08-A,-189.9038497
S22x5/08-B,-189.9038497
S22x5/08-0.9,-379.83064562
S22x5/08-1.0,-379.834725
S22x5/08-1.2,-379.83104916
S22x5/08-1.5,-379.82158921
S22x5/08-2.0,-379.81330241
S22x5/09-A,-170.02151222
S22x5/09-B,-170.02151222
S22x5/09-0.9,-340.06135456
S22x5/09-1.0,-340.06499308
S22x5/09-1.2,-340.06234462
S22x5/09-1.5,-340.0549972
S22x5/09-2.0,-340.04850161
S22x5/10-A,-232.40467875
S22x5/10-B,-76.4871948
S22x5/10-0.9,-308.89431926
S22x5/10-1.0,-308.89533302
S22x5/10-1.2,-308.89486907
S22x5/10-1.5,-308.89362558
S22x5/10-2.0,-308.89258553
S22x5/11-A,-232.40471168
S22x5/11-B,-56.60229057
S22x5/11-0.9,-289.00730325
S22x5/11-1.0,-289.00848509
S22x5/11-1.2,-289.00847699
S22x5/11-1.5,-289.00784643
S22x5/11-2.0,-289.00731535
S22x5/12-A,-232.40475367
S22x5/12-B,-40.54140712
S22x5/12-0.9,-272.94474485
S22x5/12-1.0,-272.9461033
S22x5/12-1.2,-272.94652115
S22x5/12-1.5,-272.94635103
S22x5/12-2.0,-272.94621109
S22x5/13-A,-232.40472722
S22x5/13-B,-232.40471879
S22x5/13-0.9,-464.80750986
S22x5/13-1.0,-464.80965069
S22x5/13-1.2,-464.81042169
S22x5/13-1.5,-464.81004447
S22x5/13-2.0,-464.80967442
S22x5/14-A,-232.40473707
S22x5/14-B,-232.40473707
S22x5/14-0.9,-464.79915583
S22x5/14-1.0,-464.80674624
S22x5/14-1.2,-464.80910993
S22x5/14-1.5,-464.80929677
S22x5/14-2.0,-464.80941901
S22x5/15-A,-232.40462406
S22x5/15-B,-364.06953074
S22x5/15-0.9,-596.47455854
S22x5/15-1.0,-596.47736305
S22x5/15-1.2,-596.47805697
S22x5/15-1.5,-596.47675814
S22x5/15-2.0,-596.47533213
S22x5/16-A,-232.40469666
S22x5/16-B,-364.06952754
S22x5/16-0.9,-596.46217018
S22x5/16-1.0,-596.47136962
S22x5/16-1.2,-596.47394794
S22x5/16-1.5,-596.47380508
S22x5/16-2.0,-596.47393045
S22x5/17-A,-264.49979219
S22x5/17-B,-264.49978657
S22x5/17-0.9,-528.99053522
S22x5/17-1.0,-528.99876098
S22x5/17-1.2,-529.00057271
S22x5/17-1.5,-529.00001382
S22x5/17-2.0,-528.99967156
S22x5/18-A,-323.74765864
S22x5/18-B,-303.86541104
S22x5/18-0.9,-627.63048797
S22x5/18-1.0,-627.63420258
S22x5/18-1.2,-627.63168099
S22x5/18-1.5,-627.62418565
S22x5/18-2.0,-627.61763651
S22x5/19-A,-307.68618629
S22x5/19-B,-307.68626878
S22x5/19-0.9,-615.37651178
S22x5/19-1.0,-615.37853743
