system,LC-BLYP(w=200)/def2-QZVP/Q-Chem
S22x5/01-A,-466.6266018902
S22x5/01-B,-453.4929079034
S22x5/01-0.9,-920.1507391794
S22x5/01-1.0,-920.1510214098
S22x5/01-1.2,-920.1434792475
S22x5/01-1.5,-920.1319451811
S22x5/01-2.0,-920.1233534569
S22x5/02-A,-466.625669729
S22x5/02-B,-453.4933742538
S22x5/02-0.9,-920.1305014991
S22x5/02-1.0,-920.1359646133
S22x5/02-1.2,-920.1289270994
S22x5/02-1.5,-920.1220975205
S22x5/02-2.0,-920.1199924832
S22x5/03-A,-56.4512411248
S22x5/03-B,-56.4512411248
S22x5/03-0.9,-112.9102871899
S22x5/03-1.0,-112.9101258918
S22x5/03-1.2,-112.9073212609
S22x5/03-1.5,-112.9044671186
S22x5/03-2.0,-112.9030799405
S22x5/04-A,-76.3343446675
S22x5/04-B,-76.3343188572
S22x5/04-0.9,-152.680966069
S22x5/04-1.0,-152.6807661223
S22x5/04-1.2,-152.6774188462
S22x5/04-1.5,-152.6731433203
S22x5/04-2.0,-152.6703131573
S22x5/05-A,-40.3915044579
S22x5/05-B,-40.3915044579
S22x5/05-0.9,-80.784566574
S22x5/05-1.0,-80.7841657037
S22x5/05-1.2,-80.7832611741
S22x5/05-1.5,-80.7830181933
S22x5/05-2.0,-80.7830083288
S22x5/06-A,-78.3979936217
S22x5/06-B,-78.3979936217
S22x5/06-0.9,-156.7994432046
S22x5/06-1.0,-156.7994441296
S22x5/06-1.2,-156.7971499638
S22x5/06-1.5,-156.796103615
S22x5/06-2.0,-156.7959913574
S22x5/07-A,-78.3979585177
S22x5/07-B,-77.1679622172
S22x5/07-0.9,-155.5691065541
S22x5/07-1.0,-155.568996911
S22x5/07-1.2,-155.5677296227
S22x5/07-1.5,-155.5665911145
S22x5/07-2.0,-155.5661078272
S22x5/08-A,-189.5431226558
S22x5/08-B,-189.5431226558
S22x5/08-0.9,-379.1239186485
S22x5/08-1.0,-379.1252888288
S22x5/08-1.2,-379.1170799297
S22x5/08-1.5,-379.1034405767
S22x5/08-2.0,-379.0924349989
S22x5/09-A,-169.662718008
S22x5/09-B,-169.662718008
S22x5/09-0.9,-339.3567365963
S22x5/09-1.0,-339.3575577925
S22x5/09-1.2,-339.3506452541
S22x5/09-1.5,-339.3397654875
S22x5/09-2.0,-339.3312403589
S22x5/10-A,-231.7764617862
S22x5/10-B,-76.3342406149
S22x5/10-0.9,-308.1179305069
S22x5/10-1.0,-308.1175881911
S22x5/10-1.2,-308.1152482723
S22x5/10-1.5,-308.1127738521
S22x5/10-2.0,-308.1114019485
S22x5/11-A,-231.7764885578
S22x5/11-B,-56.4510955422
S22x5/11-0.9,-288.2320616663
S22x5/11-1.0,-288.2320366023
S22x5/11-1.2,-288.2303399465
S22x5/11-1.5,-288.2286704494
S22x5/11-2.0,-288.2278941963
S22x5/12-A,-231.7764992666
S22x5/12-B,-40.3914141606
S22x5/12-0.9,-272.1703104233
S22x5/12-1.0,-272.1705540924
S22x5/12-1.2,-272.1694679425
S22x5/12-1.5,-272.168321565
S22x5/12-2.0,-272.1679642269
S22x5/13-A,-231.7765019719
S22x5/13-B,-231.7764946202
S22x5/13-0.9,-463.556327235
S22x5/13-1.0,-463.5569001063
S22x5/13-1.2,-463.5557520538
S22x5/13-1.5,-463.554007676
S22x5/13-2.0,-463.5532201125
S22x5/14-A,-231.7764763247
S22x5/14-B,-231.7764763247
S22x5/14-0.9,-463.5513175038
S22x5/14-1.0,-463.555642937
S22x5/14-1.2,-463.5542001521
S22x5/14-1.5,-463.5528604498
S22x5/14-2.0,-463.5528068129
S22x5/15-A,-231.7764100221
S22x5/15-B,-363.1492453411
S22x5/15-0.9,-594.9334092871
S22x5/15-1.0,-594.9342387477
S22x5/15-1.2,-594.9323679835
S22x5/15-1.5,-594.9290712057
S22x5/15-2.0,-594.9269079289
S22x5/16-A,-231.7764417008
S22x5/16-B,-363.1492327407
S22x5/16-0.9,-594.92576047
S22x5/16-1.0,-594.9303927207
S22x5/16-1.2,-594.9283497426
S22x5/16-1.5,-594.9257553967
S22x5/16-2.0,-594.925487172
S22x5/17-A,-263.8719654275
S22x5/17-B,-263.8719789318
S22x5/17-0.9,-527.7456439831
S22x5/17-1.0,-527.7495662237
S22x5/17-1.2,-527.7470919957
S22x5/17-1.5,-527.7446235771
S22x5/17-2.0,-527.7440977554
S22x5/18-A,-323.0065218675
S22x5/18-B,-303.1231332359
S22x5/18-0.9,-626.1614799051
S22x5/18-1.0,-626.1621705072
S22x5/18-1.2,-626.1550115639
S22x5/18-1.5,-626.1436017706
S22x5/18-2.0,-626.1347218872
S22x5/19-A,-306.941956492
S22x5/19-B,-306.941797193
S22x5/19-0.9,-613.8973932456
S22x5/19-1.0,-613.8970868239
S22x5/19-1.2,-613.8937979713
S22x5/19-1.5,-613.8889665774
S22x5/19-2.0,-613.8856330683
S22x5/20-A,-414.2649686993
S22x5/20-B,-414.2649686994
S22x5/20-0.9,-828.5419220365
S22x5/20-1.0,-828.5452485401
S22x5/20-1.2,-828.5380798857
S22x5/20-1.5,-828.5325860496
S22x5/20-2.0,-828.5307897831
S22x5/21-A,-414.2645835418
S22x5/21-B,-414.2645835418
S22x5/21-0.9,-828.5669415332
S22x5/21-1.0,-828.5679390123
S22x5/21-1.2,-828.5596567188
S22x5/21-1.5,-828.5465687964
S22x5/21-2.0,-828.5360832987
S22x5/22-A,-231.7764590719
S22x5/22-B,-93.2726981849
S22x5/22-0.9,-325.0572662922
S22x5/22-1.0,-325.0573819258
S22x5/22-1.2,-325.0551730568
S22x5/22-1.5,-325.0521712107
S22x5/22-2.0,-325.0503040311
S66x8/01-A,-76.3342663185
S66x8/01-B,-76.3343145056
S66x8/01-090,-152.6810739012
S66x8/01-095,-152.6808855075
S66x8/01-100,-152.6802896986
S66x8/01-105,-152.6794698785
S66x8/01-110,-152.6785508397
S66x8/01-125,-152.6758524651
S66x8/01-150,-152.6726954518
S66x8/01-200,-152.6701802539
S66x8/02-A,-76.3342764461
S66x8/02-B,-115.5368490252
S66x8/02-090,-191.8846675471
S66x8/02-095,-191.8845282224
S66x8/02-100,-191.8839223271
S66x8/02-105,-191.8830554605
S66x8/02-110,-191.8820643736
S66x8/02-125,-191.8790901572
S66x8/02-150,-191.8755484341
S66x8/02-200,-191.8727377783
S66x8/03-A,-76.3342881944
S66x8/03-B,-95.6581441536
S66x8/03-090,-172.0083881613
S66x8/03-095,-172.0083332724
S66x8/03-100,-172.0077406157
S66x8/03-105,-172.0068316684
S66x8/03-110,-172.005758577
S66x8/03-125,-172.0023951775
S66x8/03-150,-171.9981257399
S66x8/03-200,-171.9944511617
S66x8/04-A,-76.3342885107
S66x8/04-B,-248.1109789059
S66x8/04-090,-324.4635130931
S66x8/04-095,-324.4634160691
S66x8/04-100,-324.4627574721
S66x8/04-105,-324.461769928
S66x8/04-110,-324.4606056628
S66x8/04-125,-324.4569400465
S66x8/04-150,-324.452200897
S66x8/04-200,-324.4476255485
S66x8/05-A,-115.5368506789
S66x8/05-B,-115.5368840334
S66x8/05-090,-231.0871239133
S66x8/05-095,-231.0870939194
S66x8/05-100,-231.0865636274
S66x8/05-105,-231.0857480625
S66x8/05-110,-231.0847896371
S66x8/05-125,-231.0818395452
S66x8/05-150,-231.0782349522
S66x8/05-200,-231.075313527
S66x8/06-A,-115.5367508224
S66x8/06-B,-95.6581887961
S66x8/06-090,-211.2115027858
S66x8/06-095,-211.2116218492
S66x8/06-100,-211.2111072386
S66x8/06-105,-211.2102120046
S66x8/06-110,-211.2091139089
S66x8/06-125,-211.2055830383
S66x8/06-150,-211.201003061
S66x8/06-200,-211.1970275804
S66x8/07-A,-115.5368422192
S66x8/07-B,-248.110717793
S66x8/07-090,-363.6655627435
S66x8/07-095,-363.6656324917
S66x8/07-100,-363.6650880281
S66x8/07-105,-363.6641744492
S66x8/07-110,-363.663049019
S66x8/07-125,-363.6593879902
S66x8/07-150,-363.6539552578
S66x8/07-200,-363.649210674
S66x8/08-A,-115.5368346347
S66x8/08-B,-76.3343207581
S66x8/08-090,-191.8834647445
S66x8/08-095,-191.8833679636
S66x8/08-100,-191.8828337734
S66x8/08-105,-191.8820542205
S66x8/08-110,-191.881158264
S66x8/08-125,-191.8784689659
S66x8/08-150,-191.8752580964
S66x8/08-200,-191.8726763108
S66x8/09-A,-95.6581135557
S66x8/09-B,-115.5368507924
S66x8/09-090,-211.2026177991
S66x8/09-095,-211.2023728966
S66x8/09-100,-211.2018499954
S66x8/09-105,-211.2012000784
S66x8/09-110,-211.2005144661
S66x8/09-125,-211.1986633314
S66x8/09-150,-211.1968139673
S66x8/09-200,-211.1956360343
S66x8/10-A,-95.6582290273
S66x8/10-B,-95.6581542449
S66x8/10-090,-191.3262586186
S66x8/10-095,-191.3261969171
S66x8/10-100,-191.3256794453
S66x8/10-105,-191.3249163963
S66x8/10-110,-191.3240524427
S66x8/10-125,-191.3215579706
S66x8/10-150,-191.3184198893
S66x8/10-200,-191.316905569
S66x8/11-A,-95.6581255292
S66x8/11-B,-248.110868524
S66x8/11-090,-343.7807393096
S66x8/11-095,-343.7807295275
S66x8/11-100,-343.7802325677
S66x8/11-105,-343.7794545284
S66x8/11-110,-343.7785379865
S66x8/11-125,-343.7744620364
S66x8/11-150,-343.7710322748
S66x8/11-200,-343.7696423846
S66x8/12-A,-95.6581518329
S66x8/12-B,-76.3344048907
S66x8/12-090,-172.0091568266
S66x8/12-095,-172.0091682214
S66x8/12-100,-172.0085748631
S66x8/12-105,-172.0076248953
S66x8/12-110,-172.0064909289
S66x8/12-125,-172.0029147035
S66x8/12-150,-171.9983583067
S66x8/12-200,-171.994500128
S66x8/13-A,-248.1108713386
S66x8/13-B,-115.5368800846
S66x8/13-090,-363.6607543394
S66x8/13-095,-363.6608223881
S66x8/13-100,-363.6603849247
S66x8/13-105,-363.6596496284
S66x8/13-110,-363.6587612623
S66x8/13-125,-363.6559744475
S66x8/13-150,-363.6525244574
S66x8/13-200,-363.6496837407
S66x8/14-A,-248.1107552992
S66x8/14-B,-95.6581808878
S66x8/14-090,-343.783748129
S66x8/14-095,-343.7840180726
S66x8/14-100,-343.7836802064
S66x8/14-105,-343.7829672177
S66x8/14-110,-343.7820398673
S66x8/14-125,-343.7789215991
S66x8/14-150,-343.7748023328
S66x8/14-200,-343.7711689455
S66x8/15-A,-248.1109615871
S66x8/15-B,-248.1109374145
S66x8/15-090,-496.238350215
S66x8/15-095,-496.2385723806
S66x8/15-100,-496.2381886902
S66x8/15-105,-496.2374223429
S66x8/15-110,-496.2364411138
S66x8/15-125,-496.2331929716
S66x8/15-150,-496.2288263087
S66x8/15-200,-496.2244475798
S66x8/16-A,-248.111059641
S66x8/16-B,-76.3343186334
S66x8/16-090,-324.4568803186
S66x8/16-095,-324.4568651143
S66x8/16-100,-324.4564238845
S66x8/16-105,-324.4557398771
S66x8/16-110,-324.4549421219
S66x8/16-125,-324.4525128728
S66x8/16-150,-324.4495911792
S66x8/16-200,-324.4471978534
S66x8/17-A,-414.2647410769
S66x8/17-B,-414.2648370487
S66x8/17-090,-828.5627711137
S66x8/17-095,-828.5636741153
S66x8/17-100,-828.5631727865
S66x8/17-105,-828.5617919537
S66x8/17-110,-828.5598959079
S66x8/17-125,-828.5531819496
S66x8/17-150,-828.5436990188
S66x8/17-200,-828.5347318792
S66x8/18-A,-76.3342831351
S66x8/18-B,-247.8260817033
S66x8/18-090,-324.1760154826
S66x8/18-095,-324.1759779023
S66x8/18-100,-324.1753989975
S66x8/18-105,-324.1744999779
S66x8/18-110,-324.1734331039
S66x8/18-125,-324.1701032008
S66x8/18-150,-324.1659169253
S66x8/18-200,-324.1623721276
S66x8/19-A,-115.5367440634
S66x8/19-B,-247.8260788205
S66x8/19-090,-363.3786060452
S66x8/19-095,-363.3787863179
S66x8/19-100,-363.3783467531
S66x8/19-105,-363.3775310732
S66x8/19-110,-363.3763820461
S66x8/19-125,-363.3731387234
S66x8/19-150,-363.3685783728
S66x8/19-200,-363.3647056736
S66x8/20-A,-228.7779084463
S66x8/20-B,-228.7779173619
S66x8/20-090,-457.5952224559
S66x8/20-095,-457.5962285771
S66x8/20-100,-457.5956259396
S66x8/20-105,-457.5939852566
S66x8/20-110,-457.591747656
S66x8/20-125,-457.5837564094
S66x8/20-150,-457.5725910597
S66x8/20-200,-457.5617941071
S66x8/21-A,-208.8948134235
S66x8/21-B,-208.8948166195
S66x8/21-090,-417.8218930409
