system,cam-B3LYP(w=350)/def2-QZVP/Q-Chem
S22x5/01-A,-467.3051186595
S22x5/01-B,-454.1470920782
S22x5/01-0.9,-921.4730195618
S22x5/01-1.0,-921.4753861447
S22x5/01-1.2,-921.4710302983
S22x5/01-1.5,-921.4623985604
S22x5/01-2.0,-921.4555702249
S22x5/02-A,-467.3043145945
S22x5/02-B,-454.1481436015
S22x5/02-0.9,-921.4426194502
S22x5/02-1.0,-921.4558646043
S22x5/02-1.2,-921.4575639136
S22x5/02-1.5,-921.4547566966
S22x5/02-2.0,-921.4533891236
S22x5/03-A,-56.5624379782
S22x5/03-B,-56.5624379782
S22x5/03-0.9,-113.1282725925
S22x5/03-1.0,-113.1294513457
S22x5/03-1.2,-113.1283342385
S22x5/03-1.5,-113.1264851894
S22x5/03-2.0,-113.1254311445
S22x5/04-A,-76.4445898972
S22x5/04-B,-76.4446291294
S22x5/04-0.9,-152.897092854
S22x5/04-1.0,-152.8978954701
S22x5/04-1.2,-152.8960648096
S22x5/04-1.5,-152.8930172435
S22x5/04-2.0,-152.8907751982
S22x5/05-A,-40.5083809523
S22x5/05-B,-40.5083809523
S22x5/05-0.9,-81.0159148249
S22x5/05-1.0,-81.0166510647
S22x5/05-1.2,-81.0167248918
S22x5/05-1.5,-81.0167401724
S22x5/05-2.0,-81.0167604118
S22x5/06-A,-78.573678664
S22x5/06-B,-78.573678664
S22x5/06-0.9,-157.1455828782
S22x5/06-1.0,-157.1477442237
S22x5/06-1.2,-157.1476748533
S22x5/06-1.5,-157.1473747103
S22x5/06-2.0,-157.1473596775
S22x5/07-A,-78.5736405867
S22x5/07-B,-77.3179460336
S22x5/07-0.9,-155.8924317861
S22x5/07-1.0,-155.8931409339
S22x5/07-1.2,-155.8928038159
S22x5/07-1.5,-155.8921381689
S22x5/07-2.0,-155.8917663588
S22x5/08-A,-189.7882740166
S22x5/08-B,-189.7882740166
S22x5/08-0.9,-379.6048615029
S22x5/08-1.0,-379.6076660812
S22x5/08-1.2,-379.6021362906
S22x5/08-1.5,-379.5912899055
S22x5/08-2.0,-379.5822320751
S22x5/09-A,-169.9092188682
S22x5/09-B,-169.9092188682
S22x5/09-0.9,-339.8409509212
S22x5/09-1.0,-339.8435420687
S22x5/09-1.2,-339.8394064549
S22x5/09-1.5,-339.8310227977
S22x5/09-2.0,-339.8239470561
S22x5/10-A,-232.2054543069
S22x5/10-B,-76.4444695948
S22x5/10-0.9,-308.6525688675
S22x5/10-1.0,-308.653572927
S22x5/10-1.2,-308.6529357121
S22x5/10-1.5,-308.6515623056
S22x5/10-2.0,-308.6505758638
S22x5/11-A,-232.2055008629
S22x5/11-B,-56.5623103592
S22x5/11-0.9,-288.7680981164
S22x5/11-1.0,-288.7693518923
S22x5/11-1.2,-288.769236175
S22x5/11-1.5,-288.7685505142
S22x5/11-2.0,-288.7680962611
S22x5/12-A,-232.2054864601
S22x5/12-B,-40.5084004288
S22x5/12-0.9,-272.7122721062
S22x5/12-1.0,-272.7137626769
S22x5/12-1.2,-272.7142400899
S22x5/12-1.5,-272.7140006199
S22x5/12-2.0,-272.713909952
S22x5/13-A,-232.2054672837
S22x5/13-B,-232.205456082
S22x5/13-0.9,-464.4087954254
S22x5/13-1.0,-464.4109107245
S22x5/13-1.2,-464.4118310733
S22x5/13-1.5,-464.4114104291
S22x5/13-2.0,-464.4111013529
S22x5/14-A,-232.2054966729
S22x5/14-B,-232.2054966729
S22x5/14-0.9,-464.3987368935
S22x5/14-1.0,-464.4073824899
S22x5/14-1.2,-464.4102120467
S22x5/14-1.5,-464.4105526602
S22x5/14-2.0,-464.4107613059
S22x5/15-A,-232.2053430518
S22x5/15-B,-363.7661504971
S22x5/15-0.9,-595.9718660456
S22x5/15-1.0,-595.9746833939
S22x5/15-1.2,-595.9754748246
S22x5/15-1.5,-595.9740794874
S22x5/15-2.0,-595.9726368852
S22x5/16-A,-232.2054109159
S22x5/16-B,-363.7661897247
S22x5/16-0.9,-595.9576155675
S22x5/16-1.0,-595.9672977161
S22x5/16-1.2,-595.9709058338
S22x5/16-1.5,-595.9710252105
S22x5/16-2.0,-595.9713486534
S22x5/17-A,-264.2899599986
S22x5/17-B,-264.2899781967
S22x5/17-0.9,-528.570053896
S22x5/17-1.0,-528.5786101472
S22x5/17-1.2,-528.5808408949
S22x5/17-1.5,-528.5802762466
S22x5/17-2.0,-528.5800564376
S22x5/18-A,-323.5046158195
S22x5/18-B,-303.6234121961
S22x5/18-0.9,-627.1497415469
S22x5/18-1.0,-627.1523679876
S22x5/18-1.2,-627.1483058037
S22x5/18-1.5,-627.139740287
S22x5/18-2.0,-627.1326188703
