system,wB97M(w=15)/def2-QZVP/Q-Chem
S22x5/01-A,-467.8312692
S22x5/01-B,-454.61736173
S22x5/01-0.9,-922.45943811
S22x5/01-1.0,-922.46403348
S22x5/01-1.2,-922.46317342
S22x5/01-1.5,-922.45749141
S22x5/01-2.0,-922.45198641
S22x5/02-A,-467.83145112
S22x5/02-B,-454.61866111
S22x5/02-0.9,-922.42141989
S22x5/02-1.0,-922.44249667
S22x5/02-1.2,-922.45269719
S22x5/02-1.5,-922.45275152
S22x5/02-2.0,-922.45105278
S22x5/03-A,-56.61818241
S22x5/03-B,-56.61818241
S22x5/03-0.9,-113.23647001
S22x5/03-1.0,-113.23885535
S22x5/03-1.2,-113.23914588
S22x5/03-1.5,-113.23797847
S22x5/03-2.0,-113.2369069
S22x5/04-A,-76.50172118
S22x5/04-B,-76.5017498
S22x5/04-0.9,-153.00699636
S22x5/04-1.0,-153.00902539
S22x5/04-1.2,-153.00887089
S22x5/04-1.5,-153.0069559
S22x5/04-2.0,-153.00501755
S22x5/05-A,-40.56033143
S22x5/05-B,-40.56033143
S22x5/05-0.9,-81.1184015
S22x5/05-1.0,-81.12010316
S22x5/05-1.2,-81.12078666
S22x5/05-1.5,-81.12069551
S22x5/05-2.0,-81.12066468
S22x5/06-A,-78.68049758
S22x5/06-B,-78.68049758
S22x5/06-0.9,-157.35516649
S22x5/06-1.0,-157.35940427
S22x5/06-1.2,-157.36124617
S22x5/06-1.5,-157.36113831
S22x5/06-2.0,-157.36100108
S22x5/07-A,-78.68049447
S22x5/07-B,-77.42779722
S22x5/07-0.9,-156.107865
S22x5/07-1.0,-156.10915479
S22x5/07-1.2,-156.10945298
S22x5/07-1.5,-156.10895512
S22x5/07-2.0,-156.10848949
S22x5/08-A,-189.95403946
S22x5/08-B,-189.95403946
S22x5/08-0.9,-379.92397543
S22x5/08-1.0,-379.92924475
S22x5/08-1.2,-379.92773916
S22x5/08-1.5,-379.92056409
S22x5/08-2.0,-379.91352093
S22x5/09-A,-170.07288203
S22x5/09-B,-170.07288203
S22x5/09-0.9,-340.15842304
S22x5/09-1.0,-340.16313256
S22x5/09-1.2,-340.1624498
S22x5/09-1.5,-340.1569213
S22x5/09-2.0,-340.15114427
S22x5/10-A,-232.51799558
S22x5/10-B,-76.50169333
S22x5/10-0.9,-309.01885155
S22x5/10-1.0,-309.02102018
S22x5/10-1.2,-309.02199523
S22x5/10-1.5,-309.02137187
S22x5/10-2.0,-309.02036103
S22x5/11-A,-232.51798958
S22x5/11-B,-56.61817831
S22x5/11-0.9,-289.13344455
S22x5/11-1.0,-289.1357681
S22x5/11-1.2,-289.1371109
S22x5/11-1.5,-289.13701307
S22x5/11-2.0,-289.13647855
S22x5/12-A,-232.51799115
S22x5/12-B,-40.5603303
S22x5/12-0.9,-273.07394522
S22x5/12-1.0,-273.0764619
S22x5/12-1.2,-273.07820294
S22x5/12-1.5,-273.07853553
S22x5/12-2.0,-273.0783906
S22x5/13-A,-232.51799008
S22x5/13-B,-232.51799989
S22x5/13-0.9,-465.02979553
S22x5/13-1.0,-465.03341601
S22x5/13-1.2,-465.03603984
S22x5/13-1.5,-465.03656051
S22x5/13-2.0,-465.03623669
S22x5/14-A,-232.51797199
S22x5/14-B,-232.51797199
S22x5/14-0.9,-465.01691854
S22x5/14-1.0,-465.02847185
S22x5/14-1.2,-465.03479188
S22x5/14-1.5,-465.03590567
S22x5/14-2.0,-465.03590739
S22x5/15-A,-232.51800686
S22x5/15-B,-364.2314395
S22x5/15-0.9,-596.74411099
S22x5/15-1.0,-596.74869211
S22x5/15-1.2,-596.75179996
S22x5/15-1.5,-596.75187656
S22x5/15-2.0,-596.75062135
S22x5/16-A,-232.51797481
S22x5/16-B,-364.23141261
S22x5/16-0.9,-596.72533436
S22x5/16-1.0,-596.73936196
S22x5/16-1.2,-596.74748621
S22x5/16-1.5,-596.74916302
S22x5/16-2.0,-596.74916894
S22x5/17-A,-264.61222208
S22x5/17-B,-264.612232
S22x5/17-0.9,-529.2058871
S22x5/17-1.0,-529.21826569
S22x5/17-1.2,-529.22444333
S22x5/17-1.5,-529.22497498
S22x5/17-2.0,-529.22455518
S22x5/18-A,-323.87359494
S22x5/18-B,-303.98977308
S22x5/18-0.9,-627.87582496
S22x5/18-1.0,-627.88040315
S22x5/18-1.2,-627.87955736
S22x5/18-1.5,-627.87375957
S22x5/18-2.0,-627.86794921
S22x5/19-A,-307.8114018
S22x5/19-B,-307.81151238
S22x5/19-0.9,-615.62112101
S22x5/19-1.0,-615.62457966
S22x5/19-1.2,-615.62634886
S22x5/19-1.5,-615.62578789
S22x5/19-2.0,-615.62441635
S22x5/20-A,-415.25973315
S22x5/20-B,-415.25973314
S22x5/20-0.9,-830.50164666
S22x5/20-1.0,-830.517317
S22x5/20-1.2,-830.52325773
S22x5/20-1.5,-830.52201773
S22x5/20-2.0,-830.52034785
S22x5/21-A,-415.25879345
S22x5/21-B,-415.25879345
S22x5/21-0.9,-830.53580786
S22x5/21-1.0,-830.54060034
S22x5/21-1.2,-830.53887618
S22x5/21-1.5,-830.53160074
S22x5/21-2.0,-830.52420723
S22x5/22-A,-232.51801438
S22x5/22-B,-93.53579811
S22x5/22-0.9,-326.05291273
S22x5/22-1.0,-326.05565419
S22x5/22-1.2,-326.0569772
S22x5/22-1.5,-326.05627118
S22x5/22-2.0,-326.05495126
S66x8/01-A,-76.50175101
S66x8/01-B,-76.50174852
S66x8/01-090,-153.00782059
S66x8/01-095,-153.0087733
S66x8/01-100,-153.00919463
S66x8/01-105,-153.00928317
S66x8/01-110,-153.0091594
S66x8/01-125,-153.00827424
S66x8/01-150,-153.00669668
S66x8/01-200,-153.00487392
S66x8/02-A,-76.50175115
S66x8/02-B,-115.83870086
S66x8/02-090,-192.34421278
S66x8/02-095,-192.34540289
S66x8/02-100,-192.34598762
S66x8/02-105,-192.34618471
S66x8/02-110,-192.34613429
