system,LC-wPBEh(w=400)/def2-QZVP/Q-Chem
S22x5/01-A,-467.1432752505
S22x5/01-B,-453.9870870853
S22x5/01-0.9,-921.1502558855
S22x5/01-1.0,-921.1523000549
S22x5/01-1.2,-921.1481152314
S22x5/01-1.5,-921.1401369086
S22x5/01-2.0,-921.1337408478
S22x5/02-A,-467.1424167081
S22x5/02-B,-453.9883048423
S22x5/02-0.9,-921.125385593
S22x5/02-1.0,-921.1353503289
S22x5/02-1.2,-921.1358246512
S22x5/02-1.5,-921.1331992111
S22x5/02-2.0,-921.1316755248
S22x5/03-A,-56.5500685668
S22x5/03-B,-56.5500685668
S22x5/03-0.9,-113.1027700517
S22x5/03-1.0,-113.1040894393
S22x5/03-1.2,-113.103320388
S22x5/03-1.5,-113.1017123629
S22x5/03-2.0,-113.1006832588
S22x5/04-A,-76.4154239779
S22x5/04-B,-76.415489423
S22x5/04-0.9,-152.8375904891
S22x5/04-1.0,-152.8385221119
S22x5/04-1.2,-152.837131655
S22x5/04-1.5,-152.8345419957
S22x5/04-2.0,-152.8324840889
S22x5/05-A,-40.5107689636
S22x5/05-B,-40.5107689636
S22x5/05-0.9,-81.0204729834
S22x5/05-1.0,-81.0213281652
S22x5/05-1.2,-81.0215114023
S22x5/05-1.5,-81.0215332206
S22x5/05-2.0,-81.0215369674
S22x5/06-A,-78.5581510405
S22x5/06-B,-78.5581510405
S22x5/06-0.9,-157.1146609417
S22x5/06-1.0,-157.1166154318
S22x5/06-1.2,-157.1166241775
S22x5/06-1.5,-157.1163751793
S22x5/06-2.0,-157.1163076666
S22x5/07-A,-78.5581257867
S22x5/07-B,-77.2890998576
S22x5/07-0.9,-155.8480696057
S22x5/07-1.0,-155.8487427939
S22x5/07-1.2,-155.8484635871
S22x5/07-1.5,-155.8478211195
S22x5/07-2.0,-155.8474227351
S22x5/08-A,-189.7058818329
S22x5/08-B,-189.7058818329
S22x5/08-0.9,-379.4395934278
S22x5/08-1.0,-379.4417624864
S22x5/08-1.2,-379.4360895825
S22x5/08-1.5,-379.4259263684
S22x5/08-2.0,-379.4174345026
S22x5/09-A,-169.8440900607
S22x5/09-B,-169.8440900607
S22x5/09-0.9,-339.7095071779
S22x5/09-1.0,-339.7118405079
S22x5/09-1.2,-339.7080406015
S22x5/09-1.5,-339.7003934164
S22x5/09-2.0,-339.6937327385
S22x5/10-A,-232.1462243357
S22x5/10-B,-76.4153182449
S22x5/10-0.9,-308.5648310749
S22x5/10-1.0,-308.5654882231
S22x5/10-1.2,-308.5647486955
S22x5/10-1.5,-308.5633851346
S22x5/10-2.0,-308.5623178987
S22x5/11-A,-232.1462910859
S22x5/11-B,-56.5499644404
S22x5/11-0.9,-288.6971092784
S22x5/11-1.0,-288.6980498319
S22x5/11-1.2,-288.6978571728
S22x5/11-1.5,-288.6971225267
S22x5/11-2.0,-288.6965909622
S22x5/12-A,-232.1463465637
S22x5/12-B,-40.5108207859
S22x5/12-0.9,-272.6560869444
S22x5/12-1.0,-272.6572459626
S22x5/12-1.2,-272.6575538708
S22x5/12-1.5,-272.657361214
S22x5/12-2.0,-272.6572165836
S22x5/13-A,-232.1463166886
S22x5/13-B,-232.1462950627
S22x5/13-0.9,-464.2914810875
S22x5/13-1.0,-464.2931683536
S22x5/13-1.2,-464.2937234646
S22x5/13-1.5,-464.2932337994
S22x5/13-2.0,-464.2928560494
S22x5/14-A,-232.1462978294
S22x5/14-B,-232.1462978294
S22x5/14-0.9,-464.2832462911
S22x5/14-1.0,-464.2899806813
S22x5/14-1.2,-464.2919266306
S22x5/14-1.5,-464.2922596421
S22x5/14-2.0,-464.2924537558
S22x5/15-A,-232.1461064966
S22x5/15-B,-363.6672588006
S22x5/15-0.9,-595.8153609162
S22x5/15-1.0,-595.8175169641
S22x5/15-1.2,-595.8178055685
S22x5/15-1.5,-595.8162281579
S22x5/15-2.0,-595.8147011708
S22x5/16-A,-232.1462294467
S22x5/16-B,-363.6673192452
S22x5/16-0.9,-595.8034133739
S22x5/16-1.0,-595.8107217866
S22x5/16-1.2,-595.8129462542
S22x5/16-1.5,-595.8129939869
S22x5/16-2.0,-595.8132685748
S22x5/17-A,-264.1979819583
S22x5/17-B,-264.1979486895
S22x5/17-0.9,-528.3885600048
S22x5/17-1.0,-528.3953020089
S22x5/17-1.2,-528.3968378587
S22x5/17-1.5,-528.396331883
S22x5/17-2.0,-528.3960633106
S22x5/18-A,-323.394038725
S22x5/18-B,-303.53119605
S22x5/18-0.9,-626.9460135356
S22x5/18-1.0,-626.9483083039
S22x5/18-1.2,-626.9443784269
S22x5/18-1.5,-626.9364614734
S22x5/18-2.0,-626.929816051
S22x5/19-A,-307.3520273262
S22x5/19-B,-307.3518326148
S22x5/19-0.9,-614.7093104338
S22x5/19-1.0,-614.7105318241
S22x5/19-1.2,-614.710037794
S22x5/19-1.5,-614.7076943596
S22x5/19-2.0,-614.7056464584
S22x5/20-A,-414.6785471192
S22x5/20-B,-414.6785471192
S22x5/20-0.9,-829.3552085914
S22x5/20-1.0,-829.3630385562
S22x5/20-1.2,-829.3622524143
S22x5/20-1.5,-829.3595140149
S22x5/20-2.0,-829.3579786031
S22x5/21-A,-414.6777407534
S22x5/21-B,-414.6777407534
S22x5/21-0.9,-829.3826229634
S22x5/21-1.0,-829.3850848326
S22x5/21-1.2,-829.3800963742
S22x5/21-1.5,-829.3706172104
S22x5/21-2.0,-829.3622882368
S22x5/22-A,-232.1461913054
S22x5/22-B,-93.3757946172
S22x5/22-0.9,-325.5268687208
S22x5/22-1.0,-325.5277497702
S22x5/22-1.2,-325.526841045
S22x5/22-1.5,-325.5249146311
S22x5/22-2.0,-325.5232931404
S66x8/01-A,-76.415493527
S66x8/01-B,-76.4154415159
S66x8/01-090,-152.8379643786
S66x8/01-095,-152.8383670837
S66x8/01-100,-152.8383426841
S66x8/01-105,-152.8380623003
S66x8/01-110,-152.8376405556
S66x8/01-125,-152.8361634239
S66x8/01-150,-152.8341608472
S66x8/01-200,-152.8322504843
S66x8/02-A,-76.415504428
S66x8/02-B,-115.698666046
S66x8/02-090,-192.1214468932
S66x8/02-095,-192.1219515051
S66x8/02-100,-192.121971725
S66x8/02-105,-192.121702177
S66x8/02-110,-192.1212683394
S66x8/02-125,-192.1196930115
S66x8/02-150,-192.1175235157
S66x8/02-200,-192.1154844773
S66x8/03-A,-76.4155250021
S66x8/03-B,-95.8391728076
S66x8/03-090,-172.2644555834
S66x8/03-095,-172.2649126415
S66x8/03-100,-172.2648246536
S66x8/03-105,-172.2644074217
S66x8/03-110,-172.263807894
S66x8/03-125,-172.2616941228
S66x8/03-150,-172.2588203722
S66x8/03-200,-172.2561296515
