system,LC-wPBEh(w=50)/def2-QZVP/Q-Chem
S22x5/01-A,-467.0051272365
S22x5/01-B,-453.8423004865
S22x5/01-0.9,-920.8689039227
S22x5/01-1.0,-920.8707542389
S22x5/01-1.2,-920.8661433425
S22x5/01-1.5,-920.8577199138
S22x5/01-2.0,-920.8509610523
S22x5/02-A,-467.0046625539
S22x5/02-B,-453.8432643108
S22x5/02-0.9,-920.83939699
S22x5/02-1.0,-920.8511791511
S22x5/02-1.2,-920.8532928415
S22x5/02-1.5,-920.8506266231
S22x5/02-2.0,-920.8488736747
S22x5/03-A,-56.519677155
S22x5/03-B,-56.519677155
S22x5/03-0.9,-113.0428302005
S22x5/03-1.0,-113.0439058591
S22x5/03-1.2,-113.0429032661
S22x5/03-1.5,-113.0410760238
S22x5/03-2.0,-113.0399243966
S22x5/04-A,-76.3866804303
S22x5/04-B,-76.3866980236
S22x5/04-0.9,-152.7808127147
S22x5/04-1.0,-152.7816542045
S22x5/04-1.2,-152.7800318161
S22x5/04-1.5,-152.7771792793
S22x5/04-2.0,-152.7749409092
S22x5/05-A,-40.4765658273
S22x5/05-B,-40.4765658273
S22x5/05-0.9,-80.9523108581
S22x5/05-1.0,-80.9531820345
S22x5/05-1.2,-80.9532550544
S22x5/05-1.5,-80.9531437365
S22x5/05-2.0,-80.9531309632
S22x5/06-A,-78.5166951583
S22x5/06-B,-78.5166951583
S22x5/06-0.9,-157.0318275269
S22x5/06-1.0,-157.0339616906
S22x5/06-1.2,-157.0339684961
S22x5/06-1.5,-157.033505961
S22x5/06-2.0,-157.0333950887
S22x5/07-A,-78.5166600072
S22x5/07-B,-77.2611749887
S22x5/07-0.9,-155.7791538158
S22x5/07-1.0,-155.7797180229
S22x5/07-1.2,-155.779274814
S22x5/07-1.5,-155.7784938039
S22x5/07-2.0,-155.7780265798
S22x5/08-A,-189.6520025783
S22x5/08-B,-189.6520025783
S22x5/08-0.9,-379.3318146706
S22x5/08-1.0,-379.3342870218
S22x5/08-1.2,-379.3287651218
S22x5/08-1.5,-379.3184207041
S22x5/08-2.0,-379.3097301684
S22x5/09-A,-169.7886162083
S22x5/09-B,-169.7886162083
S22x5/09-0.9,-339.5995596269
S22x5/09-1.0,-339.6017876255
S22x5/09-1.2,-339.5976481658
S22x5/09-1.5,-339.5896854332
S22x5/09-2.0,-339.5827773108
S22x5/10-A,-232.0567577465
S22x5/10-B,-76.3866171807
S22x5/10-0.9,-308.4464511651
S22x5/10-1.0,-308.4473150562
S22x5/10-1.2,-308.4466854942
S22x5/10-1.5,-308.4452501065
S22x5/10-2.0,-308.4441007409
S22x5/11-A,-232.0568000168
S22x5/11-B,-56.5196225751
S22x5/11-0.9,-288.5771149415
S22x5/11-1.0,-288.5782830845
S22x5/11-1.2,-288.5781304157
S22x5/11-1.5,-288.5773629569
S22x5/11-2.0,-288.576747926
S22x5/12-A,-232.0568022635
S22x5/12-B,-40.476529128
S22x5/12-0.9,-272.5320988396
S22x5/12-1.0,-272.5334895777
S22x5/12-1.2,-272.5339366851
S22x5/12-1.5,-272.5336448281
S22x5/12-2.0,-272.5333867176
S22x5/13-A,-232.0568048711
S22x5/13-B,-232.056798441
S22x5/13-0.9,-464.1121718972
S22x5/13-1.0,-464.1139993242
S22x5/13-1.2,-464.1148446381
S22x5/13-1.5,-464.1143344988
S22x5/13-2.0,-464.1138463544
S22x5/14-A,-232.0567732329
S22x5/14-B,-232.0567732331
S22x5/14-0.9,-464.1030411623
S22x5/14-1.0,-464.1108381998
S22x5/14-1.2,-464.1132207441
S22x5/14-1.5,-464.1133145409
S22x5/14-2.0,-464.1133197504
S22x5/15-A,-232.0566708236
S22x5/15-B,-363.5395385199
S22x5/15-0.9,-595.5977373732
S22x5/15-1.0,-595.6001280487
S22x5/15-1.2,-595.6007956128
S22x5/15-1.5,-595.5993088254
S22x5/15-2.0,-595.5975714369
S22x5/16-A,-232.0567073648
S22x5/16-B,-363.5395694615
S22x5/16-0.9,-595.5848019132
S22x5/16-1.0,-595.5929492708
S22x5/16-1.2,-595.5961772126
S22x5/16-1.5,-595.5961514787
S22x5/16-2.0,-595.5961245061
S22x5/17-A,-264.1174842264
S22x5/17-B,-264.1175122212
S22x5/17-0.9,-528.226514666
S22x5/17-1.0,-528.2340566439
S22x5/17-1.2,-528.2362502182
S22x5/17-1.5,-528.2355776172
S22x5/17-2.0,-528.2351520872
S22x5/18-A,-323.291875853
S22x5/18-B,-303.4259551425
S22x5/18-0.9,-626.7405603626
