system,LC-wPBEh(w=450)/def2-QZVP/Q-Chem
S22x5/01-A,-467.1527370496
S22x5/01-B,-453.9998213564
S22x5/01-0.9,-921.1727244603
S22x5/01-1.0,-921.1747279873
S22x5/01-1.2,-921.1704575548
S22x5/01-1.5,-921.1623850292
S22x5/01-2.0,-921.1559451063
S22x5/02-A,-467.1518179169
S22x5/02-B,-454.0011116389
S22x5/02-0.9,-921.148391757
S22x5/02-1.0,-921.1580260747
S22x5/02-1.2,-921.1581142819
S22x5/02-1.5,-921.1554196879
S22x5/02-2.0,-921.1538915826
S22x5/03-A,-56.5532774827
S22x5/03-B,-56.5532774827
S22x5/03-0.9,-113.1092440673
S22x5/03-1.0,-113.1105541263
S22x5/03-1.2,-113.1097492644
S22x5/03-1.5,-113.1081283147
S22x5/03-2.0,-113.1070998526
S22x5/04-A,-76.41919035
S22x5/04-B,-76.4192683612
S22x5/04-0.9,-152.8452212494
S22x5/04-1.0,-152.8461360822
S22x5/04-1.2,-152.8447156804
S22x5/04-1.5,-152.8421025517
S22x5/04-2.0,-152.8400388118
S22x5/05-A,-40.5140659227
S22x5/05-B,-40.5140659227
S22x5/05-0.9,-81.0271205923
S22x5/05-1.0,-81.0279336881
S22x5/05-1.2,-81.0281038637
S22x5/05-1.5,-81.0281270165
S22x5/05-2.0,-81.028130865
S22x5/06-A,-78.5611880016
S22x5/06-B,-78.5611880016
S22x5/06-0.9,-157.1208975929
S22x5/06-1.0,-157.1227587843
S22x5/06-1.2,-157.1227024018
S22x5/06-1.5,-157.1224497002
S22x5/06-2.0,-157.1223818722
S22x5/07-A,-78.5611629835
S22x5/07-B,-77.2899145474
S22x5/07-0.9,-155.8519963394
S22x5/07-1.0,-155.8526468798
S22x5/07-1.2,-155.8523365572
S22x5/07-1.5,-155.851680911
S22x5/07-2.0,-155.8512775019
S22x5/08-A,-189.7116167717
S22x5/08-B,-189.7116167717
S22x5/08-0.9,-379.4515371756
S22x5/08-1.0,-379.4536152337
S22x5/08-1.2,-379.4478131204
S22x5/08-1.5,-379.4375177714
S22x5/08-2.0,-379.4289434744
S22x5/09-A,-169.8494751261
S22x5/09-B,-169.8494751261
S22x5/09-0.9,-339.720576473
S22x5/09-1.0,-339.7228726255
S22x5/09-1.2,-339.7189888844
S22x5/09-1.5,-339.711241267
S22x5/09-2.0,-339.7045328504
S22x5/10-A,-232.1517379607
S22x5/10-B,-76.4190755825
S22x5/10-0.9,-308.5742482182
S22x5/10-1.0,-308.5748623782
S22x5/10-1.2,-308.5740650264
S22x5/10-1.5,-308.5726765037
S22x5/10-2.0,-308.571601344
S22x5/11-A,-232.1518113243
S22x5/11-B,-56.5531683728
S22x5/11-0.9,-288.7059646494
S22x5/11-1.0,-288.706858045
S22x5/11-1.2,-288.7066123556
S22x5/11-1.5,-288.7058568395
S22x5/11-2.0,-288.7053205529
S22x5/12-A,-232.1518726785
S22x5/12-B,-40.5141425211
S22x5/12-0.9,-272.6650616422
S22x5/12-1.0,-272.6661683504
S22x5/12-1.2,-272.6664187587
S22x5/12-1.5,-272.6662100735
S22x5/12-2.0,-272.6660655059
S22x5/13-A,-232.151836755
S22x5/13-B,-232.1518128309
S22x5/13-0.9,-464.3027085939
S22x5/13-1.0,-464.3043416194
S22x5/13-1.2,-464.3048121481
S22x5/13-1.5,-464.304285157
S22x5/13-2.0,-464.303899873
S22x5/14-A,-232.1518235758
S22x5/14-B,-232.1518235758
S22x5/14-0.9,-464.2945782111
S22x5/14-1.0,-464.3011667707
S22x5/14-1.2,-464.3029728197
S22x5/14-1.5,-464.3032994174
S22x5/14-2.0,-464.3035028205
S22x5/15-A,-232.1516078009
S22x5/15-B,-363.675273913
S22x5/15-0.9,-595.8291261754
S22x5/15-1.0,-595.8312215923
