system,cam-B3LYP(w=400)/def2-QZVP/Q-Chem
S22x5/01-A,-467.2827478111
S22x5/01-B,-454.1296110795
S22x5/01-0.9,-921.4327051563
S22x5/01-1.0,-921.4351956307
S22x5/01-1.2,-921.4310160007
S22x5/01-1.5,-921.4225050858
S22x5/01-2.0,-921.4157159594
S22x5/02-A,-467.2819019349
S22x5/02-B,-454.1307065173
S22x5/02-0.9,-921.4020091272
S22x5/02-1.0,-921.4156241097
S22x5/02-1.2,-921.4176334892
S22x5/02-1.5,-921.4149094726
S22x5/02-2.0,-921.4135441112
S22x5/03-A,-56.5625412799
S22x5/03-B,-56.5625412799
S22x5/03-0.9,-113.1282782651
S22x5/03-1.0,-113.1295412053
S22x5/03-1.2,-113.1285042492
S22x5/03-1.5,-113.1266853324
S22x5/03-2.0,-113.12563684
S22x5/04-A,-76.4444182631
S22x5/04-B,-76.4444643657
S22x5/04-0.9,-152.8965729939
S22x5/04-1.0,-152.8974309515
S22x5/04-1.2,-152.8956761644
S22x5/04-1.5,-152.8926743276
S22x5/04-2.0,-152.8904436927
S22x5/05-A,-40.5092046045
S22x5/05-B,-40.5092046045
S22x5/05-0.9,-81.0175008721
S22x5/05-1.0,-81.0182741983
S22x5/05-1.2,-81.0183694199
S22x5/05-1.5,-81.0183877941
S22x5/05-2.0,-81.0184077272
S22x5/06-A,-78.5716547577
S22x5/06-B,-78.5716547577
S22x5/06-0.9,-157.1413637199
S22x5/06-1.0,-157.1436184852
S22x5/06-1.2,-157.1436151675
S22x5/06-1.5,-157.1433270967
S22x5/06-2.0,-157.1433120276
S22x5/07-A,-78.5716165512
S22x5/07-B,-77.3142166717
S22x5/07-0.9,-155.886600386
S22x5/07-1.0,-155.8873483952
S22x5/07-1.2,-155.8870434714
S22x5/07-1.5,-155.8863859341
S22x5/07-2.0,-155.8860138781
S22x5/08-A,-189.7832323646
S22x5/08-B,-189.7832323646
S22x5/08-0.9,-379.5944450394
S22x5/08-1.0,-379.5973150326
S22x5/08-1.2,-379.5919134638
S22x5/08-1.5,-379.5811803748
S22x5/08-2.0,-379.5721618153
S22x5/09-A,-169.9045487128
S22x5/09-B,-169.9045487128
S22x5/09-0.9,-339.8312277083
S22x5/09-1.0,-339.8339307206
S22x5/09-1.2,-339.8299549856
S22x5/09-1.5,-339.82167182
S22x5/09-2.0,-339.814620279
S22x5/10-A,-232.1940080381
S22x5/10-B,-76.444291688
