system,LC-wPBEh(w=100)/def2-QZVP/Q-Chem
S22x5/01-A,-467.0197779224
S22x5/01-B,-453.8559645057
S22x5/01-0.9,-920.8969557947
S22x5/01-1.0,-920.8987987868
S22x5/01-1.2,-920.8942412366
S22x5/01-1.5,-920.8859006024
S22x5/01-2.0,-920.8792281409
S22x5/02-A,-467.0192960147
S22x5/02-B,-453.8569305636
S22x5/02-0.9,-920.8677561767
S22x5/02-1.0,-920.8793976288
S22x5/02-1.2,-920.8814519501
S22x5/02-1.5,-920.878862645
S22x5/02-2.0,-920.8771647546
S22x5/03-A,-56.5220868715
S22x5/03-B,-56.5220868715
S22x5/03-0.9,-113.0475190404
S22x5/03-1.0,-113.0486149276
S22x5/03-1.2,-113.0476437286
S22x5/03-1.5,-113.0458581771
S22x5/03-2.0,-113.0447362326
S22x5/04-A,-76.3885632204
S22x5/04-B,-76.3885808036
S22x5/04-0.9,-152.7844596112
S22x5/04-1.0,-152.7853086913
S22x5/04-1.2,-152.7837118528
S22x5/04-1.5,-152.7808975816
S22x5/04-2.0,-152.7786967902
S22x5/05-A,-40.479526589
S22x5/05-B,-40.479526589
S22x5/05-0.9,-80.9581360783
S22x5/05-1.0,-80.9590276777
S22x5/05-1.2,-80.9591338347
S22x5/05-1.5,-80.9590578548
S22x5/05-2.0,-80.9590524432
S22x5/06-A,-78.5208655008
S22x5/06-B,-78.5208655007
S22x5/06-0.9,-157.0400529114
S22x5/06-1.0,-157.0421979817
S22x5/06-1.2,-157.0422332944
S22x5/06-1.5,-157.0418313262
S22x5/06-2.0,-157.0417354671
S22x5/07-A,-78.5208337722
S22x5/07-B,-77.2645149521
S22x5/07-0.9,-155.7865438189
S22x5/07-1.0,-155.7871262186
S22x5/07-1.2,-155.7867242228
S22x5/07-1.5,-155.7859802969
S22x5/07-2.0,-155.7855387932
S22x5/08-A,-189.6563077224
S22x5/08-B,-189.6563077224
S22x5/08-0.9,-379.340274428
S22x5/08-1.0,-379.342722604
S22x5/08-1.2,-379.3372001802
S22x5/08-1.5,-379.3269075249
S22x5/08-2.0,-379.3182848788
S22x5/09-A,-169.7933778502
S22x5/09-B,-169.7933778502
S22x5/09-0.9,-339.6088831452
S22x5/09-1.0,-339.611104822
S22x5/09-1.2,-339.6070073429
S22x5/09-1.5,-339.5991083536
S22x5/09-2.0,-339.5922693131
S22x5/10-A,-232.0669402582
S22x5/10-B,-76.3884994268
S22x5/10-0.9,-308.4584744906
S22x5/10-1.0,-308.459306235
S22x5/10-1.2,-308.4586881915
S22x5/10-1.5,-308.4572893126
S22x5/10-2.0,-308.4561683786
S22x5/11-A,-232.0669798489
S22x5/11-B,-56.5220303587
S22x5/11-0.9,-288.5896403969
S22x5/11-1.0,-288.5907826964
S22x5/11-1.2,-288.5906626335
S22x5/11-1.5,-288.5899179651
S22x5/11-2.0,-288.5893294092
S22x5/12-A,-232.0669977807
S22x5/12-B,-40.4794895939
S22x5/12-0.9,-272.5451819388
S22x5/12-1.0,-272.5465538415
S22x5/12-1.2,-272.5470054405
S22x5/12-1.5,-272.5467614819
S22x5/12-2.0,-272.5465371284
S22x5/13-A,-232.0669982665
S22x5/13-B,-232.0669910989
S22x5/13-0.9,-464.1324571024
S22x5/13-1.0,-464.1342970884
S22x5/13-1.2,-464.1351385556
S22x5/13-1.5,-464.134669301
S22x5/13-2.0,-464.1342226069
S22x5/14-A,-232.0669558864
S22x5/14-B,-232.0669558865
S22x5/14-0.9,-464.1233982491
S22x5/14-1.0,-464.1310599094
S22x5/14-1.2,-464.1335049944
S22x5/14-1.5,-464.1336705606
S22x5/14-2.0,-464.1337299789
S22x5/15-A,-232.0668665591
S22x5/15-B,-363.5539735241
S22x5/15-0.9,-595.6222744036
S22x5/15-1.0,-595.6246526646
S22x5/15-1.2,-595.6252966737
S22x5/15-1.5,-595.6238359385
S22x5/15-2.0,-595.6221718401
S22x5/16-A,-232.0669057282
S22x5/16-B,-363.5539986492
S22x5/16-0.9,-595.6093458388
S22x5/16-1.0,-595.6174698792
S22x5/16-1.2,-595.6206764678
S22x5/16-1.5,-595.6206950668
S22x5/16-2.0,-595.6207278595
S22x5/17-A,-264.1266417634
S22x5/17-B,-264.1266544491
S22x5/17-0.9,-528.2447644573
S22x5/17-1.0,-528.252240807
S22x5/17-1.2,-528.254439806
S22x5/17-1.5,-528.2538296901
S22x5/17-2.0,-528.2534487238
S22x5/18-A,-323.3025363324
S22x5/18-B,-303.4371970034
S22x5/18-0.9,-626.7621938602
S22x5/18-1.0,-626.7641999299
S22x5/18-1.2,-626.759782993
S22x5/18-1.5,-626.7514057858
S22x5/18-2.0,-626.7444252586
S22x5/19-A,-307.2565061429
S22x5/19-B,-307.2562534161
S22x5/19-0.9,-614.518134041
S22x5/19-1.0,-614.5193934502
S22x5/19-1.2,-614.5190175067
S22x5/19-1.5,-614.5166927212
S22x5/19-2.0,-614.5145784876
S22x5/20-A,-414.569021181
S22x5/20-B,-414.569021181
S22x5/20-0.9,-829.134263291
S22x5/20-1.0,-829.1434087648
S22x5/20-1.2,-829.1433902457
S22x5/20-1.5,-829.1405347248
S22x5/20-2.0,-829.1388934684
S22x5/21-A,-414.5683383093
S22x5/21-B,-414.5683383093
S22x5/21-0.9,-829.1647234429
S22x5/21-1.0,-829.1670453599
S22x5/21-1.2,-829.1616091551
S22x5/21-1.5,-829.1517679736
S22x5/21-2.0,-829.1432484914
S22x5/22-A,-232.0669502305
S22x5/22-B,-93.3536906281
S22x5/22-0.9,-325.4246333613
S22x5/22-1.0,-325.4257151208
S22x5/22-1.2,-325.4251788309
S22x5/22-1.5,-325.4234196359
S22x5/22-2.0,-325.4218240071
S66x8/01-A,-76.3885723305
S66x8/01-B,-76.3885693405
S66x8/01-090,-152.7848601015
S66x8/01-095,-152.7852166377
S66x8/01-100,-152.785141483
S66x8/01-105,-152.7848086484
S66x8/01-110,-152.7843341269
S66x8/01-125,-152.782715574
S66x8/01-150,-152.7805602038
S66x8/01-200,-152.7785417075
S66x8/02-A,-76.3885774012
S66x8/02-B,-115.6504434023
S66x8/02-090,-192.0468653246
S66x8/02-095,-192.0473567374
S66x8/02-100,-192.047353978
S66x8/02-105,-192.0470542887
S66x8/02-110,-192.0465840435
S66x8/02-125,-192.0448871159
S66x8/02-150,-192.0425679387
S66x8/02-200,-192.0404134676
S66x8/03-A,-76.3885812487
S66x8/03-B,-95.789341153
S66x8/03-090,-172.1887409397
S66x8/03-095,-172.1891468295
S66x8/03-100,-172.1890045749
S66x8/03-105,-172.1885303046
S66x8/03-110,-172.1878710496
S66x8/03-125,-172.1855783164
S66x8/03-150,-172.182473233
S66x8/03-200,-172.1795770256
S66x8/04-A,-76.388581514
S66x8/04-B,-248.3604719538
S66x8/04-090,-324.7602912554
S66x8/04-095,-324.7608484166
S66x8/04-100,-324.7608263559
S66x8/04-105,-324.7604538993
S66x8/04-110,-324.7598730995
S66x8/04-125,-324.7577233506
S66x8/04-150,-324.7545915829
S66x8/04-200,-324.7511027097
S66x8/05-A,-115.6504747028
S66x8/05-B,-115.6504719752
S66x8/05-090,-231.3085770314
S66x8/05-095,-231.309183385
S66x8/05-100,-231.3092624022
S66x8/05-105,-231.3090215674
S66x8/05-110,-231.3085932359
S66x8/05-125,-231.3069552327
S66x8/05-150,-231.304637313
S66x8/05-200,-231.3024302751
S66x8/06-A,-115.6502959872
S66x8/06-B,-95.7893827679
S66x8/06-090,-211.4502630443
S66x8/06-095,-211.4509936322
S66x8/06-100,-211.4510474574
S66x8/06-105,-211.4506867878
S66x8/06-110,-211.4500993224
S66x8/06-125,-211.4478696411
S66x8/06-150,-211.4446644138
S66x8/06-200,-211.4415962473
S66x8/07-A,-115.6503928036
S66x8/07-B,-248.3601834634
S66x8/07-090,-364.0214571543
S66x8/07-095,-364.0221814877
S66x8/07-100,-364.0222803966
S66x8/07-105,-364.0219893148
S66x8/07-110,-364.0214555626
S66x8/07-125,-364.0193372481
S66x8/07-150,-364.0157739267
S66x8/07-200,-364.0121570563
S66x8/08-A,-115.6504856208
S66x8/08-B,-76.3885728352
S66x8/08-090,-192.0465153188
S66x8/08-095,-192.046977347
S66x8/08-100,-192.0469787739
S66x8/08-105,-192.0467026883
S66x8/08-110,-192.0462671616
S66x8/08-125,-192.0447039541
S66x8/08-150,-192.0425555098
S66x8/08-200,-192.0405194127
S66x8/09-A,-95.789371477
S66x8/09-B,-115.6504932511
S66x8/09-090,-211.4428216832
S66x8/09-095,-211.4433317217
S66x8/09-100,-211.443478639
S66x8/09-105,-211.4434083693
S66x8/09-110,-211.4432177807
S66x8/09-125,-211.4424316457
S66x8/09-150,-211.4413736333
S66x8/09-200,-211.4404668271
S66x8/10-A,-95.7893933184
S66x8/10-B,-95.7893559155
S66x8/10-090,-191.5825806484
S66x8/10-095,-191.5833251016
S66x8/10-100,-191.5835667554
S66x8/10-105,-191.583514838
S66x8/10-110,-191.5832795257
S66x8/10-125,-191.5822077313
S66x8/10-150,-191.5804267089
S66x8/10-200,-191.5792566285
S66x8/11-A,-95.7892565402
S66x8/11-B,-248.3603260762
S66x8/11-090,-344.1540482045
S66x8/11-095,-344.1549553681
S66x8/11-100,-344.1553163538
S66x8/11-105,-344.1553396657
S66x8/11-110,-344.1551549266
S66x8/11-125,-344.1534520505
S66x8/11-150,-344.1514180973
S66x8/11-200,-344.1502897983
S66x8/12-A,-95.789340348
S66x8/12-B,-76.3882428633
S66x8/12-090,-172.188524292
S66x8/12-095,-172.1891111049
S66x8/12-100,-172.1890742093
S66x8/12-105,-172.1886553762
S66x8/12-110,-172.1880244557
S66x8/12-125,-172.1857487979
S66x8/12-150,-172.1825790816
S66x8/12-200,-172.1796008515
S66x8/13-A,-248.3602860175
S66x8/13-B,-115.650479748
S66x8/13-090,-364.0172759181
S66x8/13-095,-364.018098739
S66x8/13-100,-364.0183850036
S66x8/13-105,-364.0183280284
S66x8/13-110,-364.0180627959
S66x8/13-125,-364.0167732909
S66x8/13-150,-364.0147466032
S66x8/13-200,-364.0126105705
S66x8/14-A,-248.3600882037
S66x8/14-B,-95.7893470872
S66x8/14-090,-344.1580822163
S66x8/14-095,-344.1589841411
S66x8/14-100,-344.1592523281
S66x8/14-105,-344.1591198771
S66x8/14-110,-344.1587395332
S66x8/14-125,-344.1569872882
S66x8/14-150,-344.1543148229
S66x8/14-200,-344.1515481951
S66x8/15-A,-248.360394753
S66x8/15-B,-248.3604594221
S66x8/15-090,-496.7300897447
S66x8/15-095,-496.731061459
S66x8/15-100,-496.7314057853
S66x8/15-105,-496.7313311386
S66x8/15-110,-496.7309856487
S66x8/15-125,-496.7293176562
