system,cam-QTP-01(w=175)/def2-QZVP/Q-Chem
S22x5/01-A,-467.2027033324
S22x5/01-B,-454.0383051224
S22x5/01-0.9,-921.2692335439
S22x5/01-1.0,-921.2701081502
S22x5/01-1.2,-921.2634934302
S22x5/01-1.5,-921.2527953273
S22x5/01-2.0,-921.2446986426
S22x5/02-A,-467.2019409928
S22x5/02-B,-454.039266486
S22x5/02-0.9,-921.2463798338
S22x5/02-1.0,-921.2545132382
S22x5/02-1.2,-921.250012964
S22x5/02-1.5,-921.2441522917
S22x5/02-2.0,-921.2421710087
S22x5/03-A,-56.5345597407
S22x5/03-B,-56.5345597407
S22x5/03-0.9,-113.0754793548
S22x5/03-1.0,-113.0757957006
S22x5/03-1.2,-113.0735298659
S22x5/03-1.5,-113.0709782018
S22x5/03-2.0,-113.0696964081
S22x5/04-A,-76.4170287941
S22x5/04-B,-76.4170637722
S22x5/04-0.9,-152.8448516811
S22x5/04-1.0,-152.8450005364
S22x5/04-1.2,-152.8421812772
S22x5/04-1.5,-152.8383270854
S22x5/04-2.0,-152.8357058706
S22x5/05-A,-40.4786817637
S22x5/05-B,-40.4786817637
S22x5/05-0.9,-80.958337319
S22x5/05-1.0,-80.9582240768
S22x5/05-1.2,-80.9575550683
S22x5/05-1.5,-80.9573697888
S22x5/05-2.0,-80.9573628606
S22x5/06-A,-78.5367388865
S22x5/06-B,-78.5367388865
S22x5/06-0.9,-157.0755568814
S22x5/06-1.0,-157.0761856832
S22x5/06-1.2,-157.0744610044
S22x5/06-1.5,-157.0735833762
S22x5/06-2.0,-157.073482489
S22x5/07-A,-78.536707348
S22x5/07-B,-77.2885771157
S22x5/07-0.9,-155.827960266
S22x5/07-1.0,-155.8280792274
S22x5/07-1.2,-155.8270255842
S22x5/07-1.5,-155.8259619983
S22x5/07-2.0,-155.8254798364
S22x5/08-A,-189.7387788215
S22x5/08-B,-189.7387788215
S22x5/08-0.9,-379.5127103927
S22x5/08-1.0,-379.5143572779
S22x5/08-1.2,-379.5068886045
S22x5/08-1.5,-379.494078628
