system,cam-QTP-01(w=150)/def2-QZVP/Q-Chem
S22x5/01-A,-467.2461143431
S22x5/01-B,-454.078470816
S22x5/01-0.9,-921.3528902471
S22x5/01-1.0,-921.3538014266
S22x5/01-1.2,-921.3472114322
S22x5/01-1.5,-921.3364758875
S22x5/01-2.0,-921.3282959293
S22x5/02-A,-467.245399302
S22x5/02-B,-454.0794443562
S22x5/02-0.9,-921.3299604728
S22x5/02-1.0,-921.3383135129
S22x5/02-1.2,-921.3338570029
S22x5/02-1.5,-921.327826128
S22x5/02-2.0,-921.3258062991
S22x5/03-A,-56.5389847785
S22x5/03-B,-56.5389847785
S22x5/03-0.9,-113.0843987294
S22x5/03-1.0,-113.084719567
S22x5/03-1.2,-113.082437951
S22x5/03-1.5,-113.0798441994
S22x5/03-2.0,-113.078546559
S22x5/04-A,-76.4224023581
S22x5/04-B,-76.4224368265
S22x5/04-0.9,-152.8556061957
S22x5/04-1.0,-152.8557814208
S22x5/04-1.2,-152.8529767839
S22x5/04-1.5,-152.8490991749
S22x5/04-2.0,-152.8464498447
S22x5/05-A,-40.4823386505
S22x5/05-B,-40.4823386505
S22x5/05-0.9,-80.9657391824
S22x5/05-1.0,-80.9656037076
S22x5/05-1.2,-80.9648867353
S22x5/05-1.5,-80.9646844654
S22x5/05-2.0,-80.9646766568
S22x5/06-A,-78.5446549544
S22x5/06-B,-78.5446549544
S22x5/06-0.9,-157.0914990587
S22x5/06-1.0,-157.0921328701
S22x5/06-1.2,-157.0903453888
S22x5/06-1.5,-157.0894191984
S22x5/06-2.0,-157.0893145964
S22x5/07-A,-78.5446233246
S22x5/07-B,-77.2967070637
S22x5/07-0.9,-155.8441160269
S22x5/07-1.0,-155.8442150442
S22x5/07-1.2,-155.8431177699
S22x5/07-1.5,-155.8420168138
S22x5/07-2.0,-155.8415255211
S22x5/08-A,-189.753806285
S22x5/08-B,-189.753806285
S22x5/08-0.9,-379.542608128
S22x5/08-1.0,-379.5443435639
S22x5/08-1.2,-379.536984212
S22x5/08-1.5,-379.5242097442
S22x5/08-2.0,-379.5136981949
S22x5/09-A,-169.8737658435
S22x5/09-B,-169.8737658435
S22x5/09-0.9,-339.7764476264
S22x5/09-1.0,-339.7777979148
S22x5/09-1.2,-339.7717145228
S22x5/09-1.5,-339.7614951631
S22x5/09-2.0,-339.753282347
S22x5/10-A,-232.161930798
S22x5/10-B,-76.4222987609
S22x5/10-0.9,-308.5902369384
S22x5/10-1.0,-308.5903465509
S22x5/10-1.2,-308.5884940682
S22x5/10-1.5,-308.5862518051
S22x5/10-2.0,-308.5849489524
S22x5/11-A,-232.1619730859
S22x5/11-B,-56.538881654
S22x5/11-0.9,-288.7043058491
S22x5/11-1.0,-288.7046871152
S22x5/11-1.2,-288.7034020326
S22x5/11-1.5,-288.7019089857
S22x5/11-2.0,-288.701172915
S22x5/12-A,-232.1619957592
S22x5/12-B,-40.4823536049
S22x5/12-0.9,-272.6458205135
S22x5/12-1.0,-272.6464393625
S22x5/12-1.2,-272.6457303404
S22x5/12-1.5,-272.6447344019
S22x5/12-2.0,-272.6444003282
S22x5/13-A,-232.1619794014
S22x5/13-B,-232.1619698396
S22x5/13-0.9,-464.3259930897
S22x5/13-1.0,-464.3270486607
S22x5/13-1.2,-464.3264342152
S22x5/13-1.5,-464.3249278236
S22x5/13-2.0,-464.3241843802
S22x5/14-A,-232.1619723862
S22x5/14-B,-232.1619723862
S22x5/14-0.9,-464.3193793642
S22x5/14-1.0,-464.3252018069
S22x5/14-1.2,-464.3248915433
S22x5/14-1.5,-464.3238157833
S22x5/14-2.0,-464.3237890543
S22x5/15-A,-232.1618471221
S22x5/15-B,-363.7118069654
S22x5/15-0.9,-595.8795757582
S22x5/15-1.0,-595.881076567
S22x5/15-1.2,-595.8799594153
S22x5/15-1.5,-595.877041795
S22x5/15-2.0,-595.8749369882
S22x5/16-A,-232.1619134216
S22x5/16-B,-363.7118437526
S22x5/16-0.9,-595.8698040996
S22x5/16-1.0,-595.8762874257
S22x5/16-1.2,-595.8758352551
S22x5/16-1.5,-595.8737275975
S22x5/16-2.0,-595.8735348855
S22x5/17-A,-264.2494232383
S22x5/17-B,-264.249433737
S22x5/17-0.9,-528.4971232504
S22x5/17-1.0,-528.502780334
S22x5/17-1.2,-528.5016343375
S22x5/17-1.5,-528.4994921679
S22x5/17-2.0,-528.4989999522
S22x5/18-A,-323.4545706213
S22x5/18-B,-303.5726628671
S22x5/18-0.9,-627.0560619291
S22x5/18-1.0,-627.0573643416
S22x5/18-1.2,-627.0511859027
S22x5/18-1.5,-627.0406009503
S22x5/18-2.0,-627.03216137
S22x5/19-A,-307.3952487204
S22x5/19-B,-307.3951108288
S22x5/19-0.9,-614.8017728263
S22x5/19-1.0,-614.8020633933
S22x5/19-1.2,-614.7995279333
S22x5/19-1.5,-614.795266332
S22x5/19-2.0,-614.7921747238
S22x5/20-A,-414.7789778423
S22x5/20-B,-414.7789778423
S22x5/20-0.9,-829.565359706
S22x5/20-1.0,-829.570931754
S22x5/20-1.2,-829.5656141868
S22x5/20-1.5,-829.5606076869
S22x5/20-2.0,-829.5588306621
S22x5/21-A,-414.7782727394
S22x5/21-B,-414.7782727394
S22x5/21-0.9,-829.5920027539
S22x5/21-1.0,-829.5934879928
S22x5/21-1.2,-829.5860744926
S22x5/21-1.5,-829.5737130268
S22x5/21-2.0,-829.5635476419
S22x5/22-A,-232.1619128437
S22x5/22-B,-93.3987962833
S22x5/22-0.9,-325.5678816299
S22x5/22-1.0,-325.5683935951
S22x5/22-1.2,-325.5666256736
S22x5/22-1.5,-325.5638008542
S22x5/22-2.0,-325.5619188944
S66x8/01-A,-76.4224174662
S66x8/01-B,-76.4224057707
S66x8/01-090,-152.8557855642
S66x8/01-095,-152.8557892488
S66x8/01-100,-152.8553657174
S66x8/01-105,-152.8546993436
S66x8/01-110,-152.8539149098
S66x8/01-125,-152.8515175454
S66x8/01-150,-152.8486194456
S66x8/01-200,-152.8462450872
S66x8/02-A,-76.4224278248
S66x8/02-B,-115.6975539548
S66x8/02-090,-192.1317266409
S66x8/02-095,-192.1318087952
S66x8/02-100,-192.1314035589
S66x8/02-105,-192.1307165441
S66x8/02-110,-192.1298845657
S66x8/02-125,-192.1272725437
S66x8/02-150,-192.1240519583
S66x8/02-200,-192.1214218422
S66x8/03-A,-76.422444249
S66x8/03-B,-95.8187202756
S66x8/03-090,-172.2551514901
S66x8/03-095,-172.255302058
S66x8/03-100,-172.2548972234
S66x8/03-105,-172.254158357
S66x8/03-110,-172.2532372704
S66x8/03-125,-172.2502311718
S66x8/03-150,-172.246303788
S66x8/03-200,-172.2428598587
S66x8/04-A,-76.4224421735
S66x8/04-B,-248.4669321102
S66x8/04-090,-324.9055341527
S66x8/04-095,-324.9056643017
S66x8/04-100,-324.9052148468
S66x8/04-105,-324.9044177522
S66x8/04-110,-324.9034253251
S66x8/04-125,-324.9001649399
S66x8/04-150,-324.8958142913
S66x8/04-200,-324.8914914756
S66x8/05-A,-115.6974969309
S66x8/05-B,-115.6975747382
S66x8/05-090,-231.406728403
S66x8/05-095,-231.4069290634
S66x8/05-100,-231.406608032
S66x8/05-105,-231.4059801456
S66x8/05-110,-231.4051881714
S66x8/05-125,-231.4026206454
S66x8/05-150,-231.3993629167
S66x8/05-200,-231.3966407385
S66x8/06-A,-115.6972741443
S66x8/06-B,-95.8187551393
S66x8/06-090,-211.5305727172
S66x8/06-095,-211.5309374213
S66x8/06-100,-211.5306471742
S66x8/06-105,-211.5299542973
S66x8/06-110,-211.5290357311
S66x8/06-125,-211.5259254579
S66x8/06-150,-211.5217493559
S66x8/06-200,-211.5180390408
S66x8/07-A,-115.6973702255
S66x8/07-B,-248.4667571978
S66x8/07-090,-364.1800884152
S66x8/07-095,-364.180396423
S66x8/07-100,-364.1800724114
S66x8/07-105,-364.1793598653
S66x8/07-110,-364.1784170782
S66x8/07-125,-364.1751931801
S66x8/07-150,-364.1702335323
S66x8/07-200,-364.1657853892
S66x8/08-A,-115.6975134763
S66x8/08-B,-76.4224118842
S66x8/08-090,-192.1307645333
S66x8/08-095,-192.1308727288
S66x8/08-100,-192.130522481
S66x8/08-105,-192.1299066842
S66x8/08-110,-192.1291547919
S66x8/08-125,-192.1267896789
S66x8/08-150,-192.1238626554
S66x8/08-200,-192.121437973
S66x8/09-A,-95.8187042351
S66x8/09-B,-115.6975865504
S66x8/09-090,-211.5226275635
S66x8/09-095,-211.5226098366
S66x8/09-100,-211.5222765144
S66x8/09-105,-211.5217840537
S66x8/09-110,-211.5212284496
S66x8/09-125,-211.5196404145
S66x8/09-150,-211.5179807524
S66x8/09-200,-211.5168907555
S66x8/10-A,-95.818702187
S66x8/10-B,-95.8187130553
S66x8/10-090,-191.6455147548
S66x8/10-095,-191.6457584891
S66x8/10-100,-191.6455013717
S66x8/10-105,-191.6449585083
S66x8/10-110,-191.6442790964
S66x8/10-125,-191.6421685921
S66x8/10-150,-191.6393591034
S66x8/10-200,-191.6379588992
S66x8/11-A,-95.8185136621
S66x8/11-B,-248.4669017543
S66x8/11-090,-344.295331254
S66x8/11-095,-344.2956439851
S66x8/11-100,-344.2954241773
S66x8/11-105,-344.2948821769
S66x8/11-110,-344.2941649566
S66x8/11-125,-344.2906576886
S66x8/11-150,-344.287520259
S66x8/11-200,-344.2862044892
S66x8/12-A,-95.8187209706
S66x8/12-B,-76.4220259886
S66x8/12-090,-172.2556486344
S66x8/12-095,-172.2559003895
S66x8/12-100,-172.2555274228
S66x8/12-105,-172.2547772747
S66x8/12-110,-172.2538218867
S66x8/12-125,-172.2506656121
S66x8/12-150,-172.2465063297
S66x8/12-200,-172.2428992927
S66x8/13-A,-248.4668731277
S66x8/13-B,-115.6975959471
S66x8/13-090,-364.1757574869
S66x8/13-095,-364.1760815371
S66x8/13-100,-364.1758697437
S66x8/13-105,-364.1753329502
S66x8/13-110,-364.1746169923
S66x8/13-125,-364.1722100117
S66x8/13-150,-364.1690752549
S66x8/13-200,-364.166394406
S66x8/14-A,-248.4666521578
S66x8/14-B,-95.8186986192
S66x8/14-090,-344.2983106787
S66x8/14-095,-344.2988329276
S66x8/14-100,-344.2987200942
S66x8/14-105,-344.2982061606
S66x8/14-110,-344.2974529875
S66x8/14-125,-344.2947303741
S66x8/14-150,-344.2909731051
S66x8/14-200,-344.2875640753
S66x8/15-A,-248.466785305
S66x8/15-B,-248.4669026662
S66x8/15-090,-496.948329453
S66x8/15-095,-496.9488063741
S66x8/15-100,-496.9486484139
S66x8/15-105,-496.9480821326
S66x8/15-110,-496.9472760096
S66x8/15-125,-496.9444206684
S66x8/15-150,-496.940404167
S66x8/15-200,-496.9362315554
S66x8/16-A,-248.4669779984
S66x8/16-B,-76.422415952
S66x8/16-090,-324.8996196026
S66x8/16-095,-324.8998012793
S66x8/16-100,-324.8995326248
S66x8/16-105,-324.8989997945
S66x8/16-110,-324.898331857
S66x8/16-125,-324.8961864567
S66x8/16-150,-324.8934970067
S66x8/16-200,-324.8912123854
S66x8/17-A,-414.7784711955
S66x8/17-B,-414.7785781233
S66x8/17-090,-829.5877545699
S66x8/17-095,-829.5889232007
S66x8/17-100,-829.5886843933
S66x8/17-105,-829.5875510396
S66x8/17-110,-829.5858826746
S66x8/17-125,-829.5797314108
S66x8/17-150,-829.5708073881
S66x8/17-200,-829.5621751555
S66x8/18-A,-76.4224329707
S66x8/18-B,-248.2077123878
S66x8/18-090,-324.6437269739
S66x8/18-095,-324.6439144722
S66x8/18-100,-324.6435395777
S66x8/18-105,-324.6428242998
S66x8/18-110,-324.6419210832
S66x8/18-125,-324.6389717856
S66x8/18-150,-324.6351453301
S66x8/18-200,-324.6318377783
S66x8/19-A,-115.697276469
S66x8/19-B,-248.2077091458
S66x8/19-090,-363.9187359221
S66x8/19-095,-363.9191605481
S66x8/19-100,-363.9189438648
S66x8/19-105,-363.9183295105
S66x8/19-110,-363.9173639312
S66x8/19-125,-363.9145394413
