system,cam-QTP-01(w=350)/def2-QZVP/Q-Chem
S22x5/01-A,-467.0158027737
S22x5/01-B,-453.8780347455
S22x5/01-0.9,-920.9188994052
S22x5/01-1.0,-920.9203762653
S22x5/01-1.2,-920.9147597541
S22x5/01-1.5,-920.905015943
S22x5/01-2.0,-920.8974555512
S22x5/02-A,-467.014726387
S22x5/02-B,-453.8790962386
S22x5/02-0.9,-920.8938997625
S22x5/02-1.0,-920.9036518398
S22x5/02-1.2,-920.9013789688
S22x5/02-1.5,-920.8966525719
S22x5/02-2.0,-920.8948023521
S22x5/03-A,-56.5266297084
S22x5/03-B,-56.5266297084
S22x5/03-0.9,-113.0582115349
S22x5/03-1.0,-113.0589752967
S22x5/03-1.2,-113.057267975
S22x5/03-1.5,-113.0550421637
S22x5/03-2.0,-113.0538310433
S22x5/04-A,-76.4045775566
S22x5/04-B,-76.4046353772
S22x5/04-0.9,-152.8188302149
S22x5/04-1.0,-152.8192036868
S22x5/04-1.2,-152.8167937841
S22x5/04-1.5,-152.8133196202
S22x5/04-2.0,-152.8108507737
S22x5/05-A,-40.4761771403
S22x5/05-B,-40.4761771403
S22x5/05-0.9,-80.9526070083
S22x5/05-1.0,-80.9528550008
S22x5/05-1.2,-80.9524822739
S22x5/05-1.5,-80.9523579029
S22x5/05-2.0,-80.9523534937
S22x5/06-A,-78.513161025
S22x5/06-B,-78.513161025
S22x5/06-0.9,-157.0268322957
S22x5/06-1.0,-157.0281074722
S22x5/06-1.2,-157.0270858115
S22x5/06-1.5,-157.0264142057
S22x5/06-2.0,-157.026327129
S22x5/07-A,-78.5131282838
S22x5/07-B,-77.2572628271
S22x5/07-0.9,-155.7721905327
S22x5/07-1.0,-155.7726250044
S22x5/07-1.2,-155.7719387861
S22x5/07-1.5,-155.7710421024
S22x5/07-2.0,-155.7705874696
S22x5/08-A,-189.6845528582
S22x5/08-B,-189.6845528582
S22x5/08-0.9,-379.4023803375
S22x5/08-1.0,-379.4041798109
S22x5/08-1.2,-379.3971785153
S22x5/08-1.5,-379.3850677567
S22x5/08-2.0,-379.3751464444
S22x5/09-A,-169.8098822752
S22x5/09-B,-169.8098822752
S22x5/09-0.9,-339.646295028
S22x5/09-1.0,-339.6480435647
S22x5/09-1.2,-339.6427133981
S22x5/09-1.5,-339.6332827076
S22x5/09-2.0,-339.6255447043
S22x5/10-A,-232.0386010866
S22x5/10-B,-76.4044345583
S22x5/10-0.9,-308.4477812392
S22x5/10-1.0,-308.4481906342
S22x5/10-1.2,-308.4468425838
S22x5/10-1.5,-308.4449793343
S22x5/10-2.0,-308.4437722588
S22x5/11-A,-232.0386655368
S22x5/11-B,-56.5264746132
S22x5/11-0.9,-288.5673682753
S22x5/11-1.0,-288.5680499699
S22x5/11-1.2,-288.5672865579
S22x5/11-1.5,-288.566121414
S22x5/11-2.0,-288.5654663499
S22x5/12-A,-232.0387081475
S22x5/12-B,-40.4762266262
S22x5/12-0.9,-272.5151872936
S22x5/12-1.0,-272.5161169276
S22x5/12-1.2,-272.5159020986
S22x5/12-1.5,-272.5152384579
S22x5/12-2.0,-272.5149851922
S22x5/13-A,-232.0386709524
S22x5/13-B,-232.0386485751
S22x5/13-0.9,-464.0777487196
S22x5/13-1.0,-464.0792472619
S22x5/13-1.2,-464.0792108014
S22x5/13-1.5,-464.0781608082
S22x5/13-2.0,-464.0775573813
S22x5/14-A,-232.0386900399
S22x5/14-B,-232.0386900398
S22x5/14-0.9,-464.0696545873
S22x5/14-1.0,-464.0764781986
S22x5/14-1.2,-464.0776093481
S22x5/14-1.5,-464.0771726021
S22x5/14-2.0,-464.0772475253
S22x5/15-A,-232.0384784832
S22x5/15-B,-363.5180901261
S22x5/15-0.9,-595.560384527
S22x5/15-1.0,-595.5623741194
S22x5/15-1.2,-595.5619662746
S22x5/15-1.5,-595.559665412
S22x5/15-2.0,-595.5578282411
S22x5/16-A,-232.0386115408
S22x5/16-B,-363.5181438704
S22x5/16-0.9,-595.5485853913
S22x5/16-1.0,-595.5563708542
S22x5/16-1.2,-595.5575887961
S22x5/16-1.5,-595.5564549599
S22x5/16-2.0,-595.5564743233
S22x5/17-A,-264.1139535362
S22x5/17-B,-264.1139359193
S22x5/17-0.9,-528.222941772
S22x5/17-1.0,-528.2296900914
S22x5/17-1.2,-528.2299166615
S22x5/17-1.5,-528.2284261
S22x5/17-2.0,-528.2280165366
S22x5/18-A,-323.2985386748
S22x5/18-B,-303.4226292959
S22x5/18-0.9,-626.746693302
S22x5/18-1.0,-626.7485643176
S22x5/18-1.2,-626.7433567868
S22x5/18-1.5,-626.7337820712
S22x5/18-2.0,-626.7260005251
S22x5/19-A,-307.2450256249
S22x5/19-B,-307.2449119283
S22x5/19-0.9,-614.4994393118
S22x5/19-1.0,-614.5000819925
S22x5/19-1.2,-614.4981075077
S22x5/19-1.5,-614.4944721841
S22x5/19-2.0,-614.4917274981
S22x5/20-A,-414.593866279
S22x5/20-B,-414.593866279
S22x5/20-0.9,-829.1914404041
S22x5/20-1.0,-829.1980213657
S22x5/20-1.2,-829.1944714405
S22x5/20-1.5,-829.1903214267
S22x5/20-2.0,-829.1886291924
S22x5/21-A,-414.5931444087
S22x5/21-B,-414.5931444087
S22x5/21-0.9,-829.2192500248
S22x5/21-1.0,-829.2211576965
S22x5/21-1.2,-829.2145925874
S22x5/21-1.5,-829.2031047281
S22x5/21-2.0,-829.1934615497
S22x5/22-A,-232.0385418711
S22x5/22-B,-93.3537824887
S22x5/22-0.9,-325.3983666033
S22x5/22-1.0,-325.3991900091
S22x5/22-1.2,-325.3978595964
S22x5/22-1.5,-325.3953962669
S22x5/22-2.0,-325.3936008557
S66x8/01-A,-76.4046154376
S66x8/01-B,-76.4045801723
S66x8/01-090,-152.8190539141
S66x8/01-095,-152.8191610338
S66x8/01-100,-152.8188419657
S66x8/01-105,-152.818278776
S66x8/01-110,-152.8175940542
S66x8/01-125,-152.8154617493
S66x8/01-150,-152.8128422038
S66x8/01-200,-152.810599288
S66x8/02-A,-76.4046311516
S66x8/02-B,-115.6647432378
S66x8/02-090,-192.0799791228
S66x8/02-095,-192.0801542661
S66x8/02-100,-192.0798463965
S66x8/02-105,-192.0792586067
S66x8/02-110,-192.0785252643
S66x8/02-125,-192.0761885897
S66x8/02-150,-192.0732753862
S66x8/02-200,-192.0708025781
S66x8/03-A,-76.4046614117
S66x8/03-B,-95.7915097018
S66x8/03-090,-172.2085756298
S66x8/03-095,-172.2088481244
S66x8/03-100,-172.2085655179
S66x8/03-105,-172.2079479195
S66x8/03-110,-172.2071459115
S66x8/03-125,-172.2044699006
S66x8/03-150,-172.2009387871
S66x8/03-200,-172.1977658369
S66x8/04-A,-76.4046563789
S66x8/04-B,-248.3735777437
S66x8/04-090,-324.7930655008
S66x8/04-095,-324.7932868876
S66x8/04-100,-324.7929333394
S66x8/04-105,-324.7922341796
S66x8/04-110,-324.7913408646
S66x8/04-125,-324.788374087
S66x8/04-150,-324.7843914887
