system,LC-wPBE08(w=250)/def2-QZVP/Q-Chem
S22x5/01-A,-467.105795355
S22x5/01-B,-453.9416880558
S22x5/01-0.9,-921.0664130189
S22x5/01-1.0,-921.068691557
S22x5/01-1.2,-921.0648613415
S22x5/01-1.5,-921.0571728624
S22x5/01-2.0,-921.050887455
S22x5/02-A,-467.1051331338
S22x5/02-B,-453.942424532
S22x5/02-0.9,-921.0381111194
S22x5/02-1.0,-921.0498192653
S22x5/02-1.2,-921.0522856884
S22x5/02-1.5,-921.0500144653
S22x5/02-2.0,-921.0484731759
S22x5/03-A,-56.537052032
S22x5/03-B,-56.537052032
S22x5/03-0.9,-113.0767131913
S22x5/03-1.0,-113.0780160339
S22x5/03-1.2,-113.0773281834
S22x5/03-1.5,-113.0757247892
S22x5/03-2.0,-113.0746630388
S22x5/04-A,-76.4051779326
S22x5/04-B,-76.4051619517
S22x5/04-0.9,-152.8168616413
S22x5/04-1.0,-152.8178791286
S22x5/04-1.2,-152.8165587342
S22x5/04-1.5,-152.8139772821
S22x5/04-2.0,-152.8118851008
S22x5/05-A,-40.4922265114
S22x5/05-B,-40.4922265114
S22x5/05-0.9,-80.9831713783
S22x5/05-1.0,-80.9842163158
S22x5/05-1.2,-80.9844509721
S22x5/05-1.5,-80.9844505955
S22x5/05-2.0,-80.9844522482
S22x5/06-A,-78.5393717687
S22x5/06-B,-78.5393717687
S22x5/06-0.9,-157.0763989072
S22x5/06-1.0,-157.0787698758
S22x5/06-1.2,-157.0790697732
S22x5/06-1.5,-157.0788186446
S22x5/06-2.0,-157.0787475046
S22x5/07-A,-78.5393430274
S22x5/07-B,-77.2818035774
S22x5/07-0.9,-155.8217132121
S22x5/07-1.0,-155.8224575592
S22x5/07-1.2,-155.8222917287
S22x5/07-1.5,-155.8217021768
S22x5/07-2.0,-155.8213262392
S22x5/08-A,-189.6942648856
S22x5/08-B,-189.6942648856
S22x5/08-0.9,-379.4140488726
S22x5/08-1.0,-379.4168969757
S22x5/08-1.2,-379.411946867
S22x5/08-1.5,-379.402272057
S22x5/08-2.0,-379.3940640771
S22x5/09-A,-169.8288105169
S22x5/09-B,-169.8288105169
S22x5/09-0.9,-339.6775692945
S22x5/09-1.0,-339.6802107552
S22x5/09-1.2,-339.6768212647
S22x5/09-1.5,-339.6695487066
S22x5/09-2.0,-339.6630576773
S22x5/10-A,-232.1085219781
S22x5/10-B,-76.4051096262
S22x5/10-0.9,-308.516280275
S22x5/10-1.0,-308.5171400673
S22x5/10-1.2,-308.5166572569
S22x5/10-1.5,-308.5153921615
S22x5/10-2.0,-308.514337108
S22x5/11-A,-232.1085486758
S22x5/11-B,-56.5369574359
S22x5/11-0.9,-288.6457518929
S22x5/11-1.0,-288.6469257047
S22x5/11-1.2,-288.6469710687
S22x5/11-1.5,-288.64633418
S22x5/11-2.0,-288.645810521
S22x5/12-A,-232.1085660355
S22x5/12-B,-40.492141368
S22x5/12-0.9,-272.5990194779
S22x5/12-1.0,-272.6004392683
S22x5/12-1.2,-272.6010240546
S22x5/12-1.5,-272.600906975
S22x5/12-2.0,-272.6007511926
S22x5/13-A,-232.1085730366
S22x5/13-B,-232.1085662569
S22x5/13-0.9,-464.2150745951
S22x5/13-1.0,-464.2170206084
S22x5/13-1.2,-464.2179988226
S22x5/13-1.5,-464.2176965546
S22x5/13-2.0,-464.2173496104
S22x5/14-A,-232.1085168015
S22x5/14-B,-232.1085168015
S22x5/14-0.9,-464.2063030927
S22x5/14-1.0,-464.2137979512
S22x5/14-1.2,-464.2164356208
S22x5/14-1.5,-464.2167752028
S22x5/14-2.0,-464.216900008
S22x5/15-A,-232.1084778915
S22x5/15-B,-363.6177768648
