system,LC-BLYP(w=100)/def2-QZVP/Q-Chem
S22x5/01-A,-466.8786482554
S22x5/01-B,-453.7284195982
S22x5/01-0.9,-920.6377575496
S22x5/01-1.0,-920.638448432
S22x5/01-1.2,-920.6313731921
S22x5/01-1.5,-920.6199562767
S22x5/01-2.0,-920.6110614129
S22x5/02-A,-466.8779556279
S22x5/02-B,-453.7289575812
S22x5/02-0.9,-920.6159292109
S22x5/02-1.0,-920.6232889075
S22x5/02-1.2,-920.6175068956
S22x5/02-1.5,-920.6102013589
S22x5/02-2.0,-920.6078596142
S22x5/03-A,-56.4796066352
S22x5/03-B,-56.4796066352
S22x5/03-0.9,-112.9670343226
S22x5/03-1.0,-112.9670108595
S22x5/03-1.2,-112.9642843861
S22x5/03-1.5,-112.9612913211
S22x5/03-2.0,-112.9598121734
S22x5/04-A,-76.3674686228
S22x5/04-B,-76.3674404116
S22x5/04-0.9,-152.7468978221
S22x5/04-1.0,-152.7469290811
S22x5/04-1.2,-152.7438002436
S22x5/04-1.5,-152.7395132249
S22x5/04-2.0,-152.7365542833
S22x5/05-A,-40.4162250215
S22x5/05-B,-40.4162250215
S22x5/05-0.9,-80.8342534178
S22x5/05-1.0,-80.8338749008
S22x5/05-1.2,-80.8328125875
S22x5/05-1.5,-80.8324674085
S22x5/05-2.0,-80.832449612
S22x5/06-A,-78.4470224258
S22x5/06-B,-78.4470224258
S22x5/06-0.9,-156.8975572079
S22x5/06-1.0,-156.8978268035
S22x5/06-1.2,-156.8954686713
S22x5/06-1.5,-156.8941893215
S22x5/06-2.0,-156.8940489361
S22x5/07-A,-78.4469861329
S22x5/07-B,-77.2168066612
S22x5/07-0.9,-155.667358089
S22x5/07-1.0,-155.6672264871
S22x5/07-1.2,-155.6658276251
S22x5/07-1.5,-155.6645199886
S22x5/07-2.0,-155.6639782948
S22x5/08-A,-189.6320141254
S22x5/08-B,-189.6320141254
S22x5/08-0.9,-379.2999400055
S22x5/08-1.0,-379.3019496576
S22x5/08-1.2,-379.2946089699
S22x5/08-1.5,-379.2814591958
S22x5/08-2.0,-379.2703626635
S22x5/09-A,-169.7472316631
S22x5/09-B,-169.7472316631
S22x5/09-0.9,-339.5246927984
S22x5/09-1.0,-339.5260059185
S22x5/09-1.2,-339.5196701431
S22x5/09-1.5,-339.509026626
S22x5/09-2.0,-339.5003025055
S22x5/10-A,-231.9192350815
S22x5/10-B,-76.367384988
S22x5/10-0.9,-308.2938074701
S22x5/10-1.0,-308.2936919336
S22x5/10-1.2,-308.291444147
S22x5/10-1.5,-308.2887978751
S22x5/10-2.0,-308.2873126035
S22x5/11-A,-231.9192521185
S22x5/11-B,-56.4794970662
S22x5/11-0.9,-288.4032894336
S22x5/11-1.0,-288.4034632844
S22x5/11-1.2,-288.4017798421
S22x5/11-1.5,-288.3999412775
S22x5/11-2.0,-288.3990588818
S22x5/12-A,-231.9192472785
S22x5/12-B,-40.4161427931
S22x5/12-0.9,-272.3378737472
S22x5/12-1.0,-272.3382983649
S22x5/12-1.2,-272.3372457298
S22x5/12-1.5,-272.3359142507
S22x5/12-2.0,-272.3354445202
S22x5/13-A,-231.9192606255
S22x5/13-B,-231.9192620261
S22x5/13-0.9,-463.8418769514
S22x5/13-1.0,-463.842613436
S22x5/13-1.2,-463.8416098804
S22x5/13-1.5,-463.8396993666
S22x5/13-2.0,-463.8387537625
S22x5/14-A,-231.9192233371
S22x5/14-B,-231.9192233371
S22x5/14-0.9,-463.8366471555
S22x5/14-1.0,-463.8416644723
S22x5/14-1.2,-463.8402299678
S22x5/14-1.5,-463.8384599562
S22x5/14-2.0,-463.8382692712
S22x5/15-A,-231.9191973988
S22x5/15-B,-363.3644365174
S22x5/15-0.9,-595.2912248649
S22x5/15-1.0,-595.2923620001
S22x5/15-1.2,-595.2907797108
S22x5/15-1.5,-595.2873627932
S22x5/15-2.0,-595.2849244086
S22x5/16-A,-231.9191896383
S22x5/16-B,-363.3644257377
S22x5/16-0.9,-595.2832728574
S22x5/16-1.0,-595.2886773866
S22x5/16-1.2,-595.287051732
S22x5/16-1.5,-595.284004239
S22x5/16-2.0,-595.2834807647
S22x5/17-A,-264.0225158057
S22x5/17-B,-264.0225540984
S22x5/17-0.9,-528.0462156793
S22x5/17-1.0,-528.0508926864
S22x5/17-1.2,-528.0487172208
S22x5/17-1.5,-528.0458774233
S22x5/17-2.0,-528.0452349829
S22x5/18-A,-323.1851786443
S22x5/18-B,-303.296240562
S22x5/18-0.9,-626.5127390601
S22x5/18-1.0,-626.5137861442
S22x5/18-1.2,-626.5070726654
S22x5/18-1.5,-626.4957912059
S22x5/18-2.0,-626.4866210184
S22x5/19-A,-307.1161324156
S22x5/19-B,-307.1159845855
S22x5/19-0.9,-614.2451746707
S22x5/19-1.0,-614.2452201858
S22x5/19-1.2,-614.2423727248
S22x5/19-1.5,-614.2376210663
S22x5/19-2.0,-614.234069683
S22x5/20-A,-414.4776690453
S22x5/20-B,-414.4776690453
S22x5/20-0.9,-828.965483072
S22x5/20-1.0,-828.9704367086
S22x5/20-1.2,-828.9640056138
S22x5/20-1.5,-828.9580980269
S22x5/20-2.0,-828.9561718556
S22x5/21-A,-414.4772056429
S22x5/21-B,-414.4772056429
S22x5/21-0.9,-828.991024818
S22x5/21-1.0,-828.9925250373
S22x5/21-1.2,-828.9848142767
S22x5/21-1.5,-828.9719939327
S22x5/21-2.0,-828.9613188094
S22x5/22-A,-231.919257319
S22x5/22-B,-93.3257853887
S22x5/22-0.9,-325.2529298491
S22x5/22-1.0,-325.2532429938
S22x5/22-1.2,-325.2512402517
S22x5/22-1.5,-325.2481538519
S22x5/22-2.0,-325.2461545585
S66x8/01-A,-76.36739328
S66x8/01-B,-76.367444691
S66x8/01-090,-152.7470854724
S66x8/01-095,-152.7470117738
S66x8/01-100,-152.7465070269
S66x8/01-105,-152.7457577297
S66x8/01-110,-152.7448907718
S66x8/01-125,-152.7422585853
S66x8/01-150,-152.7390547427
S66x8/01-200,-152.7364278707
S66x8/02-A,-76.3674006576
S66x8/02-B,-115.593422223
S66x8/02-090,-191.9739614327
S66x8/02-095,-191.9739702567
S66x8/02-100,-191.9734851416
S66x8/02-105,-191.9727141302
S66x8/02-110,-191.9717960774
S66x8/02-125,-191.9689285865
S66x8/02-150,-191.9653628342
S66x8/02-200,-191.9624305485
S66x8/03-A,-76.3674058879
S66x8/03-B,-95.7097538342
S66x8/03-090,-172.0930152683
S66x8/03-095,-172.0930676899
S66x8/03-100,-172.0925629943
S66x8/03-105,-172.0917240742
S66x8/03-110,-172.0907034585
S66x8/03-125,-172.0874080429
S66x8/03-150,-172.0830771852
S66x8/03-200,-172.0792127157
S66x8/04-A,-76.3674073894
S66x8/04-B,-248.2408590742
S66x8/04-090,-324.6258850924
S66x8/04-095,-324.6259627643
S66x8/04-100,-324.6254547983
S66x8/04-105,-324.6245953002
S66x8/04-110,-324.6235359183
S66x8/04-125,-324.6200579869
S66x8/04-150,-324.6153704371
S66x8/04-200,-324.6106279907
S66x8/05-A,-115.593354151
