system,LC-BLYP(w=450)/def2-QZVP/Q-Chem
S22x5/01-A,-466.3341736767
S22x5/01-B,-453.2512015173
S22x5/01-0.9,-919.6107719569
S22x5/01-1.0,-919.6123150159
S22x5/01-1.2,-919.6067238383
S22x5/01-1.5,-919.5968347902
S22x5/01-2.0,-919.5890682207
S22x5/02-A,-466.3327364075
S22x5/02-B,-453.2520141818
S22x5/02-0.9,-919.5867157202
S22x5/02-1.0,-919.5958450677
S22x5/02-1.2,-919.5927923135
S22x5/02-1.5,-919.5876361971
S22x5/02-2.0,-919.5857330541
S22x5/03-A,-56.445075831
S22x5/03-B,-56.445075831
S22x5/03-0.9,-112.8953434296
S22x5/03-1.0,-112.896100361
S22x5/03-1.2,-112.8943197271
S22x5/03-1.5,-112.891990448
S22x5/03-2.0,-112.8907323678
S22x5/04-A,-76.3226933614
S22x5/04-B,-76.3227278257
S22x5/04-0.9,-152.6554095123
S22x5/04-1.0,-152.6557549113
S22x5/04-1.2,-152.6532664345
S22x5/04-1.5,-152.6496693315
S22x5/04-2.0,-152.6471001195
S22x5/05-A,-40.3940943514
S22x5/05-B,-40.3940943514
S22x5/05-0.9,-80.7886454646
S22x5/05-1.0,-80.7888139703
S22x5/05-1.2,-80.7883409018
S22x5/05-1.5,-80.7881925463
S22x5/05-2.0,-80.7881878688
S22x5/06-A,-78.3659091419
S22x5/06-B,-78.3659091419
S22x5/06-0.9,-156.7327314871
S22x5/06-1.0,-156.7338812046
S22x5/06-1.2,-156.732662921
S22x5/06-1.5,-156.7319121262
S22x5/06-2.0,-156.7318231401
S22x5/07-A,-78.3658719872
S22x5/07-B,-77.1194412947
S22x5/07-0.9,-155.4872074066
S22x5/07-1.0,-155.4876170739
S22x5/07-1.2,-155.486885081
S22x5/07-1.5,-155.4859578862
S22x5/07-2.0,-155.4855052962
S22x5/08-A,-189.4661660799
S22x5/08-B,-189.4661660799
S22x5/08-0.9,-378.9660576548
S22x5/08-1.0,-378.9679428237
S22x5/08-1.2,-378.9609208955
S22x5/08-1.5,-378.9486451398
S22x5/08-2.0,-378.9384783687
S22x5/09-A,-169.5919526894
S22x5/09-B,-169.5919526894
S22x5/09-0.9,-339.2105820663
S22x5/09-1.0,-339.2124495348
S22x5/09-1.2,-339.2072006838
S22x5/09-1.5,-339.1976691548
S22x5/09-2.0,-339.1897519349
S22x5/10-A,-231.6245211212
S22x5/10-B,-76.3225219704
S22x5/10-0.9,-307.9522211804
S22x5/10-1.0,-307.9525168669
S22x5/10-1.2,-307.9510055694
S22x5/10-1.5,-307.9490245891
S22x5/10-2.0,-307.9477785799
S22x5/11-A,-231.624587155
S22x5/11-B,-56.4448631858
S22x5/11-0.9,-288.0720482634
S22x5/11-1.0,-288.072625464
S22x5/11-1.2,-288.0717232174
S22x5/11-1.5,-288.0704554265
S22x5/11-2.0,-288.0697757406
S22x5/12-A,-231.6246318109
S22x5/12-B,-40.3941155825
S22x5/12-0.9,-272.0193464089
S22x5/12-1.0,-272.0201779736
S22x5/12-1.2,-272.0198268387
S22x5/12-1.5,-272.0190700449
S22x5/12-2.0,-272.0187980252
S22x5/13-A,-231.6245952521
S22x5/13-B,-231.6245692409
S22x5/13-0.9,-463.2500340345
S22x5/13-1.0,-463.2514248404
S22x5/13-1.2,-463.2512152797
S22x5/13-1.5,-463.2500407425
S22x5/13-2.0,-463.2493989603
S22x5/14-A,-231.6246141932
S22x5/14-B,-231.6246141931
S22x5/14-0.9,-463.2425073757
