system,LC-BLYP(w=25)/def2-QZVP/Q-Chem
S22x5/01-A,-467.2308156792
S22x5/01-B,-454.0669494821
S22x5/01-0.9,-921.3195322027
S22x5/01-1.0,-921.3220428536
S22x5/01-1.2,-921.3176748556
S22x5/01-1.5,-921.308749727
S22x5/01-2.0,-921.3014433978
S22x5/02-A,-467.2303114881
S22x5/02-B,-454.067629323
S22x5/02-0.9,-921.2877770167
S22x5/02-1.0,-921.3018232832
S22x5/02-1.2,-921.3040316793
S22x5/02-1.5,-921.3006843276
S22x5/02-2.0,-921.2988905955
S22x5/03-A,-56.5361655702
S22x5/03-B,-56.5361655702
S22x5/03-0.9,-113.0766656316
S22x5/03-1.0,-113.0776565882
S22x5/03-1.2,-113.0763077484
S22x5/03-1.5,-113.0741713994
S22x5/03-2.0,-113.0729264447
S22x5/04-A,-76.4257612352
S22x5/04-B,-76.4257341283
S22x5/04-0.9,-152.8598882288
S22x5/04-1.0,-152.8607613924
S22x5/04-1.2,-152.8588689178
S22x5/04-1.5,-152.8555783916
S22x5/04-2.0,-152.8530876275
S22x5/05-A,-40.4730677848
S22x5/05-B,-40.4730677848
S22x5/05-0.9,-80.945797357
S22x5/05-1.0,-80.9464685624
S22x5/05-1.2,-80.9463292287
S22x5/05-1.5,-80.9461587893
S22x5/05-2.0,-80.9461353143
S22x5/06-A,-78.5359782548
S22x5/06-B,-78.5359782548
S22x5/06-0.9,-157.0708242258
S22x5/06-1.0,-157.0729836383
S22x5/06-1.2,-157.0726935502
S22x5/06-1.5,-157.0720802472
S22x5/06-2.0,-157.071960945
S22x5/07-A,-78.5359351981
S22x5/07-B,-77.2974256367
S22x5/07-0.9,-155.8349126648
S22x5/07-1.0,-155.8354572325
S22x5/07-1.2,-155.8348830044
S22x5/07-1.5,-155.834018016
S22x5/07-2.0,-155.8335401499
S22x5/08-A,-189.7647932765
S22x5/08-B,-189.7647932765
S22x5/08-0.9,-379.5566033916
S22x5/08-1.0,-379.560194631
