system,cam-B3LYP(w=450)/def2-QZVP/Q-Chem
S22x5/01-A,-467.261880698
S22x5/01-B,-454.1135745644
S22x5/01-0.9,-921.3954641547
S22x5/01-1.0,-921.398054475
S22x5/01-1.2,-921.3940090357
S22x5/01-1.5,-921.385579438
S22x5/01-2.0,-921.3788119056
S22x5/02-A,-467.2610012871
S22x5/02-B,-454.1147198778
S22x5/02-0.9,-921.3645511015
S22x5/02-1.0,-921.3784671225
S22x5/02-1.2,-921.380699538
S22x5/02-1.5,-921.3780277731
S22x5/02-2.0,-921.3766616048
S22x5/03-A,-56.5626172803
S22x5/03-B,-56.5626172803
S22x5/03-0.9,-113.1282775472
S22x5/03-1.0,-113.1296088618
S22x5/03-1.2,-113.1286309806
S22x5/03-1.5,-113.1268323445
S22x5/03-2.0,-113.1257879234
S22x5/04-A,-76.4443871163
S22x5/04-B,-76.4444406394
S22x5/04-0.9,-152.8963765552
S22x5/04-1.0,-152.8972819277
S22x5/04-1.2,-152.8955869529
S22x5/04-1.5,-152.8926169803
S22x5/04-2.0,-152.8903935107
S22x5/05-A,-40.5099078065
S22x5/05-B,-40.5099078065
S22x5/05-0.9,-81.0188686904
S22x5/05-1.0,-81.0196657638
S22x5/05-1.2,-81.0197741797
S22x5/05-1.5,-81.0197945341
S22x5/05-2.0,-81.019814144
S22x5/06-A,-78.5696992355
S22x5/06-B,-78.5696992355
S22x5/06-0.9,-157.1373364881
S22x5/06-1.0,-157.1396580477
S22x5/06-1.2,-157.1396973869
S22x5/06-1.5,-157.1394165991
S22x5/06-2.0,-157.1394011499
S22x5/07-A,-78.569660946
S22x5/07-B,-77.310613147
S22x5/07-0.9,-155.8809942952
S22x5/07-1.0,-155.8817693349
S22x5/07-1.2,-155.8814837804
S22x5/07-1.5,-155.8808292913
S22x5/07-2.0,-155.8804559115
S22x5/08-A,-189.77875052
S22x5/08-B,-189.77875052
S22x5/08-0.9,-379.5852436946
S22x5/08-1.0,-379.588168428
S22x5/08-1.2,-379.5828700059
S22x5/08-1.5,-379.5722148617
S22x5/08-2.0,-379.5632137516
S22x5/09-A,-169.9002979818
S22x5/09-B,-169.9002979818
S22x5/09-0.9,-339.8224480829
S22x5/09-1.0,-339.8252448085
S22x5/09-1.2,-339.8213932821
S22x5/09-1.5,-339.8131755354
S22x5/09-2.0,-339.8061334057
S22x5/10-A,-232.1833397233
S22x5/10-B,-76.4442547974
S22x5/10-0.9,-308.6300112627
S22x5/10-1.0,-308.6311140339
S22x5/10-1.2,-308.6305750298
S22x5/10-1.5,-308.6292394765
S22x5/10-2.0,-308.6282571297
